player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alfre� Finnbogason,FW,29-261,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,10.0,13.0,76.9,1.0,15.0,0.0,1.0,1.0,227.0,31.0,5.0,5.0,100.0,2.0,3.0,66.7,3.0,5.0,60.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,2.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,6.0,2.0,16.0,100.0,1.0,0.0,28.0,10.0,0.0,0.0,1.0,1.0,30.0,15.0,50.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Koo Ja-cheol,"AM,FW",29-235,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,11.0,63.6,1.0,15.0,2.0,2.0,2.0,118.0,32.0,5.0,7.0,71.4,1.0,3.0,33.3,1.0,1.0,100.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,16.0,4.0,0.0,21.0,100.0,2.0,0.0,68.0,21.0,0.0,0.0,3.0,0.0,19.0,14.0,73.7,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,100.0
Caiuby,LW,30-098,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,47.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,34.0,50.0,3.0,28.0,3.0,3.0,3.0,277.0,84.0,10.0,16.0,62.5,5.0,11.0,45.5,2.0,4.0,50.0,1.0,4.0,1.0,1.0,34.0,0.0,0.0,0.0,17.0,1.0,4.0,0.0,0.0,0.0,0.0,9.0,16.0,9.0,11.0,8.0,9.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,28.6,0.0,10.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,30.0,18.0,3.0,47.0,100.0,3.0,0.0,60.0,51.0,2.0,1.0,6.0,1.0,67.0,37.0,55.2,10.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,50.0
Andr� Hahn,RW,28-068,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,26.0,42.3,2.0,21.0,0.0,1.0,2.0,327.0,120.0,4.0,11.0,36.4,3.0,7.0,42.9,4.0,7.0,57.1,1.0,1.0,1.0,1.0,25.0,1.0,1.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,12.0,9.0,2.0,14.0,9.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,29.4,3.0,10.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,9.0,16.0,12.0,1.0,34.0,50.0,1.0,0.0,88.0,24.0,1.0,0.0,2.0,3.0,48.0,27.0,56.3,5.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
Michael Gregoritsch,"AM,FW",24-185,89.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,8.0,1.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,12.0,22.0,54.5,0.0,14.0,1.0,0.0,0.0,147.0,48.0,9.0,12.0,75.0,1.0,5.0,20.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,10.0,5.0,10.0,6.0,4.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,4.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,20.0,10.0,2.0,34.0,0.0,0.0,0.0,56.0,41.0,1.0,1.0,4.0,1.0,32.0,18.0,56.3,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,2.0,3.0,40.0
Kevin Danso,FW,20-031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Baier,DM,34-155,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,18.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,31.0,46.0,67.4,4.0,28.0,0.0,0.0,0.0,632.0,228.0,13.0,19.0,68.4,9.0,13.0,69.2,7.0,11.0,63.6,0.0,5.0,0.0,0.0,41.0,5.0,5.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,8.0,16.0,2.0,35.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,2.0,50.0,1.0,4.0,22.2,4.0,14.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,19.0,31.0,8.0,0.0,53.0,0.0,0.0,0.0,82.0,46.0,0.0,0.0,1.0,0.0,23.0,23.0,100.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0
Philipp Max,WB,25-020,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,34.0,55.0,61.8,3.0,32.0,4.0,1.0,1.0,679.0,438.0,14.0,20.0,70.0,14.0,21.0,66.7,6.0,13.0,46.2,1.0,1.0,0.0,0.0,37.0,18.0,3.0,0.0,18.0,1.0,3.0,1.0,0.0,0.0,0.0,20.0,15.0,20.0,29.0,6.0,5.0,14.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,45.5,6.0,4.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,7.0,18.0,29.0,19.0,0.0,47.0,100.0,1.0,0.0,183.0,67.0,2.0,0.0,2.0,0.0,33.0,30.0,90.9,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0
Jonathan Schmid,WB,28-116,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,13.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,32.0,49.0,65.3,3.0,33.0,2.0,0.0,1.0,579.0,308.0,15.0,21.0,71.4,14.0,17.0,82.4,3.0,10.0,30.0,0.0,4.0,0.0,0.0,36.0,13.0,1.0,0.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,15.0,14.0,6.0,28.0,3.0,11.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,30.8,6.0,5.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,21.0,31.0,12.0,0.0,46.0,0.0,0.0,0.0,167.0,107.0,2.0,0.0,1.0,0.0,30.0,27.0,90.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,20.0
Martin Hinteregger,CB,26-043,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,46.0,80.4,1.0,23.0,0.0,0.0,0.0,706.0,279.0,12.0,14.0,85.7,19.0,19.0,100.0,6.0,12.0,50.0,0.0,0.0,0.0,0.0,38.0,8.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,14.0,28.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,33.3,2.0,3.0,50.0,3.0,3.0,0.0,1.0,0.0,1.0,5.0,8.0,0.0,4.0,42.0,24.0,1.0,1.0,57.0,0.0,0.0,0.0,84.0,54.0,0.0,0.0,2.0,0.0,24.0,22.0,91.7,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,4.0,1.0,80.0
