player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Glenn Murray,FW,34-334,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,36.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,17.0,21.0,81.0,0.0,15.0,0.0,0.0,0.0,219.0,10.0,11.0,13.0,84.6,6.0,8.0,75.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,7.0,1.0,2.0,12.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,1.0,27.0,8.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,5.0,20.0,7.0,3.0,28.0,0.0,0.0,0.0,50.0,18.0,0.0,0.0,1.0,2.0,32.0,19.0,59.4,7.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,40.0
Solly March,LM,24-036,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,10.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,14.0,24.0,58.3,0.0,21.0,1.0,0.0,3.0,151.0,37.0,13.0,15.0,86.7,1.0,4.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,9.0,3.0,1.0,2.0,0.0,0.0,0.0,15.0,5.0,4.0,20.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,20.0,4.0,5.0,1.0,0.0,0.0,3.0,5.0,1.0,0.0,5.0,14.0,13.0,10.0,1.0,35.0,0.0,1.0,0.0,89.0,32.0,0.0,1.0,0.0,0.0,29.0,18.0,62.1,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
J�rgen Locadia,LM,24-291,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,0.0,46.0,20.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yves Bissouma,CM,21-360,79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,21.0,0.0,0.0,3.0,0.1,0.1,0.2,3.0,0.0,29.0,36.0,80.6,3.0,35.0,6.0,1.0,1.0,584.0,122.0,13.0,14.0,92.9,10.0,13.0,76.9,6.0,8.0,75.0,2.0,4.0,0.0,0.0,34.0,2.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,28.0,4.0,4.0,6.0,28.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,19.0,9.0,11.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,16.0,20.0,12.0,1.0,41.0,100.0,1.0,0.0,246.0,119.0,1.0,1.0,0.0,2.0,32.0,29.0,90.6,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Pascal Gro�,CM,27-071,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,3.0,1.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,5.0,6.0,83.3,1.0,4.0,0.0,0.0,0.0,116.0,56.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,7.0,1.0,9.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dale Stephens,CM,29-074,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,11.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,42.0,57.0,73.7,2.0,44.0,1.0,0.0,0.0,813.0,244.0,18.0,23.0,78.3,17.0,17.0,100.0,7.0,17.0,41.2,0.0,4.0,0.0,0.0,57.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,9.0,13.0,7.0,44.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,33.3,2.0,1.0,9.1,5.0,6.0,0.0,3.0,0.0,1.0,6.0,3.0,0.0,7.0,34.0,36.0,4.0,0.0,74.0,0.0,0.0,0.0,140.0,32.0,0.0,0.0,2.0,0.0,46.0,46.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
Davy Pr�pper,CM,26-357,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,18.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,24.0,31.0,77.4,1.0,30.0,2.0,1.0,1.0,247.0,66.0,18.0,20.0,90.0,4.0,8.0,50.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,2.0,6.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,2.0,11.1,7.0,9.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,12.0,20.0,14.0,2.0,44.0,100.0,1.0,0.0,82.0,53.0,0.0,0.0,2.0,4.0,29.0,23.0,79.3,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0
Anthony Knockaert,RM,26-278,75.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27.0,19.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,20.0,21.0,95.2,1.0,21.0,2.0,0.0,1.0,309.0,31.0,13.0,13.0,100.0,6.0,6.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,2.0,17.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.5,7.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,12.0,2.0,26.0,0.0,1.0,0.0,115.0,54.0,1.0,1.0,1.0,1.0,21.0,16.0,76.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Alireza Jahanbakhsh,RM,25-014,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,80.0,0.0,6.0,0.0,0.0,0.0,41.0,19.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,6.0,2.0,0.0,10.0,0.0,0.0,0.0,15.0,7.0,1.0,0.0,1.0,1.0,6.0,5.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Ga�tan Bong,LB,30-122,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,48.0,60.4,0.0,24.0,0.0,0.0,0.0,490.0,313.0,15.0,17.0,88.2,11.0,24.0,45.8,3.0,5.0,60.0,0.0,0.0,1.0,1.0,35.0,13.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,9.0,18.0,26.0,5.0,5.0,11.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,50.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,25.0,18.0,10.0,0.0,39.0,0.0,0.0,0.0,113.0,63.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
