player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Oumar Niasse,FW,28-290,82.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.3,0.3,0.4,4.0,0.0,11.0,13.0,84.6,1.0,19.0,4.0,1.0,1.0,121.0,45.0,10.0,10.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,13.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,3.0,22.0,100.0,1.0,0.0,160.0,71.0,1.0,2.0,4.0,1.0,44.0,17.0,38.6,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7
Kenneth Zohore,FW,25-002,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,2.0,50.0,0.0,6.0,1.0,0.0,0.0,11.0,10.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,7.0,0.0,0.0,0.0,51.0,28.0,0.0,1.0,0.0,2.0,7.0,5.0,71.4,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Josh Murphy,LW,23-343,68.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,25.0,3.0,1.0,5.0,0.2,0.2,0.0,1.0,0.0,7.0,14.0,50.0,1.0,16.0,3.0,0.0,1.0,216.0,109.0,1.0,2.0,50.0,2.0,5.0,40.0,4.0,6.0,66.7,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,12.0,9.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,6.0,12.0,11.0,3.0,28.0,0.0,0.0,0.0,89.0,58.0,0.0,1.0,1.0,0.0,23.0,16.0,69.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Junior Hoilett,LW,28-242,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,1.0,10.0,0.0,0.0,0.0,108.0,8.0,3.0,3.0,100.0,1.0,2.0,50.0,1.0,4.0,25.0,0.0,0.0,1.0,0.0,7.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,6.0,9.0,0.0,14.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,1.0,3.0,9.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Bobby Reid,FW,26-000,85.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,24.0,28.0,0.0,0.0,0.0,1.5,0.8,0.0,3.0,1.0,14.0,19.0,73.7,2.0,17.0,2.0,2.0,2.0,205.0,58.0,8.0,9.0,88.9,6.0,7.0,85.7,0.0,2.0,0.0,0.0,1.0,0.0,0.0,18.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,6.0,1.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.9,10.0,14.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,13.0,6.0,2.0,22.0,100.0,2.0,0.0,95.0,46.0,1.0,0.0,0.0,0.0,26.0,16.0,61.5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Leandro Bacuna,FW,27-165,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,35.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Callum Paterson,RW,24-112,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,32.0,5.0,1.0,3.0,0.1,0.1,0.0,1.0,0.0,14.0,36.0,38.9,4.0,20.0,3.0,1.0,1.0,263.0,221.0,8.0,18.0,44.4,4.0,10.0,40.0,2.0,4.0,50.0,0.0,3.0,0.0,0.0,36.0,0.0,0.0,0.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,9.0,17.0,6.0,15.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,2.0,2.0,1.0,3.0,7.0,42.9,4.0,7.0,21.9,8.0,18.0,6.0,0.0,0.0,3.0,6.0,5.0,0.0,4.0,16.0,20.0,18.0,3.0,53.0,100.0,1.0,0.0,73.0,33.0,0.0,0.0,2.0,0.0,42.0,26.0,61.9,6.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,11.0,11.0,4.0,73.3
Joe Ralls,CM,25-112,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,28.0,0.0,1.0,1.0,0.0,0.0,0.2,3.0,1.0,16.0,24.0,66.7,0.0,16.0,1.0,0.0,0.0,327.0,142.0,5.0,7.0,71.4,7.0,7.0,100.0,3.0,9.0,33.3,2.0,3.0,0.0,0.0,17.0,7.0,4.0,0.0,7.0,2.0,1.0,3.0,0.0,0.0,0.0,14.0,2.0,8.0,20.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,28.6,11.0,16.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,17.0,9.0,1.0,24.0,0.0,0.0,0.0,56.0,24.0,0.0,0.0,2.0,0.0,21.0,15.0,71.4,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
Aron Gunnarsson,CM,29-286,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,30.0,3.0,1.0,2.0,0.0,0.0,0.8,2.0,1.0,15.0,21.0,71.4,3.0,12.0,0.0,0.0,0.0,451.0,200.0,3.0,5.0,60.0,4.0,7.0,57.1,8.0,9.0,88.9,1.0,2.0,1.0,0.0,18.0,3.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,9.0,2.0,13.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,7.0,0.0,7.0,6.0,20.0,19.0,7.0,4.0,1.0,0.0,1.0,4.0,2.0,0.0,4.0,12.0,14.0,6.0,2.0,28.0,0.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,0.0,13.0,9.0,69.2,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
Joe Bennett,LB,28-311,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,54.5,1.0,14.0,2.0,2.0,3.0,283.0,188.0,5.0,6.0,83.3,3.0,7.0,42.9,4.0,8.0,50.0,0.0,4.0,0.0,0.0,14.0,8.0,3.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,10.0,15.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,34.8,13.0,9.0,1.0,0.0,0.0,2.0,2.0,6.0,0.0,7.0,13.0,20.0,2.0,0.0,26.0,66.7,3.0,0.0,94.0,37.0,0.0,0.0,0.0,1.0,2.0,2.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
