player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Oumar Niasse,FW,29-003,66.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,2.0,3.0,66.7,0.0,15.0,1.0,3.0,4.0,38.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,12.0,6.0,2.0,18.0,75.0,3.0,0.0,25.0,10.0,0.0,0.0,8.0,3.0,42.0,13.0,31.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,10.0,9.1
Kenneth Zohore,FW,25-080,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,4.0,1.0,0.0,0.0,52.0,9.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,1.0,1.0,14.0,6.0,42.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,40.0
Nathaniel Mendez-Laing,LM,27-006,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,10.0,1.0,0.0,1.0,0.0,0.0,0.3,4.0,0.0,15.0,19.0,78.9,4.0,24.0,4.0,4.0,4.0,247.0,129.0,8.0,9.0,88.9,6.0,6.0,100.0,1.0,1.0,100.0,3.0,2.0,1.0,1.0,19.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,3.0,5.0,2.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,6.0,60.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,6.0,13.0,13.0,4.0,28.0,100.0,4.0,0.0,149.0,99.0,1.0,1.0,3.0,1.0,30.0,17.0,56.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0
Joe Ralls,CM,25-190,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,16.0,25.0,64.0,5.0,11.0,1.0,0.0,0.0,360.0,204.0,5.0,7.0,71.4,5.0,7.0,71.4,5.0,10.0,50.0,0.0,3.0,2.0,0.0,20.0,5.0,0.0,0.0,5.0,3.0,0.0,5.0,5.0,0.0,0.0,8.0,4.0,13.0,13.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,20.0,4.0,1.0,7.1,4.0,8.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,16.0,9.0,0.0,24.0,0.0,0.0,0.0,42.0,24.0,0.0,0.0,0.0,0.0,15.0,12.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
Leandro Bacuna,CM,27-243,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,3.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,28.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
V�ctor Camarasa,CM,24-328,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,15.0,21.0,71.4,2.0,22.0,0.0,3.0,3.0,248.0,102.0,8.0,10.0,80.0,4.0,5.0,80.0,3.0,5.0,60.0,0.0,1.0,0.0,0.0,17.0,4.0,2.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,4.0,4.0,16.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,15.0,12.0,3.0,28.0,100.0,3.0,0.0,66.0,19.0,0.0,0.0,3.0,3.0,30.0,15.0,50.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,20.0
Junior Hoilett,RM,28-320,82.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,21.0,11.0,2.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,5.0,8.0,62.5,0.0,12.0,1.0,2.0,3.0,46.0,3.0,5.0,5.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,27.3,5.0,1.0,5.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,8.0,8.0,6.0,1.0,21.0,66.7,2.0,0.0,80.0,37.0,0.0,0.0,0.0,1.0,12.0,10.0,83.3,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Josh Murphy,RM,24-056,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aron Gunnarsson,DM,29-364,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,22.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,60.0,1.0,9.0,0.0,0.0,0.0,289.0,119.0,7.0,9.0,77.8,6.0,9.0,66.7,2.0,7.0,28.6,0.0,2.0,0.0,0.0,22.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,4.0,11.0,3.0,15.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,25.0,3.0,5.0,22.7,8.0,14.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,7.0,17.0,7.0,0.0,28.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,1.0,12.0,11.0,91.7,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
Joe Bennett,LB,29-024,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,14.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,44.4,0.0,10.0,3.0,0.0,0.0,132.0,83.0,4.0,4.0,100.0,3.0,6.0,50.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,13.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,10.0,11.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,57.1,7.0,5.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,4.0,11.0,14.0,5.0,0.0,22.0,0.0,0.0,0.0,48.0,29.0,2.0,0.0,0.0,0.0,13.0,9.0,69.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
