player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Gonzalo Higuaín,FW,31-111,76.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,28.0,32.0,87.5,2.0,27.0,1.0,0.0,0.0,358.0,55.0,17.0,19.0,89.5,9.0,11.0,81.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,31.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,0.0,3.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,19.0,2.0,40.0,0.0,0.0,0.0,117.0,41.0,1.0,0.0,3.0,2.0,54.0,38.0,70.4,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Olivier Giroud,FW,32-182,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,24.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0,9.0,4.0,44.4,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
Willian,"LW,RW",30-234,90.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,76.0,7.0,1.0,0.0,0.0,0.2,0.2,0.4,11.0,1.0,49.0,63.0,77.8,4.0,56.0,12.0,3.0,4.0,884.0,266.0,26.0,32.0,81.3,14.0,16.0,87.5,9.0,15.0,60.0,6.0,3.0,4.0,2.0,54.0,9.0,3.0,0.0,11.0,1.0,2.0,6.0,1.0,4.0,0.0,38.0,14.0,11.0,5.0,56.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,37.0,43.0,4.0,67.0,75.0,3.0,0.0,430.0,251.0,5.0,1.0,1.0,2.0,67.0,58.0,86.6,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Pedro,RW,31-246,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,5.0,0.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,29.0,35.0,82.9,2.0,37.0,1.0,1.0,2.0,385.0,65.0,20.0,23.0,87.0,7.0,8.0,87.5,2.0,4.0,50.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,3.0,8.0,27.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,20.0,18.0,2.0,40.0,50.0,1.0,0.0,113.0,32.0,0.0,0.0,2.0,1.0,45.0,38.0,84.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Eden Hazard,LW,28-083,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,5.0,0.0,27.0,32.0,84.4,5.0,33.0,12.0,4.0,4.0,426.0,135.0,14.0,17.0,82.4,12.0,13.0,92.3,1.0,1.0,100.0,1.0,0.0,3.0,0.0,30.0,2.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,6.0,0.0,2.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,28.0,3.0,36.0,100.0,4.0,0.0,241.0,176.0,8.0,0.0,0.0,2.0,36.0,30.0,83.3,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Ross Barkley,CM,25-116,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,67.0,10.0,1.0,0.0,0.0,0.3,0.3,0.1,3.0,0.0,49.0,60.0,81.7,3.0,48.0,8.0,0.0,1.0,828.0,186.0,20.0,25.0,80.0,26.0,31.0,83.9,3.0,3.0,100.0,2.0,4.0,0.0,0.0,57.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,10.0,9.0,12.0,37.0,9.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,30.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,44.0,20.0,3.0,64.0,0.0,0.0,0.0,289.0,169.0,3.0,1.0,0.0,3.0,57.0,51.0,89.5,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Mateo Kovačić,"CM,DM",24-329,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,59.0,88.1,4.0,61.0,5.0,1.0,1.0,739.0,230.0,33.0,36.0,91.7,16.0,18.0,88.9,2.0,4.0,50.0,1.0,5.0,0.0,0.0,57.0,2.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,6.0,2.0,5.0,49.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,21.1,5.0,10.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,53.0,21.0,1.0,70.0,100.0,1.0,0.0,423.0,187.0,5.0,0.0,0.0,6.0,68.0,59.0,86.8,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
Jorginho,DM,27-101,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,37.0,83.8,4.0,30.0,4.0,1.0,1.0,442.0,198.0,16.0,17.0,94.1,13.0,17.0,76.5,1.0,1.0,100.0,0.0,2.0,0.0,0.0,37.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,4.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,2.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,15.0,26.0,6.0,0.0,45.0,100.0,1.0,0.0,131.0,88.0,1.0,0.0,1.0,1.0,29.0,28.0,96.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0
Ruben Loftus-Cheek,"CM,DM",23-067,27.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,0.2,0.2,0.0,0.0,0.0,15.0,17.0,88.2,2.0,21.0,3.0,1.0,2.0,184.0,57.0,11.0,12.0,91.7,3.0,3.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,2.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,13.0,10.0,4.0,25.0,50.0,1.0,0.0,125.0,65.0,1.0,1.0,0.0,2.0,26.0,19.0,73.1,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Marcos Alonso,LB,28-093,90.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,78.0,10.0,0.0,2.0,1.0,0.3,0.3,0.2,6.0,1.0,49.0,67.0,73.1,3.0,42.0,7.0,1.0,2.0,796.0,318.0,29.0,31.0,93.5,15.0,20.0,75.0,5.0,11.0,45.5,4.0,4.0,2.0,1.0,54.0,13.0,0.0,0.0,14.0,3.0,4.0,0.0,0.0,0.0,0.0,33.0,20.0,14.0,41.0,6.0,4.0,13.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,20.0,5.0,1.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0,32.0,24.0,27.0,7.0,65.0,50.0,2.0,0.0,264.0,168.0,4.0,0.0,1.0,1.0,50.0,44.0,88.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,15.0,5.0,1.0,83.3
