player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Wilfried Zaha,FW,26-042,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,16.0,21.0,76.2,1.0,34.0,3.0,3.0,8.0,248.0,46.0,10.0,11.0,90.9,5.0,5.0,100.0,1.0,4.0,25.0,1.0,1.0,0.0,0.0,18.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,11.5,6.0,14.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,19.0,15.0,0.0,36.0,37.5,3.0,0.0,106.0,67.0,0.0,0.0,6.0,2.0,60.0,27.0,45.0,7.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Jordan Ayew,FW,27-102,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Max Meyer,LW,23-095,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,25.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,14.0,21.0,66.7,3.0,21.0,3.0,0.0,0.0,197.0,87.0,8.0,10.0,80.0,5.0,9.0,55.6,1.0,1.0,100.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,1.0,8.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,12.0,10.0,11.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,13.0,13.0,7.0,2.0,30.0,0.0,0.0,0.0,144.0,88.0,1.0,1.0,0.0,2.0,18.0,13.0,72.2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0
Jason Puncheon,LW,32-179,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andros Townsend,RW,27-159,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,32.0,6.0,1.0,4.0,0.5,0.5,0.0,3.0,2.0,14.0,20.0,70.0,1.0,22.0,0.0,3.0,4.0,258.0,102.0,10.0,12.0,83.3,2.0,2.0,100.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,4.0,5.0,80.0,1.0,7.0,21.9,21.0,11.0,0.0,0.0,0.0,4.0,7.0,2.0,0.0,5.0,17.0,11.0,10.0,2.0,35.0,75.0,3.0,0.0,149.0,93.0,0.0,0.0,2.0,0.0,23.0,13.0,56.5,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Jeffrey Schlupp,CM,25-364,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.0,12.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,69.2,2.0,18.0,2.0,0.0,1.0,269.0,142.0,10.0,12.0,83.3,6.0,9.0,66.7,1.0,3.0,33.3,0.0,4.0,0.0,0.0,26.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,7.0,16.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,16.7,7.0,4.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,4.0,16.0,19.0,9.0,2.0,43.0,0.0,0.0,0.0,56.0,45.0,0.0,1.0,1.0,2.0,33.0,22.0,66.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,38.5
James McArthur,CM,31-076,90.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,28.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,11.0,17.0,64.7,1.0,14.0,1.0,0.0,0.0,176.0,65.0,6.0,8.0,75.0,4.0,6.0,66.7,1.0,1.0,100.0,1.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,3.0,12.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,14.3,18.0,9.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,9.0,15.0,9.0,2.0,0.0,24.0,0.0,0.0,0.0,63.0,28.0,1.0,0.0,0.0,1.0,9.0,6.0,66.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
Luka Milivojević,DM,27-259,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,31.0,4.0,1.0,1.0,0.8,0.0,0.0,0.0,0.0,15.0,20.0,75.0,1.0,13.0,0.0,1.0,1.0,296.0,72.0,5.0,6.0,83.3,7.0,9.0,77.8,3.0,5.0,60.0,0.0,1.0,0.0,0.0,19.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,6.0,1.0,13.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,5.0,20.0,4.0,7.0,22.6,18.0,13.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,12.0,14.0,4.0,1.0,27.0,100.0,1.0,0.0,36.0,17.0,0.0,0.0,0.0,0.0,13.0,12.0,92.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
Patrick van Aanholt,LB,28-115,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,20.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,31.0,74.2,2.0,20.0,3.0,0.0,1.0,438.0,231.0,7.0,8.0,87.5,14.0,19.0,73.7,2.0,4.0,50.0,0.0,3.0,0.0,0.0,22.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,10.0,20.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,4.0,20.0,18.0,2.0,0.0,0.0,0.0,3.0,3.0,8.0,0.0,13.0,22.0,21.0,5.0,0.0,38.0,0.0,0.0,0.0,133.0,65.0,0.0,0.0,1.0,1.0,18.0,17.0,94.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
Mamadou Sakho,CB,28-312,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,0.0,6.0,0.0,0.0,0.0,108.0,44.0,2.0,2.0,100.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,0.0,12.0,19.0,5.0,0.0,0.0,22.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
