player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Michy Batshuayi,FW,25-148,77.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,22.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,8.0,11.0,72.7,2.0,14.0,3.0,1.0,2.0,128.0,30.0,4.0,4.0,100.0,3.0,4.0,75.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,5.0,22.7,2.0,17.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,10.0,3.0,19.0,50.0,1.0,0.0,126.0,70.0,3.0,0.0,1.0,1.0,29.0,15.0,51.7,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Christian Benteke,FW,28-086,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Wilfried Zaha,LW,26-109,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,47.0,18.0,1.0,0.0,4.0,0.2,0.2,0.0,4.0,0.0,23.0,29.0,79.3,6.0,43.0,13.0,5.0,7.0,347.0,146.0,14.0,16.0,87.5,9.0,10.0,90.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,28.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,3.0,3.0,5.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,27.8,4.0,7.0,7.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,19.0,29.0,11.0,46.0,71.4,5.0,0.0,300.0,229.0,4.0,3.0,4.0,3.0,51.0,37.0,72.5,10.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
Andros Townsend,RW,27-226,90.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,52.0,19.0,3.0,2.0,2.0,0.3,0.3,0.3,6.0,0.0,32.0,35.0,91.4,4.0,38.0,11.0,2.0,3.0,625.0,179.0,13.0,15.0,86.7,15.0,15.0,100.0,4.0,4.0,100.0,3.0,1.0,7.0,5.0,31.0,4.0,0.0,0.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,22.0,5.0,8.0,25.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,33.3,2.0,3.0,15.8,3.0,11.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,4.0,24.0,31.0,3.0,48.0,66.7,2.0,0.0,356.0,201.0,5.0,0.0,2.0,4.0,46.0,39.0,84.8,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Jeffrey Schlupp,CM,26-066,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,10.0,1.0,1.0,4.0,0.2,0.2,0.6,5.0,2.0,36.0,44.0,81.8,7.0,43.0,6.0,4.0,4.0,652.0,240.0,11.0,12.0,91.7,22.0,26.0,84.6,3.0,5.0,60.0,4.0,9.0,0.0,0.0,44.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,4.0,6.0,35.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,11.0,34.0,15.0,4.0,56.0,100.0,4.0,0.0,255.0,126.0,2.0,0.0,2.0,2.0,45.0,37.0,82.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,20.0
James McArthur,CM,31-143,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0,1.0,2.0,0.0,0.0,0.0,0.2,3.0,0.0,23.0,29.0,79.3,0.0,25.0,2.0,1.0,1.0,465.0,112.0,11.0,11.0,100.0,9.0,10.0,90.0,3.0,6.0,50.0,1.0,2.0,1.0,1.0,28.0,1.0,0.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,19.0,2.0,8.0,5.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,16.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,22.0,9.0,2.0,33.0,100.0,1.0,0.0,140.0,83.0,0.0,2.0,1.0,0.0,30.0,22.0,73.3,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3
Max Meyer,CM,23-162,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,15.0,19.0,78.9,1.0,16.0,5.0,0.0,0.0,185.0,72.0,10.0,11.0,90.9,4.0,7.0,57.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,1.0,7.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,12.0,1.0,23.0,0.0,0.0,0.0,123.0,100.0,2.0,0.0,1.0,1.0,22.0,20.0,90.9,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Luka Milivojević,DM,27-326,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,28.0,0.0,0.0,2.0,0.0,0.0,0.2,7.0,0.0,54.0,68.0,79.4,5.0,44.0,4.0,0.0,0.0,998.0,352.0,22.0,22.0,100.0,26.0,31.0,83.9,6.0,14.0,42.9,5.0,3.0,0.0,0.0,59.0,9.0,3.0,0.0,8.0,4.0,1.0,5.0,2.0,0.0,2.0,45.0,6.0,17.0,7.0,55.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,10.7,11.0,16.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,13.0,44.0,21.0,0.0,65.0,0.0,0.0,0.0,242.0,86.0,1.0,0.0,1.0,0.0,46.0,45.0,97.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,33.3
Patrick van Aanholt,LB,28-182,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,15.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,30.0,31.0,96.8,0.0,18.0,2.0,1.0,1.0,609.0,99.0,12.0,12.0,100.0,11.0,11.0,100.0,7.0,8.0,87.5,1.0,1.0,1.0,1.0,20.0,11.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,7.0,6.0,19.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,13.3,8.0,6.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,21.0,12.0,2.0,29.0,100.0,1.0,0.0,86.0,31.0,0.0,0.0,1.0,1.0,24.0,22.0,91.7,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Cheikhou Kouyaté,"LB,CM",29-068,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,1.0,9.0,1.0,0.0,0.0,106.0,56.0,6.0,6.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,9.0,0.0,0.0,0.0,48.0,15.0,0.0,0.0,0.0,0.0,10.0,7.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
