player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Benjamin Jeannot,FW,27-080,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,52.0,25.0,0.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,20.0,35.0,57.1,0.0,31.0,2.0,1.0,1.0,311.0,31.0,12.0,17.0,70.6,5.0,8.0,62.5,3.0,9.0,33.3,1.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,13.0,4.0,19.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,1.0,18.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,35.0,18.0,5.0,51.0,100.0,1.0,0.0,65.0,18.0,0.0,1.0,6.0,2.0,73.0,41.0,56.2,12.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,76.9
Júlio Tavares,LW,30-144,90.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,38.0,12.0,2.0,0.0,1.0,0.6,0.6,0.1,2.0,0.0,16.0,23.0,69.6,2.0,16.0,0.0,0.0,0.0,240.0,50.0,9.0,12.0,75.0,5.0,8.0,62.5,1.0,2.0,50.0,1.0,1.0,2.0,0.0,23.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,9.0,3.0,9.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,16.7,2.0,7.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,18.0,17.0,6.0,38.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,3.0,2.0,65.0,31.0,47.7,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,7.0,53.3
Wesley Saïd,RW,23-358,62.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,28.0,10.0,0.0,0.0,2.0,0.1,0.1,0.4,1.0,0.0,15.0,19.0,78.9,6.0,24.0,6.0,1.0,1.0,313.0,109.0,7.0,10.0,70.0,5.0,6.0,83.3,3.0,3.0,100.0,1.0,1.0,4.0,0.0,19.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,4.0,3.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,40.0,3.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,20.0,6.0,28.0,100.0,1.0,0.0,182.0,132.0,5.0,1.0,3.0,2.0,35.0,24.0,68.6,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Naïm Sliti,RW,26-259,28.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,28.0,4.0,0.0,0.0,1.0,0.2,0.2,0.2,4.0,0.0,14.0,21.0,66.7,2.0,23.0,8.0,4.0,4.0,348.0,144.0,4.0,4.0,100.0,5.0,6.0,83.3,5.0,9.0,55.6,2.0,0.0,2.0,0.0,16.0,5.0,1.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,4.0,13.0,1.0,7.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,21.0,4.0,23.0,100.0,4.0,0.0,160.0,90.0,1.0,2.0,0.0,1.0,23.0,19.0,82.6,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Romain Amalfitano,CM,29-228,84.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,49.0,21.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,33.0,40.0,82.5,5.0,34.0,3.0,1.0,1.0,767.0,161.0,9.0,12.0,75.0,15.0,16.0,93.8,9.0,11.0,81.8,2.0,2.0,3.0,0.0,40.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,11.0,5.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,3.0,33.3,2.0,5.0,23.8,4.0,15.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,11.0,29.0,13.0,1.0,49.0,100.0,1.0,0.0,212.0,93.0,1.0,0.0,0.0,1.0,32.0,28.0,87.5,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,100.0
Kwon Chang-hoon,CM,24-286,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,6.0,1.0,0.0,0.0,49.0,0.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,6.0,0.0,0.0,0.0,24.0,7.0,0.0,1.0,0.0,0.0,9.0,6.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Jordan Marié,CM,27-195,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,30.0,2.0,0.0,5.0,0.1,0.1,0.0,1.0,0.0,30.0,44.0,68.2,4.0,35.0,3.0,3.0,3.0,518.0,156.0,12.0,17.0,70.6,15.0,16.0,93.8,3.0,8.0,37.5,0.0,2.0,1.0,0.0,44.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,27.0,6.0,11.0,4.0,37.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,26.7,8.0,20.0,2.0,1.0,0.0,4.0,2.0,1.0,0.0,2.0,13.0,33.0,13.0,2.0,56.0,100.0,3.0,1.0,127.0,78.0,2.0,0.0,2.0,0.0,41.0,34.0,82.9,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,4.0,20.0
Florent Balmont,DM,39-069,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,55.0,69.0,79.7,4.0,49.0,3.0,0.0,0.0,1033.0,356.0,23.0,25.0,92.0,25.0,26.0,96.2,6.0,16.0,37.5,1.0,7.0,0.0,0.0,62.0,7.0,5.0,0.0,10.0,3.0,0.0,2.0,0.0,0.0,2.0,46.0,4.0,19.0,8.0,59.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,6.0,30.0,8.0,10.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,18.0,49.0,12.0,0.0,69.0,0.0,0.0,0.0,230.0,113.0,0.0,0.0,0.0,0.0,43.0,39.0,90.7,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,0.0
Oussama Haddadi,LB,27-074,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,14.0,1.0,0.0,3.0,0.0,0.0,0.3,8.0,0.0,38.0,55.0,69.1,7.0,39.0,5.0,1.0,2.0,821.0,389.0,14.0,15.0,93.3,17.0,21.0,81.0,7.0,18.0,38.9,5.0,6.0,2.0,1.0,42.0,13.0,0.0,0.0,6.0,5.0,5.0,1.0,0.0,0.0,0.0,20.0,10.0,25.0,40.0,2.0,0.0,12.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,35.7,7.0,4.0,3.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,16.0,28.0,25.0,4.0,50.0,50.0,2.0,0.0,260.0,210.0,5.0,0.0,1.0,0.0,44.0,36.0,81.8,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,20.0
Wesley Lautoa,CB,31-230,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,35.0,82.9,4.0,29.0,2.0,0.0,0.0,623.0,348.0,9.0,10.0,90.0,11.0,12.0,91.7,9.0,13.0,69.2,0.0,2.0,0.0,0.0,34.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,11.0,28.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,7.0,63.6,7.0,3.0,1.0,0.0,0.0,0.0,4.0,7.0,0.0,3.0,27.0,23.0,3.0,0.0,47.0,0.0,0.0,0.0,283.0,146.0,2.0,0.0,1.0,0.0,24.0,23.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,1.0,88.9
