player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Francesco Caputo,FW,31-076,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,31.0,8.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,19.0,23.0,82.6,1.0,26.0,2.0,0.0,1.0,231.0,31.0,15.0,17.0,88.2,4.0,6.0,66.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,37.5,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,24.0,11.0,27.0,0.0,0.0,0.0,132.0,51.0,1.0,2.0,3.0,2.0,43.0,24.0,55.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Antonino La Gumina,FW,22-229,90.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,16.0,12.0,1.0,0.0,3.0,0.6,0.6,0.0,4.0,1.0,4.0,5.0,80.0,1.0,12.0,0.0,3.0,3.0,78.0,17.0,1.0,1.0,100.0,2.0,3.0,66.7,1.0,1.0,100.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,1.0,2.0,9.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,11.0,5.0,16.0,100.0,3.0,0.0,72.0,38.0,0.0,0.0,2.0,1.0,29.0,9.0,31.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
Miha Zajc,AM,24-112,65.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,36.0,9.0,0.0,0.0,0.0,0.2,0.2,0.5,6.0,0.0,24.0,29.0,82.8,3.0,27.0,5.0,1.0,1.0,470.0,196.0,11.0,12.0,91.7,7.0,9.0,77.8,6.0,8.0,75.0,5.0,5.0,0.0,0.0,22.0,7.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,0.0,0.0,22.0,0.0,7.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.2,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,22.0,3.0,29.0,100.0,1.0,0.0,117.0,60.0,1.0,0.0,0.0,1.0,36.0,26.0,72.2,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Salih Uçan,AM,24-288,25.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,25.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,13.0,20.0,65.0,0.0,22.0,0.0,1.0,1.0,202.0,14.0,9.0,11.0,81.8,2.0,5.0,40.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,2.0,1.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,18.0,1.0,23.0,100.0,1.0,0.0,130.0,77.0,2.0,0.0,1.0,1.0,20.0,17.0,85.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
Rade Krunić,LM,25-014,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,11.0,1.0,0.0,1.0,0.0,0.0,0.1,9.0,1.0,47.0,54.0,87.0,8.0,54.0,11.0,3.0,3.0,758.0,206.0,24.0,29.0,82.8,19.0,20.0,95.0,4.0,4.0,100.0,5.0,3.0,2.0,0.0,53.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.0,5.0,3.0,46.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,18.2,2.0,7.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,12.0,23.0,35.0,2.0,63.0,100.0,3.0,0.0,301.0,196.0,3.0,0.0,1.0,1.0,49.0,43.0,87.8,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,4.0,1.0,80.0
Leonardo Capezzi,CM,23-207,65.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,66.0,13.0,2.0,2.0,1.0,0.1,0.1,0.0,1.0,0.0,43.0,53.0,81.1,3.0,55.0,5.0,2.0,3.0,693.0,176.0,23.0,24.0,95.8,17.0,20.0,85.0,3.0,9.0,33.3,0.0,2.0,0.0,0.0,50.0,3.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,3.0,8.0,9.0,40.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,20.0,4.0,4.0,30.8,5.0,8.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,11.0,39.0,22.0,2.0,64.0,66.7,2.0,0.0,282.0,165.0,3.0,0.0,2.0,1.0,47.0,46.0,97.9,6.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,12.0,3.0,0.0,100.0
Ismaël Bennacer,CM,20-324,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0,93.8,2.0,18.0,1.0,2.0,2.0,288.0,68.0,7.0,7.0,100.0,6.0,6.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,5.0,71.4,3.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,14.0,4.0,0.0,19.0,100.0,2.0,0.0,86.0,15.0,1.0,0.0,0.0,1.0,14.0,14.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
Afriyie Acquah,RM,26-289,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,65.0,10.0,1.0,1.0,2.0,0.1,0.1,0.0,2.0,0.0,42.0,51.0,82.4,3.0,56.0,14.0,2.0,3.0,669.0,106.0,20.0,24.0,83.3,22.0,24.0,91.7,0.0,2.0,0.0,0.0,2.0,0.0,0.0,51.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,43.0,3.0,5.0,2.0,45.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,4.0,40.0,0.0,9.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,6.0,38.0,30.0,2.0,65.0,66.7,2.0,0.0,460.0,297.0,4.0,0.0,1.0,3.0,58.0,52.0,89.7,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
Luca Antonelli,LB,31-252,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,2.0,2.0,2.0,0.0,0.0,0.1,3.0,1.0,30.0,42.0,71.4,3.0,39.0,7.0,1.0,1.0,419.0,165.0,20.0,22.0,90.9,10.0,14.0,71.4,0.0,4.0,0.0,1.0,1.0,0.0,0.0,38.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,6.0,7.0,30.0,8.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,5.0,20.0,4.0,5.0,50.0,4.0,5.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,2.0,16.0,24.0,24.0,1.0,51.0,100.0,1.0,0.0,294.0,217.0,5.0,1.0,2.0,0.0,36.0,35.0,97.2,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
Manuel Pasqual,LB,36-222,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,10.0,21.0,47.6,2.0,14.0,3.0,0.0,0.0,189.0,111.0,5.0,7.0,71.4,3.0,6.0,50.0,2.0,8.0,25.0,2.0,1.0,2.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,4.0,10.0,15.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,16.0,0.0,18.0,0.0,0.0,0.0,67.0,53.0,3.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
