player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Francesco Caputo,FW,31-223,90.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,32.0,14.0,0.0,0.0,2.0,1.2,0.4,0.6,3.0,0.0,16.0,22.0,72.7,2.0,22.0,5.0,2.0,2.0,229.0,34.0,7.0,8.0,87.5,7.0,10.0,70.0,1.0,1.0,100.0,2.0,0.0,2.0,0.0,21.0,1.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,3.0,17.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.6,1.0,6.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,14.0,19.0,6.0,30.0,100.0,2.0,0.0,153.0,87.0,1.0,2.0,1.0,1.0,46.0,21.0,45.7,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0
Diego Farias,FW,28-311,86.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,24.0,17.0,0.0,0.0,0.0,0.6,0.6,0.3,2.0,1.0,16.0,18.0,88.9,1.0,17.0,4.0,1.0,2.0,184.0,27.0,14.0,15.0,93.3,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,3.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.5,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,18.0,7.0,24.0,50.0,1.0,0.0,133.0,72.0,3.0,2.0,0.0,1.0,43.0,22.0,51.2,11.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0
Salih Uçan,FW,25-070,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,5.0,1.0,0.0,0.0,49.0,15.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,37.0,18.0,1.0,0.0,0.0,1.0,5.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rade Krunić,CM,25-161,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,23.0,4.0,1.0,3.0,0.0,0.0,0.1,2.0,1.0,27.0,35.0,77.1,5.0,30.0,5.0,0.0,0.0,436.0,98.0,14.0,18.0,77.8,10.0,12.0,83.3,2.0,3.0,66.7,2.0,2.0,3.0,0.0,33.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,3.0,4.0,27.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,30.4,4.0,14.0,5.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,7.0,29.0,21.0,3.0,52.0,0.0,0.0,0.0,186.0,112.0,1.0,1.0,6.0,2.0,51.0,39.0,76.5,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
Hamed Junior Traorè,CM,19-029,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,15.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,41.0,47.0,87.2,2.0,37.0,7.0,1.0,3.0,824.0,213.0,19.0,19.0,100.0,17.0,20.0,85.0,5.0,7.0,71.4,0.0,3.0,0.0,0.0,47.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,7.0,13.0,31.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,5.0,20.0,4.0,5.0,33.3,3.0,7.0,5.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,9.0,36.0,19.0,2.0,58.0,33.3,2.0,0.0,208.0,95.0,2.0,0.0,0.0,3.0,42.0,37.0,88.1,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,100.0
Afriyie Acquah,CM,27-071,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,8.0,0.0,1.0,1.0,71.0,21.0,3.0,4.0,75.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,9.0,100.0,1.0,0.0,92.0,46.0,0.0,0.0,0.0,1.0,8.0,5.0,62.5,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Ismaël Bennacer,DM,21-106,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,11.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,52.0,64.0,81.3,4.0,56.0,5.0,5.0,6.0,957.0,246.0,25.0,31.0,80.6,18.0,21.0,85.7,8.0,11.0,72.7,1.0,4.0,0.0,0.0,61.0,3.0,1.0,0.0,13.0,3.0,0.0,2.0,1.0,0.0,0.0,43.0,8.0,13.0,55.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,36.4,1.0,7.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,26.0,41.0,15.0,0.0,75.0,83.3,6.0,0.0,282.0,120.0,3.0,0.0,1.0,0.0,55.0,50.0,90.9,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,33.3
Marko Pajač,WB,25-310,68.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,38.0,6.0,1.0,0.0,0.0,0.2,0.2,0.1,2.0,0.0,26.0,33.0,78.8,0.0,26.0,3.0,1.0,1.0,398.0,148.0,12.0,12.0,100.0,11.0,12.0,91.7,2.0,6.0,33.3,1.0,0.0,0.0,0.0,29.0,4.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,24.0,6.0,3.0,27.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,16.7,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,14.0,16.0,4.0,33.0,100.0,1.0,1.0,125.0,52.0,1.0,1.0,1.0,0.0,28.0,27.0,96.4,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
Manuel Pasqual,WB,37-004,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,0.0,7.0,1.0,1.0,1.0,140.0,79.0,4.0,6.0,66.7,0.0,1.0,0.0,2.0,3.0,66.7,0.0,0.0,1.0,1.0,8.0,2.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,33.3,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,6.0,1.0,11.0,100.0,1.0,0.0,12.0,5.0,0.0,0.0,0.0,1.0,9.0,7.0,77.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Giovanni Di Lorenzo,WB,25-225,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0,57.0,86.0,7.0,47.0,2.0,1.0,1.0,791.0,322.0,24.0,28.0,85.7,22.0,25.0,88.0,3.0,3.0,100.0,0.0,2.0,2.0,0.0,51.0,6.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,15.0,3.0,7.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,2.0,20.0,3.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,17.0,28.0,27.0,1.0,59.0,100.0,1.0,0.0,282.0,180.0,2.0,0.0,1.0,3.0,52.0,49.0,94.2,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
