player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Cenk Tosun,FW,27-079,83.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,33.0,15.0,2.0,0.0,0.0,0.2,0.2,0.0,2.0,1.0,20.0,23.0,87.0,2.0,25.0,2.0,3.0,3.0,318.0,59.0,11.0,13.0,84.6,6.0,6.0,100.0,2.0,2.0,100.0,2.0,1.0,2.0,0.0,21.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,5.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.7,0.0,7.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,16.0,16.0,1.0,31.0,100.0,3.0,0.0,152.0,62.0,2.0,0.0,3.0,2.0,37.0,19.0,51.4,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,16.7
Dominic Calvert-Lewin,FW,21-162,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,44.4,0.0,7.0,0.0,1.0,1.0,64.0,9.0,2.0,5.0,40.0,2.0,3.0,66.7,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1.0,12.0,100.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,10.0,8.0,80.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0
Richarlison,"AM,LW",21-107,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,14.0,64.3,0.0,17.0,2.0,1.0,1.0,127.0,0.0,6.0,11.0,54.5,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,10.0,2.0,19.0,100.0,1.0,0.0,63.0,33.0,0.0,1.0,2.0,2.0,21.0,18.0,85.7,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
Theo Walcott,RW,29-162,84.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,23.0,30.0,76.7,3.0,31.0,5.0,0.0,0.0,375.0,105.0,11.0,13.0,84.6,10.0,13.0,76.9,1.0,3.0,33.3,1.0,3.0,0.0,0.0,29.0,1.0,1.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,2.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,25.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,15.0,21.0,7.0,35.0,0.0,0.0,0.0,214.0,87.0,1.0,2.0,1.0,1.0,35.0,29.0,82.9,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
Bernard,RW,25-351,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,4.0,1.0,0.0,0.0,72.0,15.0,1.0,1.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,23.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gylfi Sigurðsson,"AM,LW",28-351,90.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,32.0,27.0,2.0,2.0,1.0,0.0,0.0,0.2,4.0,2.0,18.0,24.0,75.0,3.0,24.0,2.0,2.0,2.0,375.0,128.0,6.0,7.0,85.7,9.0,13.0,69.2,3.0,4.0,75.0,2.0,0.0,3.0,2.0,22.0,2.0,0.0,0.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,16.0,1.0,7.0,3.0,20.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.5,4.0,11.0,12.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,13.0,17.0,3.0,30.0,100.0,2.0,0.0,131.0,43.0,0.0,0.0,1.0,1.0,29.0,22.0,75.9,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
Idrissa Gana Gueye,CM,28-333,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,17.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,48.0,54.0,88.9,4.0,51.0,4.0,2.0,2.0,1144.0,247.0,9.0,11.0,81.8,25.0,27.0,92.6,14.0,16.0,87.5,0.0,8.0,0.0,0.0,53.0,1.0,1.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,5.0,5.0,8.0,40.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,100.0,0.0,2.0,11.8,5.0,9.0,3.0,1.0,0.0,1.0,6.0,3.0,0.0,5.0,20.0,47.0,10.0,0.0,69.0,100.0,2.0,0.0,267.0,133.0,2.0,0.0,0.0,2.0,42.0,42.0,100.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,100.0
Tom Davies,CM,20-056,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,36.0,48.0,75.0,3.0,42.0,3.0,0.0,0.0,610.0,132.0,16.0,19.0,84.2,19.0,23.0,82.6,1.0,6.0,16.7,1.0,4.0,1.0,0.0,47.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,4.0,9.0,36.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,0.0,3.0,4.0,75.0,1.0,1.0,12.5,4.0,2.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,13.0,33.0,19.0,1.0,59.0,0.0,0.0,0.0,181.0,77.0,2.0,0.0,1.0,0.0,39.0,38.0,97.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Leighton Baines,LB,33-257,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,60.0,4.0,1.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,44.0,51.0,86.3,0.0,36.0,0.0,0.0,0.0,816.0,249.0,15.0,18.0,83.3,23.0,25.0,92.0,4.0,6.0,66.7,0.0,2.0,1.0,1.0,37.0,14.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,12.0,10.0,28.0,7.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,6.0,14.0,30.0,17.0,0.0,45.0,0.0,0.0,0.0,94.0,37.0,1.0,0.0,0.0,0.0,37.0,36.0,97.3,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Michael Keane,CB,25-226,89.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,60.0,7.0,2.0,1.0,3.0,0.2,0.2,0.0,1.0,0.0,39.0,47.0,83.0,2.0,43.0,5.0,1.0,1.0,927.0,321.0,8.0,10.0,80.0,22.0,24.0,91.7,9.0,13.0,69.2,1.0,4.0,0.0,0.0,47.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,5.0,13.0,31.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,7.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,5.0,28.0,30.0,3.0,3.0,60.0,100.0,1.0,0.0,196.0,109.0,0.0,0.0,1.0,0.0,42.0,42.0,100.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,80.0
