player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Dame N'Doye,FW,33-225,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,53.0,31.0,4.0,0.0,0.0,0.7,0.7,0.0,1.0,0.0,15.0,27.0,55.6,1.0,33.0,3.0,0.0,2.0,225.0,61.0,10.0,13.0,76.9,4.0,7.0,57.1,1.0,2.0,50.0,0.0,1.0,0.0,0.0,26.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,7.0,0.0,15.0,4.0,0.0,3.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,100.0,0.0,4.0,12.9,0.0,20.0,11.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,6.0,28.0,23.0,3.0,52.0,0.0,0.0,0.0,98.0,53.0,0.0,1.0,4.0,6.0,76.0,42.0,55.3,19.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,46.2
Pieros Sotiriou,FW,25-264,90.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,27.0,25.0,1.0,0.0,1.0,0.2,0.2,0.0,2.0,0.0,14.0,18.0,77.8,0.0,13.0,0.0,0.0,2.0,187.0,12.0,9.0,10.0,90.0,4.0,6.0,66.7,1.0,2.0,50.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,6.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,20.0,3.0,14.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,18.0,8.0,2.0,26.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,1.0,1.0,43.0,21.0,48.8,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,75.0
Nicolaj Thomsen,LW,25-149,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,71.4,0.0,13.0,0.0,0.0,2.0,145.0,32.0,6.0,6.0,100.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,4.0,14.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,10.0,6.0,0.0,20.0,0.0,1.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0,21.0,12.0,57.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
Rasmus Falk,LW,26-262,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,2.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,7.0,8.0,87.5,0.0,10.0,1.0,1.0,1.0,68.0,0.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,42.9,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,5.0,1.0,12.0,100.0,1.0,0.0,35.0,14.0,1.0,0.0,0.0,1.0,9.0,8.0,88.9,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Zeca,"RW,CM",30-034,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.0,32.0,3.0,0.0,4.0,0.0,0.0,0.1,4.0,0.0,34.0,38.0,89.5,4.0,38.0,0.0,1.0,3.0,473.0,129.0,18.0,19.0,94.7,14.0,16.0,87.5,1.0,2.0,50.0,1.0,4.0,0.0,0.0,38.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,35.0,2.0,1.0,8.0,29.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,33.3,2.0,6.0,18.8,10.0,15.0,7.0,0.0,0.0,4.0,3.0,2.0,0.0,5.0,11.0,31.0,11.0,1.0,51.0,33.3,2.0,1.0,124.0,52.0,0.0,0.0,0.0,1.0,45.0,35.0,77.8,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
William Kvist,CM,33-222,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,42.0,81.0,2.0,30.0,1.0,0.0,0.0,569.0,173.0,17.0,19.0,89.5,15.0,17.0,88.2,2.0,4.0,50.0,0.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,10.0,2.0,34.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,9.0,34.0,4.0,0.0,47.0,0.0,0.0,0.0,99.0,25.0,0.0,0.0,0.0,0.0,29.0,27.0,93.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Robert Skov,"RW,CM",22-137,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,12.0,0.0,1.0,2.0,0.1,0.1,0.0,0.0,0.0,4.0,6.0,66.7,0.0,10.0,1.0,1.0,2.0,58.0,2.0,3.0,5.0,60.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,16.7,6.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,7.0,5.0,6.0,1.0,16.0,50.0,1.0,0.0,41.0,31.0,0.0,0.0,1.0,1.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Ján Greguš,CM,27-248,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,73.0,12.0,2.0,0.0,1.0,0.0,0.0,0.6,3.0,1.0,52.0,67.0,77.6,0.0,49.0,3.0,1.0,1.0,1028.0,195.0,25.0,27.0,92.6,18.0,22.0,81.8,9.0,17.0,52.9,3.0,1.0,1.0,1.0,57.0,10.0,4.0,0.0,27.0,4.0,2.0,6.0,0.0,0.0,0.0,45.0,4.0,18.0,8.0,56.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,8.3,4.0,6.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,11.0,46.0,21.0,0.0,63.0,100.0,1.0,0.0,208.0,88.0,2.0,0.0,1.0,0.0,46.0,44.0,95.7,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,100.0
Nicolai Boilesen,LB,26-230,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,31.0,44.0,70.5,2.0,24.0,4.0,0.0,0.0,525.0,240.0,17.0,19.0,89.5,11.0,16.0,68.8,3.0,8.0,37.5,1.0,1.0,0.0,0.0,33.0,11.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,18.0,27.0,4.0,4.0,9.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,2.0,25.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,7.0,20.0,28.0,12.0,1.0,45.0,0.0,0.0,0.0,172.0,114.0,2.0,0.0,1.0,0.0,30.0,28.0,93.3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Andreas Bjelland,CB,30-085,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,9.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,42.0,69.0,2.0,28.0,2.0,0.0,0.0,755.0,330.0,8.0,9.0,88.9,13.0,15.0,86.7,8.0,17.0,47.1,0.0,1.0,0.0,0.0,38.0,4.0,4.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,18.0,29.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.4,6.0,2.0,1.0,1.0,0.0,3.0,2.0,4.0,0.0,6.0,34.0,18.0,2.0,1.0,47.0,0.0,0.0,0.0,251.0,130.0,1.0,0.0,0.0,0.0,27.0,27.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,66.7
