player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Giovanni Simeone,FW,23-318,68.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,7.0,4.0,0.0,0.0,0.2,0.2,0.1,1.0,0.0,7.0,8.0,87.5,0.0,12.0,3.0,0.0,0.0,106.0,18.0,4.0,5.0,80.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,0.0,5.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,12.0,10.0,5.0,21.0,0.0,0.0,0.0,45.0,20.0,1.0,2.0,5.0,2.0,19.0,7.0,36.8,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,33.3
Luis Muriel,FW,28-033,22.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,40.0,0.0,10.0,3.0,1.0,1.0,19.0,0.0,0.0,2.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,11.0,100.0,1.0,0.0,61.0,38.0,0.0,0.0,0.0,2.0,8.0,8.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Federico Chiesa,AM,21-206,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,7.0,3.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,15.0,31.0,48.4,3.0,48.0,11.0,3.0,11.0,258.0,60.0,7.0,11.0,63.6,7.0,13.0,53.8,1.0,5.0,20.0,1.0,2.0,3.0,0.0,28.0,3.0,0.0,0.0,9.0,1.0,7.0,0.0,0.0,0.0,0.0,16.0,10.0,5.0,4.0,24.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,3.0,33.3,2.0,1.0,14.3,0.0,4.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,22.0,35.0,10.0,50.0,27.3,4.0,1.0,239.0,153.0,2.0,2.0,5.0,1.0,46.0,42.0,91.3,16.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Jordan Veretout,CM,26-079,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,11.0,1.0,0.0,1.0,0.0,0.0,0.6,4.0,0.0,48.0,58.0,82.8,9.0,47.0,6.0,0.0,0.0,980.0,356.0,16.0,17.0,94.1,26.0,27.0,96.3,6.0,12.0,50.0,3.0,9.0,0.0,0.0,49.0,9.0,2.0,0.0,4.0,5.0,1.0,6.0,2.0,1.0,3.0,40.0,8.0,10.0,12.0,45.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,18.2,3.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,44.0,20.0,1.0,56.0,0.0,0.0,0.0,226.0,128.0,2.0,0.0,1.0,0.0,45.0,43.0,95.6,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Marco Benassi,CM,24-253,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,55.0,4.0,1.0,1.0,3.0,0.1,0.1,0.0,3.0,0.0,36.0,44.0,81.8,4.0,38.0,9.0,1.0,2.0,563.0,161.0,20.0,21.0,95.2,15.0,18.0,83.3,1.0,4.0,25.0,1.0,3.0,1.0,1.0,43.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,32.0,9.0,3.0,16.0,26.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,100.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,5.0,29.0,23.0,4.0,54.0,50.0,1.0,1.0,179.0,125.0,2.0,1.0,1.0,0.0,38.0,34.0,89.5,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0
Gerson,DM,21-364,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,14.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,62.0,66.0,93.9,6.0,67.0,11.0,1.0,2.0,1338.0,263.0,19.0,19.0,100.0,36.0,37.0,97.3,7.0,10.0,70.0,1.0,6.0,1.0,0.0,61.0,5.0,4.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,54.0,5.0,7.0,56.0,7.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,35.7,4.0,10.0,0.0,0.0,0.0,2.0,5.0,6.0,0.0,4.0,14.0,67.0,8.0,0.0,79.0,50.0,1.0,0.0,412.0,223.0,2.0,0.0,0.0,1.0,58.0,58.0,100.0,6.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,8.0,1.0,3.0,25.0
Cristiano Biraghi,WB,26-260,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,40.0,52.0,76.9,3.0,37.0,3.0,0.0,0.0,914.0,313.0,9.0,10.0,90.0,22.0,23.0,95.7,9.0,19.0,47.4,1.0,5.0,2.0,1.0,38.0,14.0,2.0,0.0,2.0,3.0,4.0,1.0,0.0,1.0,0.0,23.0,13.0,16.0,35.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,50.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,13.0,37.0,12.0,0.0,46.0,0.0,0.0,0.0,134.0,85.0,3.0,0.0,0.0,0.0,37.0,36.0,97.3,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Kevin Mirallas,WB,31-226,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,9.0,13.0,69.2,2.0,14.0,5.0,0.0,1.0,163.0,42.0,4.0,5.0,80.0,3.0,4.0,75.0,2.0,4.0,50.0,1.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,4.0,16.0,0.0,0.0,0.0,87.0,56.0,1.0,0.0,0.0,1.0,14.0,13.0,92.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Bryan Dabo,WB,27-090,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,19.0,23.0,82.6,4.0,25.0,3.0,0.0,0.0,309.0,124.0,10.0,10.0,100.0,8.0,10.0,80.0,1.0,3.0,33.3,1.0,4.0,2.0,0.0,22.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,4.0,3.0,2.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,13.0,13.0,0.0,28.0,0.0,0.0,0.0,128.0,78.0,0.0,0.0,2.0,0.0,24.0,22.0,91.7,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Dušan Vlahović,WB,19-111,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
