player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Aleksandar Mitrović,FW,24-118,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,14.0,0.0,0.0,1.0,0.1,0.1,0.1,1.0,0.0,21.0,30.0,70.0,2.0,16.0,0.0,0.0,0.0,224.0,48.0,12.0,17.0,70.6,5.0,7.0,71.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,27.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,3.0,1.0,16.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.3,0.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,2.0,33.0,0.0,0.0,0.0,32.0,10.0,0.0,0.0,1.0,1.0,84.0,27.0,32.1,10.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,63.6
Ryan Sessegnon,LW,18-239,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,15.0,2.0,0.0,2.0,0.2,0.2,0.0,1.0,0.0,7.0,10.0,70.0,0.0,12.0,1.0,0.0,4.0,95.0,11.0,5.0,7.0,71.4,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,13.3,5.0,7.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,13.0,6.0,2.0,21.0,0.0,0.0,0.0,22.0,14.0,0.0,1.0,0.0,2.0,28.0,14.0,50.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Luciano Vietto,LW,25-038,45.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,22.0,10.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,12.0,18.0,66.7,2.0,17.0,0.0,0.0,0.0,156.0,58.0,8.0,12.0,66.7,2.0,3.0,66.7,1.0,1.0,100.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,6.0,22.0,0.0,0.0,0.0,49.0,13.0,0.0,0.0,0.0,0.0,22.0,15.0,68.2,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
André Schürrle,RW,28-067,76.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,46.0,21.0,2.0,1.0,0.0,0.1,0.1,0.2,1.0,0.0,18.0,32.0,56.3,0.0,27.0,4.0,0.0,0.0,276.0,65.0,10.0,16.0,62.5,6.0,10.0,60.0,1.0,5.0,20.0,1.0,2.0,1.0,1.0,31.0,1.0,0.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,18.0,5.0,9.0,5.0,23.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,33.3,7.0,9.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,6.0,16.0,27.0,3.0,45.0,0.0,0.0,0.0,105.0,56.0,2.0,1.0,1.0,4.0,53.0,33.0,62.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
Neeskens Kebano,RW,26-308,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,75.0,1.0,10.0,3.0,0.0,0.0,139.0,20.0,4.0,4.0,100.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,12.0,0.0,0.0,0.0,71.0,51.0,1.0,1.0,1.0,1.0,11.0,10.0,90.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Seri,CM,27-177,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,18.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,70.0,80.0,87.5,1.0,54.0,1.0,0.0,0.0,1347.0,177.0,32.0,34.0,94.1,25.0,25.0,100.0,12.0,19.0,63.2,1.0,3.0,0.0,0.0,70.0,10.0,4.0,0.0,20.0,3.0,0.0,6.0,0.0,0.0,0.0,64.0,8.0,8.0,8.0,69.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,33.3,4.0,14.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,20.0,51.0,21.0,0.0,78.0,0.0,0.0,0.0,193.0,82.0,1.0,0.0,2.0,0.0,66.0,59.0,89.4,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
Calum Chambers,CM,23-357,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,65.0,26.0,1.0,0.0,3.0,0.2,0.2,0.0,1.0,0.0,37.0,47.0,78.7,4.0,46.0,4.0,3.0,4.0,599.0,109.0,22.0,26.0,84.6,12.0,15.0,80.0,3.0,6.0,50.0,0.0,7.0,0.0,0.0,47.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,28.0,7.0,12.0,4.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,30.8,8.0,16.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,2.0,11.0,44.0,13.0,2.0,65.0,75.0,3.0,0.0,181.0,88.0,1.0,0.0,3.0,3.0,50.0,38.0,76.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,1.0,75.0
Joe Bryan,WB,25-117,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0,1.0,1.0,2.0,0.0,0.0,0.2,3.0,0.0,26.0,40.0,65.0,3.0,26.0,2.0,0.0,2.0,519.0,257.0,10.0,12.0,83.3,9.0,17.0,52.9,6.0,10.0,60.0,2.0,3.0,3.0,3.0,29.0,11.0,1.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,18.0,2.0,20.0,25.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,18.2,3.0,7.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,11.0,26.0,15.0,0.0,39.0,0.0,0.0,0.0,99.0,33.0,0.0,0.0,0.0,1.0,29.0,26.0,89.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,100.0
Tom Cairney,AM,27-357,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,26.0,96.2,4.0,23.0,6.0,0.0,0.0,499.0,99.0,9.0,9.0,100.0,11.0,12.0,91.7,4.0,4.0,100.0,1.0,5.0,1.0,0.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,11.0,0.0,26.0,0.0,0.0,0.0,199.0,144.0,4.0,0.0,0.0,0.0,28.0,26.0,92.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyrus Christie,"WB,RB",26-104,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,90.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,59.0,79.0,74.7,6.0,67.0,8.0,4.0,6.0,822.0,271.0,33.0,36.0,91.7,24.0,35.0,68.6,0.0,6.0,0.0,1.0,3.0,0.0,0.0,70.0,9.0,0.0,0.0,24.0,1.0,4.0,0.0,0.0,0.0,0.0,54.0,6.0,19.0,5.0,59.0,3.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,22.2,5.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,20.0,40.0,34.0,0.0,81.0,66.7,5.0,0.0,333.0,138.0,2.0,0.0,1.0,2.0,64.0,58.0,90.6,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,2.0,60.0
