player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Aleksandar Mitrović,FW,24-182,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,26.0,57.7,1.0,15.0,2.0,1.0,2.0,221.0,33.0,9.0,12.0,75.0,5.0,11.0,45.5,1.0,2.0,50.0,0.0,1.0,0.0,0.0,23.0,3.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,6.0,10.0,1.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,23.0,13.0,3.0,33.0,50.0,1.0,0.0,27.0,19.0,2.0,0.0,2.0,3.0,57.0,27.0,47.4,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,9.0,10.0,47.4
Ryan Babel,LW,32-088,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,41.0,26.0,0.0,0.0,3.0,0.9,0.9,0.1,5.0,0.0,28.0,34.0,82.4,1.0,35.0,5.0,2.0,2.0,378.0,98.0,20.0,20.0,100.0,4.0,5.0,80.0,3.0,5.0,60.0,3.0,1.0,1.0,0.0,34.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,3.0,2.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,42.3,12.0,6.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,8.0,16.0,19.0,5.0,41.0,100.0,2.0,1.0,162.0,88.0,1.0,3.0,0.0,2.0,50.0,31.0,62.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Floyd Ayité,RW,30-092,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,23.0,0.0,1.0,3.0,0.1,0.1,0.0,2.0,0.0,19.0,25.0,76.0,2.0,29.0,3.0,3.0,4.0,287.0,97.0,14.0,15.0,93.3,3.0,3.0,100.0,2.0,5.0,40.0,1.0,1.0,1.0,0.0,24.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,3.0,3.0,19.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,17.4,13.0,8.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,9.0,21.0,14.0,4.0,38.0,75.0,4.0,0.0,109.0,70.0,1.0,0.0,0.0,5.0,33.0,22.0,66.7,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Jean Seri,CM,27-241,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,80.8,3.0,23.0,2.0,0.0,0.0,339.0,102.0,9.0,11.0,81.8,10.0,11.0,90.9,1.0,2.0,50.0,0.0,3.0,2.0,1.0,25.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,6.0,2.0,3.0,22.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,34.8,6.0,14.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,20.0,10.0,0.0,34.0,0.0,0.0,0.0,102.0,63.0,0.0,0.0,1.0,1.0,30.0,24.0,80.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
Ryan Sessegnon,CM,18-303,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,75.0,1.0,10.0,1.0,1.0,2.0,151.0,79.0,6.0,7.0,85.7,2.0,2.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,2.0,11.0,50.0,1.0,0.0,44.0,30.0,0.0,1.0,0.0,1.0,12.0,7.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Tom Cairney,CM,28-056,81.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,40.0,80.0,1.0,33.0,1.0,1.0,2.0,555.0,103.0,15.0,17.0,88.2,14.0,17.0,82.4,3.0,4.0,75.0,1.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,5.0,5.0,34.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,15.4,6.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,26.0,10.0,2.0,47.0,50.0,1.0,0.0,139.0,40.0,0.0,0.0,3.0,0.0,44.0,40.0,90.9,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
Neeskens Kebano,CM,27-007,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,3.0,1.0,1.0,1.0,11.0,4.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,3.0,0.0,6.0,100.0,1.0,0.0,18.0,16.0,1.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0
Andre-Frank Zambo Anguissa,DM,23-121,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,58.0,29.0,2.0,5.0,3.0,0.1,0.1,0.0,0.0,0.0,41.0,47.0,87.2,1.0,36.0,5.0,2.0,2.0,617.0,138.0,17.0,17.0,100.0,19.0,21.0,90.5,1.0,4.0,25.0,0.0,4.0,0.0,0.0,46.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,3.0,2.0,43.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,13.8,20.0,9.0,0.0,1.0,0.0,2.0,7.0,2.0,0.0,3.0,23.0,34.0,5.0,0.0,57.0,100.0,2.0,0.0,165.0,75.0,2.0,0.0,0.0,0.0,32.0,29.0,90.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,100.0
Joe Bryan,LB,25-181,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,20.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,44.0,75.0,2.0,28.0,8.0,0.0,1.0,541.0,328.0,18.0,20.0,90.0,12.0,15.0,80.0,3.0,8.0,37.5,0.0,5.0,0.0,0.0,35.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,12.0,30.0,6.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,40.0,16.0,3.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,8.0,24.0,22.0,10.0,0.0,44.0,0.0,0.0,0.0,236.0,134.0,2.0,0.0,1.0,0.0,29.0,27.0,93.1,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
Tim Ream,CB,31-163,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,11.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,95.2,1.0,10.0,0.0,0.0,0.0,333.0,171.0,8.0,8.0,100.0,10.0,10.0,100.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,4.0,11.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,6.0,54.5,10.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,9.0,22.0,10.0,0.0,0.0,32.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
