player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Aleksandar Mitrović,FW,24-126,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,43.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,17.0,28.0,60.7,1.0,22.0,1.0,0.0,4.0,291.0,42.0,8.0,14.0,57.1,7.0,11.0,63.6,1.0,1.0,100.0,0.0,1.0,1.0,0.0,25.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,10.0,1.0,16.0,7.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.1,3.0,7.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,27.0,11.0,3.0,40.0,0.0,1.0,0.0,70.0,31.0,1.0,0.0,3.0,0.0,56.0,33.0,58.9,8.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,5.0,6.0,45.5
Ryan Babel,LW,32-032,54.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,25.0,14.0,0.0,1.0,2.0,0.5,0.5,0.1,2.0,0.0,11.0,13.0,84.6,2.0,21.0,4.0,2.0,3.0,185.0,36.0,4.0,4.0,100.0,5.0,6.0,83.3,1.0,1.0,100.0,2.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,42.9,5.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,11.0,12.0,3.0,25.0,66.7,2.0,0.0,129.0,99.0,2.0,1.0,2.0,3.0,36.0,18.0,50.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Ryan Sessegnon,LW,18-247,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,0.0,8.0,1.0,0.0,1.0,93.0,32.0,2.0,3.0,66.7,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.5,4.0,10.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,2.0,1.0,15.0,7.0,46.7,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
André Schürrle,RW,28-075,71.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,36.0,0.0,0.0,2.0,0.1,0.1,0.0,1.0,1.0,8.0,18.0,44.4,2.0,16.0,1.0,1.0,1.0,145.0,25.0,5.0,7.0,71.4,2.0,5.0,40.0,1.0,3.0,33.3,0.0,0.0,1.0,0.0,18.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,14.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,19.4,15.0,9.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,15.0,10.0,4.0,28.0,100.0,1.0,0.0,36.0,14.0,1.0,0.0,3.0,0.0,26.0,14.0,53.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
Neeskens Kebano,RW,26-316,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jean Seri,DM,27-185,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,35.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,55.6,1.0,19.0,0.0,0.0,0.0,351.0,88.0,13.0,15.0,86.7,5.0,7.0,71.4,2.0,13.0,15.4,0.0,1.0,1.0,0.0,28.0,8.0,1.0,0.0,4.0,5.0,1.0,7.0,0.0,0.0,0.0,19.0,3.0,14.0,1.0,34.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,8.0,22.9,15.0,12.0,8.0,0.0,0.0,4.0,3.0,2.0,0.0,4.0,10.0,21.0,13.0,0.0,35.0,0.0,0.0,0.0,54.0,21.0,0.0,0.0,0.0,0.0,20.0,17.0,85.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Ibrahima Cissé,DM,24-326,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Calum Chambers,DM,24-000,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,42.0,37.0,4.0,1.0,3.0,0.1,0.1,0.1,2.0,0.0,16.0,26.0,61.5,3.0,25.0,1.0,1.0,2.0,285.0,86.0,10.0,10.0,100.0,3.0,5.0,60.0,3.0,10.0,30.0,1.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,10.0,3.0,20.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,2.0,100.0,0.0,8.0,21.6,17.0,17.0,3.0,0.0,0.0,3.0,5.0,5.0,0.0,3.0,19.0,19.0,6.0,4.0,42.0,50.0,1.0,0.0,114.0,59.0,0.0,0.0,1.0,0.0,16.0,14.0,87.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,66.7
Joe Bryan,WB,25-125,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,52.0,17.0,1.0,0.0,2.0,0.1,0.1,0.0,4.0,0.0,23.0,36.0,63.9,0.0,24.0,2.0,2.0,2.0,379.0,268.0,10.0,11.0,90.9,12.0,17.0,70.6,1.0,5.0,20.0,0.0,1.0,0.0,0.0,24.0,12.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,8.0,18.0,15.0,5.0,3.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,5.0,29.4,8.0,6.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,8.0,15.0,21.0,18.0,1.0,40.0,100.0,2.0,0.0,62.0,28.0,2.0,1.0,4.0,1.0,23.0,21.0,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,75.0
Cyrus Christie,WB,26-112,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,48.0,2.0,3.0,4.0,0.0,0.0,0.1,1.0,0.0,18.0,31.0,58.1,2.0,22.0,6.0,4.0,4.0,292.0,133.0,9.0,11.0,81.8,9.0,16.0,56.3,0.0,4.0,0.0,1.0,0.0,1.0,0.0,24.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,11.0,3.0,17.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,8.3,31.0,17.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,7.0,22.0,20.0,8.0,0.0,38.0,100.0,4.0,0.0,165.0,97.0,2.0,0.0,1.0,2.0,19.0,15.0,78.9,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,75.0
