player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Cristhian Stuani,FW,32-084,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,33.0,19.0,0.0,1.0,0.0,0.1,0.1,0.2,2.0,1.0,17.0,23.0,73.9,1.0,12.0,3.0,0.0,1.0,266.0,43.0,9.0,11.0,81.8,6.0,9.0,66.7,1.0,2.0,50.0,1.0,1.0,0.0,0.0,20.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,2.0,0.0,14.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.3,3.0,9.0,7.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,6.0,22.0,6.0,2.0,30.0,0.0,1.0,0.0,63.0,46.0,0.0,1.0,1.0,0.0,48.0,19.0,39.6,4.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,4.0,5.0,2.0,71.4
Portu,FW,26-228,73.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,20.0,1.0,0.0,0.0,0.4,0.4,0.1,1.0,0.0,12.0,17.0,70.6,1.0,19.0,0.0,0.0,0.0,150.0,53.0,8.0,11.0,72.7,4.0,6.0,66.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,9.0,2.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,6.0,7.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,18.0,3.0,23.0,0.0,0.0,0.0,66.0,16.0,1.0,0.0,2.0,1.0,45.0,18.0,40.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
Anthony Lozano,FW,25-254,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,24.0,21.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Aleix García,CM,21-190,82.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,48.0,18.0,0.0,2.0,2.0,0.1,0.1,0.0,1.0,0.0,29.0,35.0,82.9,7.0,34.0,7.0,2.0,2.0,546.0,215.0,13.0,14.0,92.9,12.0,13.0,92.3,3.0,6.0,50.0,0.0,3.0,2.0,0.0,33.0,2.0,1.0,0.0,14.0,0.0,2.0,1.0,0.0,0.0,0.0,25.0,7.0,3.0,3.0,30.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.8,4.0,13.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,14.0,29.0,10.0,1.0,45.0,100.0,2.0,0.0,169.0,115.0,2.0,0.0,0.0,4.0,34.0,27.0,79.4,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,33.3
Valery,"CM,WB",19-042,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,66.7,0.0,5.0,1.0,2.0,2.0,34.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,4.0,100.0,2.0,0.0,24.0,21.0,1.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Borja García,CM,28-063,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,31.0,2.0,1.0,0.0,0.2,0.2,0.0,1.0,1.0,33.0,40.0,82.5,3.0,42.0,4.0,2.0,3.0,502.0,89.0,17.0,22.0,77.3,14.0,15.0,93.3,1.0,1.0,100.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,7.0,3.0,3.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,7.0,22.6,5.0,19.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,15.0,34.0,8.0,3.0,53.0,66.7,2.0,0.0,198.0,104.0,1.0,0.0,3.0,2.0,47.0,38.0,80.9,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Douglas Luiz,CM,20-240,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,27.0,2.0,1.0,2.0,0.3,0.3,0.0,0.0,0.0,20.0,28.0,71.4,1.0,24.0,3.0,1.0,1.0,384.0,89.0,5.0,5.0,100.0,12.0,18.0,66.7,2.0,2.0,100.0,0.0,0.0,1.0,0.0,26.0,2.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,4.0,1.0,23.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.7,12.0,13.0,2.0,1.0,0.0,1.0,3.0,5.0,0.0,3.0,10.0,27.0,6.0,2.0,38.0,100.0,1.0,0.0,145.0,85.0,2.0,0.0,0.0,0.0,26.0,22.0,84.6,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0
Álex Granell,WB,30-155,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,22.0,5.0,1.0,1.0,0.0,0.0,0.6,4.0,1.0,31.0,45.0,68.9,2.0,26.0,2.0,0.0,0.0,682.0,359.0,11.0,16.0,68.8,14.0,20.0,70.0,6.0,9.0,66.7,3.0,1.0,1.0,1.0,38.0,7.0,2.0,1.0,18.0,1.0,4.0,1.0,0.0,0.0,0.0,18.0,15.0,12.0,30.0,6.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,0.0,4.0,7.0,57.1,3.0,8.0,36.4,12.0,6.0,4.0,0.0,0.0,1.0,6.0,5.0,0.0,7.0,24.0,23.0,11.0,1.0,49.0,0.0,0.0,0.0,114.0,45.0,0.0,0.0,0.0,0.0,31.0,26.0,83.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,100.0
Pedro Porro,WB,19-113,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,19.0,1.0,0.0,6.0,0.0,0.0,0.1,3.0,1.0,26.0,43.0,60.5,6.0,30.0,4.0,2.0,2.0,543.0,237.0,7.0,11.0,63.6,14.0,18.0,77.8,4.0,12.0,33.3,1.0,2.0,3.0,1.0,32.0,11.0,3.0,0.0,14.0,1.0,4.0,0.0,0.0,0.0,0.0,14.0,14.0,15.0,2.0,31.0,1.0,8.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,25.0,3.0,3.0,15.8,9.0,4.0,6.0,0.0,0.0,6.0,1.0,5.0,0.0,2.0,15.0,24.0,17.0,2.0,44.0,100.0,2.0,0.0,135.0,77.0,2.0,0.0,0.0,0.0,31.0,28.0,90.3,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
Juanpe,CB,27-249,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,42.0,69.0,0.0,29.0,0.0,1.0,1.0,664.0,309.0,7.0,7.0,100.0,15.0,20.0,75.0,7.0,14.0,50.0,0.0,0.0,0.0,0.0,39.0,3.0,3.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,11.0,15.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,10.0,37.0,18.0,1.0,1.0,52.0,100.0,1.0,1.0,102.0,49.0,0.0,0.0,0.0,0.0,35.0,35.0,100.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
