player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Cristhian Stuani,FW,32-120,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,10.0,12.0,83.3,0.0,10.0,1.0,0.0,1.0,110.0,2.0,9.0,9.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,2.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,33.3,1.0,10.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,8.0,15.0,7.0,21.0,0.0,0.0,0.0,24.0,12.0,0.0,0.0,3.0,1.0,58.0,15.0,25.9,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,44.4
Borja García,AM,28-099,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,20.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,22.0,28.0,78.6,3.0,34.0,3.0,2.0,5.0,535.0,158.0,9.0,10.0,90.0,5.0,8.0,62.5,8.0,10.0,80.0,1.0,4.0,2.0,0.0,27.0,1.0,0.0,1.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,13.0,5.0,10.0,4.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,25.0,1.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,10.0,3.0,37.0,40.0,2.0,0.0,152.0,64.0,1.0,1.0,3.0,2.0,40.0,30.0,75.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,100.0
Paik Seung-ho,"LW,AM",21-329,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,12.0,100.0,2.0,16.0,2.0,0.0,1.0,206.0,46.0,7.0,7.0,100.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,57.1,1.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,12.0,5.0,0.0,17.0,0.0,0.0,0.0,51.0,15.0,0.0,0.0,0.0,1.0,15.0,12.0,80.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Portu,"AM,RW",26-264,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,17.0,3.0,0.0,0.0,0.1,0.1,0.2,3.0,0.0,17.0,33.0,51.5,0.0,34.0,7.0,3.0,4.0,272.0,90.0,9.0,15.0,60.0,4.0,6.0,66.7,3.0,10.0,30.0,2.0,1.0,2.0,2.0,28.0,5.0,0.0,0.0,12.0,2.0,7.0,5.0,0.0,0.0,0.0,11.0,9.0,13.0,0.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,5.0,29.4,1.0,9.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,14.0,32.0,5.0,39.0,75.0,3.0,0.0,180.0,103.0,3.0,1.0,3.0,2.0,62.0,33.0,53.2,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0
Valery,LM,19-078,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,23.0,87.0,1.0,19.0,1.0,1.0,2.0,341.0,101.0,9.0,10.0,90.0,9.0,10.0,90.0,2.0,3.0,66.7,0.0,2.0,1.0,1.0,18.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,6.0,5.0,12.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,16.0,9.0,2.0,23.0,50.0,1.0,0.0,117.0,59.0,0.0,0.0,1.0,0.0,21.0,17.0,81.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Álex Granell,"CM,LM",30-191,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,14.0,2.0,0.0,1.0,0.0,0.0,0.3,3.0,0.0,27.0,46.0,58.7,4.0,35.0,0.0,1.0,1.0,662.0,315.0,9.0,11.0,81.8,10.0,13.0,76.9,8.0,22.0,36.4,2.0,6.0,1.0,0.0,36.0,10.0,3.0,0.0,6.0,3.0,5.0,7.0,0.0,0.0,0.0,20.0,2.0,24.0,40.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,4.0,28.6,5.0,6.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,27.0,21.0,0.0,42.0,100.0,1.0,0.0,118.0,58.0,1.0,0.0,1.0,2.0,32.0,29.0,90.6,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Pedro Porro,"RM,RB",19-149,90.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,87.0,23.0,4.0,0.0,1.0,0.4,0.4,0.0,2.0,0.0,47.0,70.0,67.1,9.0,52.0,16.0,3.0,4.0,896.0,244.0,20.0,23.0,87.0,21.0,27.0,77.8,5.0,14.0,35.7,0.0,4.0,2.0,0.0,54.0,16.0,1.0,1.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,32.0,25.0,13.0,2.0,51.0,2.0,15.0,0.0,0.0,2.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,100.0,0.0,9.0,39.1,11.0,6.0,6.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,21.0,43.0,34.0,2.0,71.0,75.0,3.0,0.0,445.0,329.0,6.0,0.0,0.0,3.0,52.0,49.0,94.2,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Pere Pons,"DM,CM",25-354,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.0,29.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,49.0,73.5,2.0,47.0,4.0,1.0,3.0,672.0,204.0,11.0,17.0,64.7,22.0,27.0,81.5,3.0,4.0,75.0,0.0,5.0,0.0,0.0,48.0,1.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,34.0,6.0,9.0,7.0,36.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,3.0,2.0,0.0,1.0,2.0,50.0,1.0,15.0,51.7,6.0,16.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,12.0,39.0,13.0,0.0,58.0,33.3,1.0,0.0,249.0,121.0,1.0,0.0,2.0,1.0,46.0,41.0,89.1,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,11.0,5.0,4.0,55.6
Aleix García,DM,21-226,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,63.0,82.5,8.0,53.0,3.0,2.0,2.0,1054.0,363.0,20.0,24.0,83.3,23.0,26.0,88.5,9.0,13.0,69.2,1.0,4.0,1.0,1.0,59.0,4.0,4.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,46.0,6.0,11.0,13.0,45.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,43.5,7.0,11.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0,44.0,12.0,1.0,62.0,100.0,2.0,0.0,250.0,128.0,1.0,0.0,0.0,1.0,54.0,50.0,92.6,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,50.0
Jonás Ramalho,"CB,DM",25-244,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,100.0,1.0,18.0,2.0,0.0,0.0,529.0,180.0,4.0,4.0,100.0,12.0,12.0,100.0,6.0,6.0,100.0,0.0,1.0,1.0,0.0,21.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,11.0,2.0,1.0,25.0,0.0,0.0,0.0,91.0,49.0,0.0,0.0,0.0,0.0,16.0,15.0,93.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
