player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alexandre Mendy,FW,24-340,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,70.0,0.0,10.0,1.0,0.0,1.0,122.0,2.0,1.0,3.0,33.3,5.0,6.0,83.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,36.4,0.0,3.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,10.0,4.0,14.0,0.0,0.0,0.0,41.0,28.0,1.0,0.0,1.0,1.0,37.0,11.0,29.7,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
Nolan Roux,FW,30-359,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,7.0,2.0,28.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Marcus Thuram,LM,21-201,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,29.0,37.0,78.4,5.0,42.0,7.0,4.0,5.0,473.0,149.0,18.0,22.0,81.8,10.0,13.0,76.9,1.0,1.0,100.0,0.0,4.0,0.0,0.0,37.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,27.0,8.0,2.0,10.0,24.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,13.3,1.0,13.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,23.0,28.0,4.0,48.0,80.0,4.0,0.0,239.0,120.0,3.0,2.0,3.0,2.0,58.0,38.0,65.5,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0
Marcus Coco,"LM,RM",22-244,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,10.0,12.0,83.3,0.0,17.0,2.0,2.0,3.0,170.0,43.0,5.0,5.0,100.0,4.0,4.0,100.0,1.0,3.0,33.3,1.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.3,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,10.0,5.0,19.0,66.7,2.0,0.0,101.0,52.0,1.0,0.0,1.0,0.0,18.0,14.0,77.8,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Didier Ibrahim Ndong,CM,24-251,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,31.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,28.0,78.6,3.0,28.0,3.0,0.0,0.0,417.0,116.0,11.0,13.0,84.6,6.0,8.0,75.0,5.0,6.0,83.3,1.0,1.0,1.0,0.0,27.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,1.0,3.0,24.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,6.0,0.0,31.0,0.0,0.0,0.0,167.0,82.0,0.0,0.0,0.0,2.0,34.0,27.0,79.4,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Ludovic Blas,CM,21-054,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0,18.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,44.0,84.1,2.0,40.0,10.0,2.0,2.0,827.0,160.0,11.0,13.0,84.6,19.0,22.0,86.4,7.0,9.0,77.8,0.0,5.0,0.0,0.0,44.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,33.0,5.0,6.0,38.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,5.0,27.8,4.0,10.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,8.0,35.0,15.0,1.0,52.0,100.0,2.0,0.0,308.0,162.0,3.0,0.0,1.0,0.0,45.0,41.0,91.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
Lucas Deaux,CM,30-059,90.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,48.0,50.0,5.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,22.0,37.0,59.5,2.0,36.0,3.0,1.0,2.0,418.0,132.0,9.0,15.0,60.0,10.0,13.0,76.9,3.0,8.0,37.5,0.0,3.0,0.0,0.0,36.0,1.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,20.0,12.0,5.0,7.0,25.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,0.0,1.0,3.0,4.0,75.0,1.0,13.0,26.0,4.0,31.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,12.0,22.0,16.0,5.0,47.0,50.0,1.0,0.0,141.0,64.0,0.0,0.0,3.0,1.0,52.0,34.0,65.4,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
Nicolas Benezet,"RM,LM",27-364,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,65.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,38.0,56.0,67.9,4.0,51.0,8.0,1.0,1.0,625.0,171.0,17.0,22.0,77.3,17.0,23.0,73.9,3.0,8.0,37.5,1.0,3.0,1.0,0.0,51.0,5.0,1.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,35.0,12.0,9.0,20.0,33.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,4.0,8.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,12.0,27.0,34.0,3.0,60.0,100.0,1.0,0.0,362.0,151.0,4.0,1.0,2.0,0.0,59.0,43.0,72.9,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
Lebogang Phiri,DM,24-106,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,26.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,84.0,89.0,94.4,8.0,76.0,9.0,0.0,0.0,1548.0,361.0,38.0,38.0,100.0,40.0,43.0,93.0,6.0,8.0,75.0,0.0,13.0,0.0,0.0,87.0,2.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,8.0,6.0,9.0,75.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,8.0,30.8,4.0,19.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,16.0,72.0,13.0,0.0,94.0,0.0,0.0,0.0,480.0,204.0,3.0,0.0,0.0,1.0,78.0,74.0,94.9,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,33.3
Pedro Rebocho,LB,24-031,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,20.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,65.0,84.0,77.4,6.0,57.0,9.0,0.0,0.0,1021.0,372.0,33.0,39.0,84.6,29.0,33.0,87.9,2.0,11.0,18.2,0.0,5.0,2.0,0.0,66.0,18.0,3.0,0.0,5.0,3.0,5.0,4.0,0.0,0.0,0.0,50.0,17.0,17.0,52.0,14.0,6.0,11.0,0.0,0.0,4.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,10.0,6.0,4.0,1.0,0.0,2.0,4.0,3.0,0.0,3.0,24.0,40.0,39.0,1.0,79.0,0.0,0.0,0.0,387.0,199.0,4.0,0.0,1.0,2.0,60.0,56.0,93.3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,100.0
