player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Martin Braithwaite,FW,27-314,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,14.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,1.0,18.0,20.0,90.0,0.0,23.0,2.0,1.0,1.0,343.0,97.0,8.0,8.0,100.0,7.0,8.0,87.5,3.0,3.0,100.0,1.0,4.0,0.0,0.0,19.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,1.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,35.7,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,15.0,3.0,29.0,100.0,1.0,0.0,119.0,77.0,2.0,0.0,6.0,2.0,49.0,24.0,49.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,50.0
Guido Carrillo,FW,27-325,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,10.0,18.0,55.6,2.0,7.0,0.0,0.0,0.0,117.0,37.0,8.0,10.0,80.0,2.0,7.0,28.6,0.0,1.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,0.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,16.7,4.0,8.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,14.0,7.0,1.0,23.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,1.0,1.0,32.0,17.0,53.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,54.5
Youssef En-Nesyri,FW,21-318,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,3.0,0.0,1.0,1.0,18.0,10.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,33.3,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,4.0,25.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,25.0
Mikel Vesga,CM,25-329,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,45.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,79.2,0.0,23.0,2.0,1.0,3.0,302.0,26.0,12.0,14.0,85.7,7.0,9.0,77.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,2.0,14.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,6.7,19.0,16.0,10.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,23.0,5.0,0.0,31.0,33.3,1.0,1.0,117.0,46.0,1.0,0.0,1.0,0.0,24.0,22.0,91.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0
Recio,CM,28-094,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,41.0,8.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,38.0,36.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javier Eraso,CM,29-024,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,30.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,12.0,15.0,80.0,1.0,11.0,3.0,0.0,0.0,173.0,29.0,8.0,9.0,88.9,4.0,4.0,100.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,2.0,3.0,2.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,23.3,8.0,14.0,8.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,10.0,10.0,2.0,22.0,0.0,0.0,0.0,55.0,21.0,1.0,0.0,0.0,2.0,22.0,13.0,59.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
Nabil El Zhar,CM,32-231,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,8.0,2.0,0.0,2.0,109.0,9.0,5.0,5.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,7.0,0.0,11.0,0.0,0.0,1.0,44.0,29.0,1.0,0.0,0.0,0.0,11.0,8.0,72.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Rubén Pérez,DM,29-354,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,43.0,81.4,6.0,37.0,0.0,0.0,0.0,642.0,204.0,15.0,16.0,93.8,12.0,15.0,80.0,7.0,9.0,77.8,0.0,6.0,0.0,0.0,42.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,7.0,3.0,38.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,3.0,13.6,12.0,6.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,12.0,32.0,6.0,0.0,49.0,0.0,0.0,0.0,101.0,48.0,0.0,0.0,0.0,0.0,35.0,32.0,91.4,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
Jonathan Silva,WB,24-290,90.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,38.0,35.0,3.0,0.0,4.0,0.1,0.1,0.0,0.0,0.0,14.0,22.0,63.6,0.0,14.0,1.0,0.0,1.0,174.0,54.0,8.0,9.0,88.9,4.0,8.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,2.0,8.0,15.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,5.0,60.0,2.0,8.0,22.9,22.0,12.0,1.0,0.0,0.0,4.0,3.0,4.0,0.0,5.0,15.0,13.0,11.0,2.0,33.0,0.0,0.0,0.0,31.0,15.0,0.0,0.0,2.0,1.0,21.0,15.0,71.4,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
Allan Nyom,WB,30-340,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,29.0,2.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,19.0,31.0,61.3,3.0,26.0,4.0,1.0,1.0,259.0,93.0,12.0,14.0,85.7,6.0,9.0,66.7,1.0,6.0,16.7,1.0,1.0,1.0,1.0,30.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,5.0,9.0,7.0,20.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,8.0,27.6,12.0,12.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,8.0,16.0,16.0,0.0,37.0,100.0,1.0,0.0,82.0,50.0,0.0,0.0,2.0,0.0,35.0,28.0,80.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
