player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Rafael Leão,FW,19-195,74.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,28.0,5.0,0.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,15.0,21.0,71.4,1.0,17.0,1.0,0.0,0.0,207.0,36.0,10.0,13.0,76.9,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,18.0,3.0,25.0,0.0,0.0,0.0,73.0,19.0,1.0,0.0,1.0,2.0,34.0,21.0,61.8,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Loïc Rémy,FW,31-354,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jonathan Bamba,LW,22-271,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,52.0,12.0,0.0,1.0,0.0,0.1,0.1,0.0,6.0,0.0,32.0,42.0,76.2,4.0,40.0,8.0,1.0,2.0,463.0,121.0,14.0,17.0,82.4,15.0,18.0,83.3,1.0,5.0,20.0,1.0,2.0,2.0,0.0,40.0,2.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,5.0,7.0,9.0,29.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,3.0,25.0,5.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,18.0,34.0,4.0,50.0,50.0,1.0,0.0,185.0,78.0,1.0,1.0,2.0,2.0,53.0,40.0,75.5,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Nicolas Pépé,RW,23-207,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,10.0,0.0,1.0,1.0,0.3,0.3,0.1,5.0,0.0,28.0,40.0,70.0,5.0,45.0,3.0,2.0,3.0,445.0,157.0,14.0,19.0,73.7,11.0,14.0,78.6,2.0,4.0,50.0,4.0,2.0,4.0,2.0,37.0,3.0,3.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,0.0,11.0,32.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,6.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,24.0,28.0,6.0,49.0,66.7,2.0,0.0,199.0,134.0,2.0,0.0,2.0,4.0,48.0,38.0,79.2,8.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
Jonathan Ikone,AM,20-234,63.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,7.0,1.0,0.0,2.0,0.2,0.2,0.1,3.0,0.0,10.0,16.0,62.5,2.0,17.0,2.0,1.0,2.0,149.0,38.0,3.0,7.0,42.9,6.0,7.0,85.7,0.0,0.0,0.0,2.0,2.0,0.0,0.0,15.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,28.6,3.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,15.0,7.0,1.0,23.0,50.0,1.0,0.0,77.0,34.0,0.0,1.0,2.0,1.0,22.0,16.0,72.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Luiz Araújo,AM,22-203,27.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,8.0,14.0,57.1,1.0,20.0,2.0,4.0,4.0,223.0,49.0,2.0,4.0,50.0,3.0,5.0,60.0,3.0,5.0,60.0,1.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,7.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,14.0,1.0,19.0,100.0,4.0,0.0,71.0,32.0,0.0,0.0,2.0,1.0,19.0,16.0,84.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Thiago Maia,DM,21-274,81.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,14.0,5.0,0.0,1.0,0.0,0.0,0.5,3.0,1.0,33.0,43.0,76.7,7.0,35.0,4.0,2.0,2.0,705.0,240.0,11.0,13.0,84.6,13.0,14.0,92.9,8.0,13.0,61.5,3.0,7.0,2.0,0.0,42.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,4.0,13.0,31.0,8.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,3.0,5.0,60.0,2.0,6.0,42.9,4.0,10.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,2.0,12.0,39.0,7.0,0.0,51.0,100.0,2.0,0.0,286.0,141.0,2.0,0.0,0.0,0.0,29.0,27.0,93.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,100.0
Boubakary Soumaré,DM,19-298,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,83.3,2.0,13.0,1.0,1.0,1.0,204.0,76.0,5.0,7.0,71.4,3.0,3.0,100.0,2.0,2.0,100.0,0.0,4.0,1.0,0.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,4.0,1.0,16.0,100.0,1.0,0.0,53.0,14.0,0.0,0.0,1.0,0.0,13.0,13.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
Thiago Mendes,DM,26-282,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,88.0,7.0,1.0,1.0,5.0,0.1,0.1,0.0,5.0,1.0,56.0,73.0,76.7,5.0,61.0,6.0,2.0,4.0,1019.0,290.0,25.0,27.0,92.6,23.0,25.0,92.0,7.0,20.0,35.0,0.0,5.0,0.0,0.0,59.0,14.0,7.0,0.0,14.0,6.0,0.0,4.0,0.0,0.0,0.0,48.0,3.0,22.0,11.0,56.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,57.1,1.0,5.0,1.0,1.0,0.0,4.0,2.0,3.0,0.0,5.0,14.0,58.0,23.0,2.0,74.0,50.0,2.0,0.0,319.0,150.0,1.0,1.0,1.0,0.0,48.0,45.0,93.8,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0
Fodé Ballo-Touré,LB,21-353,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,49.0,79.6,4.0,42.0,7.0,5.0,8.0,607.0,194.0,22.0,24.0,91.7,14.0,18.0,77.8,3.0,5.0,60.0,0.0,0.0,1.0,0.0,36.0,13.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,10.0,11.0,26.0,6.0,1.0,13.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.2,4.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,14.0,32.0,18.0,3.0,46.0,62.5,5.0,0.0,240.0,121.0,2.0,1.0,0.0,0.0,35.0,31.0,88.6,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,100.0
