player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Sergio Agüero,FW,30-215,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,35.0,29.0,0.0,1.0,0.0,0.4,0.4,0.0,0.0,0.0,20.0,25.0,80.0,2.0,27.0,6.0,1.0,1.0,258.0,89.0,13.0,15.0,86.7,6.0,8.0,75.0,1.0,2.0,50.0,0.0,0.0,2.0,0.0,23.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,1.0,6.0,14.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.6,1.0,10.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,20.0,5.0,33.0,100.0,1.0,0.0,255.0,162.0,4.0,2.0,2.0,2.0,66.0,27.0,40.9,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,80.0
Leroy Sané,LW,22-357,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,38.0,1.0,0.0,4.0,0.1,0.1,0.0,0.0,0.0,30.0,46.0,65.2,3.0,52.0,9.0,3.0,4.0,401.0,56.0,19.0,26.0,73.1,9.0,13.0,69.2,1.0,5.0,20.0,0.0,1.0,1.0,0.0,45.0,1.0,0.0,0.0,14.0,0.0,4.0,1.0,0.0,0.0,0.0,32.0,9.0,5.0,30.0,12.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,14.0,36.8,6.0,21.0,11.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,4.0,26.0,36.0,7.0,59.0,75.0,3.0,0.0,334.0,197.0,2.0,3.0,5.0,3.0,62.0,47.0,75.8,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
Raheem Sterling,RW,24-026,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,26.0,1.0,1.0,0.0,0.2,0.2,0.4,5.0,1.0,29.0,39.0,74.4,2.0,47.0,6.0,3.0,8.0,364.0,62.0,23.0,27.0,85.2,5.0,9.0,55.6,0.0,0.0,0.0,4.0,1.0,1.0,0.0,39.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,4.0,4.0,2.0,33.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,6.0,23.1,9.0,7.0,10.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,27.0,28.0,8.0,52.0,37.5,3.0,0.0,270.0,137.0,5.0,1.0,0.0,2.0,56.0,37.0,66.1,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
David Silva,CM,32-360,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,28.0,0.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,19.0,33.0,57.6,0.0,30.0,2.0,1.0,1.0,270.0,35.0,11.0,17.0,64.7,7.0,12.0,58.3,1.0,1.0,100.0,0.0,1.0,0.0,0.0,32.0,1.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,5.0,3.0,25.0,6.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,28.6,2.0,17.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,22.0,14.0,5.0,37.0,100.0,1.0,0.0,83.0,41.0,1.0,1.0,0.0,1.0,41.0,29.0,70.7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
İlkay Gündoğan,CM,28-071,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,84.6,1.0,9.0,1.0,0.0,0.0,174.0,57.0,7.0,7.0,100.0,3.0,5.0,60.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,12.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,7.0,9.0,3.0,0.0,17.0,0.0,0.0,0.0,19.0,14.0,1.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7
Bernardo Silva,CM,24-146,90.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,69.0,76.0,3.0,4.0,1.0,0.1,0.1,0.1,2.0,1.0,50.0,59.0,84.7,1.0,52.0,4.0,2.0,3.0,798.0,89.0,24.0,25.0,96.0,18.0,20.0,90.0,4.0,8.0,50.0,1.0,2.0,1.0,0.0,57.0,2.0,0.0,0.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,38.0,14.0,7.0,51.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,14.0,18.4,8.0,42.0,26.0,0.0,0.0,1.0,7.0,1.0,0.0,3.0,10.0,44.0,15.0,1.0,67.0,66.7,2.0,0.0,218.0,59.0,0.0,0.0,0.0,1.0,58.0,43.0,74.1,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Fernandinho,DM,33-244,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,21.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,53.0,75.5,6.0,45.0,4.0,0.0,0.0,877.0,258.0,17.0,21.0,81.0,15.0,19.0,78.9,7.0,11.0,63.6,0.0,5.0,1.0,0.0,52.0,1.0,1.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,10.0,10.0,8.0,41.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,3.0,4.0,0.0,2.0,3.0,66.7,1.0,10.0,47.6,6.0,12.0,3.0,0.0,0.0,0.0,8.0,5.0,0.0,4.0,12.0,51.0,10.0,0.0,70.0,0.0,0.0,0.0,169.0,79.0,0.0,0.0,2.0,1.0,37.0,35.0,94.6,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,100.0
Aymeric Laporte,LB,24-221,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,60.0,73.3,6.0,41.0,7.0,1.0,2.0,779.0,282.0,22.0,25.0,88.0,17.0,27.0,63.0,5.0,8.0,62.5,0.0,6.0,0.0,0.0,51.0,9.0,0.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,28.0,17.0,15.0,34.0,9.0,7.0,9.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.4,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,46.0,15.0,1.0,54.0,50.0,1.0,0.0,226.0,170.0,2.0,0.0,2.0,0.0,45.0,41.0,91.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Kyle Walker,LB,28-220,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
Vincent Kompany,CB,32-268,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,81.0,91.4,3.0,68.0,1.0,0.0,0.0,1755.0,511.0,14.0,14.0,100.0,43.0,45.0,95.6,17.0,22.0,77.3,0.0,3.0,0.0,0.0,80.0,1.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,61.0,6.0,14.0,3.0,72.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,50.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,9.0,52.0,41.0,0.0,0.0,88.0,0.0,0.0,0.0,334.0,172.0,0.0,0.0,0.0,0.0,68.0,68.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0
Nicolás Otamendi,CB,30-325,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
John Stones,CB,24-220,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,95.0,97.0,97.9,3.0,88.0,3.0,0.0,0.0,1989.0,517.0,31.0,31.0,100.0,51.0,51.0,100.0,13.0,15.0,86.7,0.0,2.0,0.0,0.0,97.0,0.0,0.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,83.0,4.0,10.0,9.0,86.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,4.0,2.0,0.0,1.0,1.0,1.0,0.0,10.0,0.0,17.0,62.0,53.0,0.0,0.0,109.0,0.0,0.0,0.0,603.0,230.0,0.0,0.0,0.0,0.0,87.0,87.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
Danilo,RB,27-172,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,53.0,68.0,77.9,3.0,47.0,4.0,0.0,0.0,949.0,289.0,17.0,19.0,89.5,34.0,39.0,87.2,2.0,8.0,25.0,0.0,3.0,0.0,0.0,53.0,15.0,2.0,0.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,18.0,9.0,3.0,50.0,1.0,13.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,23.5,8.0,8.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,21.0,48.0,9.0,0.0,60.0,0.0,0.0,0.0,163.0,80.0,1.0,0.0,0.0,0.0,47.0,45.0,95.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0
Ederson,GK,25-139,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,41.0,82.9,0.0,34.0,0.0,0.0,0.0,857.0,490.0,10.0,10.0,100.0,18.0,18.0,100.0,6.0,13.0,46.2,0.0,1.0,0.0,0.0,36.0,5.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,13.0,30.0,7.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,45.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,107.0,56.0,0.0,0.0,0.0,0.0,30.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
