player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Mario Balotelli,FW,28-180,90.0,1.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,45.0,11.0,0.0,0.0,0.0,0.9,0.9,0.0,2.0,0.0,14.0,22.0,63.6,1.0,36.0,6.0,1.0,2.0,327.0,68.0,4.0,8.0,50.0,4.0,5.0,80.0,5.0,7.0,71.4,0.0,3.0,0.0,0.0,20.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,5.0,0.0,20.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.2,0.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,23.0,23.0,8.0,43.0,50.0,1.0,0.0,138.0,62.0,2.0,2.0,6.0,2.0,57.0,35.0,61.4,14.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
Florian Thauvin,"AM,RM",26-013,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,21.0,0.0,0.0,1.0,0.1,0.1,0.1,2.0,1.0,23.0,43.0,53.5,3.0,38.0,6.0,1.0,3.0,307.0,126.0,15.0,23.0,65.2,5.0,7.0,71.4,2.0,11.0,18.2,1.0,1.0,2.0,1.0,34.0,9.0,2.0,0.0,13.0,1.0,3.0,7.0,0.0,0.0,0.0,20.0,8.0,15.0,31.0,8.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,28.6,5.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,26.0,30.0,2.0,47.0,33.3,1.0,0.0,164.0,81.0,1.0,0.0,5.0,2.0,59.0,42.0,71.2,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7
Lucas Ocampos,LM,24-212,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,32.0,0.0,0.0,1.0,0.1,0.1,0.4,5.0,1.0,31.0,39.0,79.5,3.0,43.0,5.0,3.0,3.0,426.0,122.0,16.0,19.0,84.2,13.0,16.0,81.3,1.0,1.0,100.0,4.0,3.0,1.0,0.0,38.0,1.0,1.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,7.0,4.0,31.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,8.0,25.0,17.0,12.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,25.0,23.0,5.0,52.0,100.0,3.0,1.0,167.0,71.0,1.0,0.0,7.0,2.0,47.0,38.0,80.9,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,3.0,40.0
Bouna Sarr,RM,27-008,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,28.0,33.0,84.8,4.0,27.0,3.0,0.0,0.0,462.0,102.0,20.0,21.0,95.2,5.0,7.0,71.4,3.0,3.0,100.0,0.0,1.0,2.0,0.0,30.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,5.0,3.0,22.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,2.0,10.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,9.0,22.0,18.0,0.0,40.0,0.0,0.0,0.0,150.0,53.0,3.0,0.0,2.0,3.0,26.0,22.0,84.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Valère Germain,"RM,AM",28-297,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,14.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,18.0,20.0,90.0,2.0,16.0,0.0,0.0,0.0,303.0,109.0,9.0,10.0,90.0,7.0,7.0,100.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,28.6,0.0,11.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,11.0,7.0,2.0,22.0,0.0,0.0,0.0,47.0,11.0,0.0,0.0,0.0,0.0,19.0,17.0,89.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Kevin Strootman,DM,28-360,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,19.0,2.0,2.0,1.0,0.0,0.0,0.1,2.0,0.0,39.0,52.0,75.0,4.0,32.0,2.0,0.0,0.0,607.0,198.0,25.0,32.0,78.1,11.0,15.0,73.3,3.0,4.0,75.0,2.0,2.0,0.0,0.0,50.0,2.0,1.0,0.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,13.0,10.0,39.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,5.0,20.0,4.0,5.0,26.3,4.0,12.0,3.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,10.0,43.0,10.0,2.0,60.0,0.0,0.0,0.0,98.0,45.0,0.0,0.0,0.0,1.0,35.0,31.0,88.6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,2.0,71.4
Rolando,"CB,DM",33-161,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,4.0,0.0,0.0,0.0,128.0,95.0,1.0,1.0,100.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,11.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Maxime Lopez,DM,21-066,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,15.0,3.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,63.0,77.0,81.8,5.0,58.0,3.0,1.0,1.0,1165.0,369.0,31.0,37.0,83.8,23.0,25.0,92.0,9.0,15.0,60.0,1.0,1.0,1.0,0.0,69.0,8.0,4.0,0.0,22.0,2.0,2.0,4.0,0.0,0.0,0.0,59.0,5.0,13.0,8.0,67.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,6.0,40.0,8.0,6.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,25.0,54.0,13.0,0.0,76.0,100.0,1.0,0.0,264.0,126.0,3.0,0.0,0.0,3.0,60.0,59.0,98.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0
Morgan Sanson,DM,24-174,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,23.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,17.0,70.6,0.0,19.0,2.0,2.0,2.0,175.0,45.0,7.0,9.0,77.8,4.0,5.0,80.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,2.0,2.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,80.0,7.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,11.0,8.0,1.0,23.0,100.0,2.0,0.0,86.0,33.0,0.0,0.0,1.0,1.0,11.0,11.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Jordan Amavi,LB,24-336,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,14.0,4.0,2.0,2.0,0.0,0.0,0.1,3.0,1.0,36.0,52.0,69.2,6.0,41.0,5.0,0.0,0.0,663.0,293.0,15.0,17.0,88.2,15.0,22.0,68.2,5.0,10.0,50.0,2.0,6.0,0.0,0.0,41.0,11.0,1.0,0.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,32.0,2.0,18.0,32.0,10.0,0.0,10.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,25.0,3.0,5.0,35.7,9.0,5.0,0.0,0.0,0.0,2.0,6.0,9.0,0.0,4.0,23.0,36.0,17.0,1.0,61.0,0.0,0.0,0.0,166.0,104.0,2.0,1.0,1.0,2.0,39.0,34.0,87.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,40.0
