player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Gonzalo Higuaín,FW,30-287,90.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,36.0,9.0,0.0,0.0,0.0,0.7,0.7,0.5,4.0,0.0,24.0,28.0,85.7,1.0,27.0,3.0,1.0,2.0,483.0,54.0,13.0,14.0,92.9,6.0,8.0,75.0,5.0,5.0,100.0,3.0,0.0,2.0,1.0,25.0,3.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,20.0,5.0,3.0,5.0,21.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,44.4,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,15.0,7.0,33.0,50.0,1.0,0.0,152.0,40.0,0.0,0.0,1.0,0.0,59.0,25.0,42.4,14.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0
Hakan Çalhanoğlu,LW,24-227,84.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,14.0,1.0,0.0,0.0,0.3,0.3,0.2,5.0,0.0,46.0,53.0,86.8,1.0,46.0,5.0,1.0,1.0,694.0,104.0,29.0,30.0,96.7,13.0,14.0,92.9,3.0,6.0,50.0,2.0,1.0,0.0,0.0,50.0,3.0,1.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,37.0,8.0,8.0,6.0,41.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,35.7,2.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,35.0,25.0,4.0,59.0,100.0,1.0,0.0,202.0,93.0,1.0,0.0,2.0,1.0,54.0,48.0,88.9,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Samu Castillejo,LW,23-248,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Suso,RW,24-308,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6,12.0,3.0,55.0,69.0,79.7,6.0,64.0,9.0,6.0,6.0,974.0,333.0,27.0,30.0,90.0,19.0,21.0,90.5,8.0,15.0,53.3,5.0,4.0,4.0,4.0,64.0,5.0,1.0,1.0,12.0,5.0,10.0,3.0,0.0,0.0,0.0,46.0,9.0,14.0,61.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,44.0,2.0,66.0,100.0,6.0,1.0,345.0,216.0,0.0,0.0,0.0,1.0,77.0,60.0,77.9,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Giacomo Bonaventura,CM,29-032,73.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,51.0,10.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,39.0,43.0,90.7,1.0,42.0,8.0,1.0,2.0,711.0,92.0,19.0,22.0,86.4,16.0,17.0,94.1,4.0,4.0,100.0,0.0,3.0,0.0,0.0,43.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,5.0,6.0,4.0,36.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,5.0,50.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,30.0,17.0,4.0,51.0,50.0,1.0,0.0,244.0,131.0,1.0,1.0,0.0,0.0,51.0,45.0,88.2,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
Tiemoué Bakayoko,CM,24-037,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,2.0,0.0,0.0,0.0,0.4,1.0,0.0,6.0,7.0,85.7,1.0,7.0,1.0,1.0,1.0,126.0,42.0,4.0,4.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,7.0,2.0,0.0,9.0,100.0,1.0,0.0,156.0,137.0,2.0,0.0,0.0,0.0,6.0,5.0,83.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Franck Kessié,CM,21-278,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,11.0,1.0,0.0,3.0,0.3,0.3,0.2,2.0,0.0,53.0,61.0,86.9,3.0,51.0,6.0,0.0,2.0,942.0,160.0,17.0,18.0,94.4,32.0,38.0,84.2,2.0,2.0,100.0,1.0,6.0,2.0,0.0,61.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,8.0,18.0,37.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,18.2,2.0,7.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,4.0,10.0,48.0,20.0,2.0,72.0,0.0,0.0,0.0,263.0,129.0,4.0,0.0,2.0,0.0,70.0,57.0,81.4,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
Lucas Biglia,DM,32-236,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,70.0,21.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,47.0,51.0,92.2,4.0,41.0,1.0,1.0,1.0,896.0,284.0,21.0,23.0,91.3,19.0,20.0,95.0,7.0,8.0,87.5,1.0,6.0,0.0,0.0,50.0,1.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,8.0,11.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,4.0,9.0,44.4,5.0,9.0,42.9,11.0,9.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,5.0,27.0,38.0,8.0,0.0,69.0,100.0,1.0,0.0,124.0,33.0,1.0,0.0,2.0,3.0,45.0,45.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,66.7
Ricardo Rodríguez,LB,26-029,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,64.0,10.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,53.0,71.7,3.0,50.0,6.0,1.0,2.0,806.0,368.0,15.0,15.0,100.0,12.0,18.0,66.7,10.0,18.0,55.6,0.0,2.0,1.0,0.0,48.0,5.0,0.0,0.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,28.0,10.0,15.0,34.0,12.0,2.0,5.0,0.0,2.0,0.0,2.0,1.0,4.0,4.0,2.0,0.0,4.0,5.0,80.0,1.0,6.0,60.0,6.0,4.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,3.0,25.0,33.0,13.0,0.0,59.0,50.0,2.0,0.0,300.0,178.0,2.0,0.0,0.0,0.0,49.0,45.0,91.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Alessio Romagnoli,CB,23-254,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,48.0,89.6,4.0,32.0,0.0,1.0,1.0,962.0,201.0,10.0,14.0,71.4,23.0,24.0,95.8,9.0,9.0,100.0,0.0,3.0,0.0,0.0,47.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,6.0,10.0,30.0,8.0,6.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,14.0,36.0,23.0,0.0,0.0,54.0,100.0,1.0,0.0,162.0,58.0,0.0,0.0,0.0,0.0,31.0,31.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,100.0
