player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Timo Werner,FW,22-263,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,51.0,14.0,1.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,27.0,43.0,62.8,3.0,38.0,10.0,1.0,2.0,465.0,112.0,13.0,19.0,68.4,12.0,19.0,63.2,2.0,3.0,66.7,0.0,2.0,3.0,0.0,41.0,2.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,35.0,3.0,5.0,9.0,30.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,42.9,1.0,4.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,37.0,7.0,49.0,50.0,2.0,0.0,159.0,116.0,3.0,2.0,1.0,2.0,58.0,42.0,72.4,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Yussuf Poulsen,FW,24-162,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,23.0,1.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,26.0,38.0,68.4,1.0,26.0,3.0,1.0,1.0,326.0,79.0,17.0,23.0,73.9,7.0,12.0,58.3,1.0,2.0,50.0,0.0,0.0,1.0,0.0,36.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,9.0,5.0,8.0,22.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,39.1,1.0,15.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,28.0,21.0,4.0,46.0,100.0,1.0,0.0,105.0,50.0,2.0,1.0,3.0,2.0,57.0,36.0,63.2,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,100.0
Bruma,FW,24-031,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,69.0,23.0,0.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,38.0,56.0,67.9,4.0,53.0,8.0,1.0,1.0,610.0,109.0,20.0,29.0,69.0,15.0,19.0,78.9,3.0,7.0,42.9,0.0,5.0,0.0,0.0,52.0,4.0,1.0,0.0,12.0,1.0,0.0,2.0,0.0,0.0,0.0,50.0,3.0,3.0,7.0,47.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,26.1,2.0,17.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,32.0,36.0,6.0,65.0,100.0,1.0,0.0,253.0,127.0,3.0,0.0,2.0,3.0,65.0,54.0,83.1,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Diego Demme,CM,27-003,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,13.0,2.0,1.0,2.0,0.0,0.0,0.1,4.0,0.0,60.0,72.0,83.3,11.0,56.0,6.0,1.0,1.0,1083.0,407.0,31.0,33.0,93.9,21.0,27.0,77.8,8.0,12.0,66.7,4.0,7.0,5.0,0.0,68.0,4.0,2.0,0.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,53.0,8.0,11.0,11.0,56.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,3.0,23.1,3.0,7.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,15.0,41.0,34.0,1.0,78.0,100.0,1.0,0.0,304.0,206.0,2.0,1.0,1.0,0.0,61.0,58.0,95.1,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0
Konrad Laimer,CM,21-181,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,17.0,1.0,2.0,2.0,0.0,0.0,0.1,1.0,0.0,24.0,38.0,63.2,6.0,30.0,4.0,0.0,1.0,369.0,175.0,17.0,20.0,85.0,5.0,12.0,41.7,2.0,6.0,33.3,1.0,5.0,1.0,0.0,37.0,1.0,1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,4.0,6.0,5.0,30.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,29.4,6.0,6.0,5.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,13.0,25.0,18.0,3.0,49.0,0.0,0.0,0.0,151.0,99.0,2.0,0.0,3.0,2.0,35.0,32.0,91.4,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
Matheus Cunha,CM,19-181,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,0.0,81.0,16.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,38.0,31.0,0.0,0.0,0.0,0.0,6.0,5.0,83.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Ilsanker,DM,29-190,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,14.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,39.0,66.7,2.0,21.0,1.0,0.0,0.0,649.0,185.0,5.0,6.0,83.3,16.0,24.0,66.7,5.0,9.0,55.6,0.0,1.0,0.0,0.0,38.0,1.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,9.0,7.0,7.0,23.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,5.0,35.7,5.0,7.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,16.0,31.0,3.0,1.0,46.0,0.0,0.0,0.0,95.0,38.0,0.0,0.0,1.0,0.0,20.0,20.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,100.0
Marcel Halstenberg,LB,27-058,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,9.0,2.0,1.0,3.0,0.0,0.0,0.1,2.0,0.0,37.0,56.0,66.1,6.0,29.0,9.0,0.0,0.0,682.0,453.0,14.0,20.0,70.0,19.0,25.0,76.0,4.0,10.0,40.0,1.0,4.0,0.0,0.0,38.0,18.0,3.0,0.0,10.0,1.0,5.0,7.0,0.0,0.0,0.0,32.0,8.0,16.0,41.0,3.0,3.0,8.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,5.0,55.6,5.0,3.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,7.0,32.0,32.0,1.0,47.0,0.0,0.0,0.0,196.0,143.0,5.0,0.0,1.0,0.0,34.0,31.0,91.2,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
Jean-Kévin Augustin,LB,21-161,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,4.0,1.0,0.0,0.0,56.0,16.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,48.0,18.0,0.0,0.0,2.0,0.0,7.0,5.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willi Orban,CB,26-021,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,28.0,67.9,4.0,15.0,0.0,0.0,0.0,427.0,231.0,5.0,7.0,71.4,9.0,14.0,64.3,5.0,6.0,83.3,0.0,4.0,0.0,0.0,26.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,9.0,5.0,12.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,4.0,17.0,18.0,2.0,1.0,35.0,0.0,0.0,0.0,86.0,22.0,0.0,0.0,1.0,0.0,10.0,10.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,100.0
