player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Jesé,FW,26-040,79.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,28.0,24.0,0.0,0.0,1.0,0.1,0.1,0.1,3.0,0.0,17.0,24.0,70.8,3.0,26.0,6.0,2.0,2.0,294.0,67.0,11.0,14.0,78.6,3.0,6.0,50.0,3.0,3.0,100.0,2.0,3.0,1.0,0.0,22.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,4.0,20.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,41.7,3.0,10.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,16.0,6.0,26.0,100.0,2.0,0.0,128.0,84.0,0.0,2.0,1.0,1.0,37.0,23.0,62.2,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Javi García,FW,32-058,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Giovani Lo Celso,FW,22-363,72.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,40.0,6.0,0.0,0.0,1.0,1.0,1.0,0.2,5.0,1.0,25.0,32.0,78.1,4.0,35.0,7.0,1.0,2.0,419.0,138.0,15.0,19.0,78.9,6.0,7.0,85.7,4.0,6.0,66.7,1.0,4.0,1.0,0.0,32.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,5.0,26.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,19.0,4.0,40.0,50.0,1.0,0.0,197.0,86.0,2.0,1.0,1.0,0.0,45.0,36.0,80.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,33.3
Junior Firpo,FW,22-228,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,2.0,6.0,0.0,0.0,0.0,154.0,69.0,3.0,4.0,75.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,9.0,0.0,0.0,0.0,71.0,40.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Andrés Guardado,CM,32-191,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,16.0,1.0,1.0,2.0,0.0,0.0,0.6,2.0,1.0,45.0,47.0,95.7,4.0,45.0,10.0,0.0,0.0,898.0,214.0,21.0,21.0,100.0,16.0,17.0,94.1,8.0,9.0,88.9,2.0,5.0,0.0,0.0,47.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,7.0,37.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,37.5,4.0,7.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,11.0,36.0,18.0,0.0,60.0,0.0,0.0,0.0,204.0,147.0,2.0,0.0,2.0,3.0,51.0,44.0,86.3,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
Sergio Canales,CM,28-050,66.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,47.0,13.0,1.0,1.0,0.0,0.2,0.2,0.7,8.0,1.0,39.0,40.0,97.5,4.0,47.0,8.0,4.0,4.0,724.0,180.0,18.0,18.0,100.0,16.0,16.0,100.0,5.0,6.0,83.3,5.0,3.0,4.0,1.0,39.0,1.0,0.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,31.0,6.0,3.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,30.8,5.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,24.0,22.0,3.0,46.0,100.0,4.0,0.0,279.0,135.0,3.0,0.0,1.0,2.0,51.0,37.0,72.5,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Joaquín,CM,37-260,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,4.0,0.0,0.0,1.0,0.3,0.3,0.0,1.0,0.0,21.0,21.0,100.0,0.0,23.0,4.0,2.0,3.0,261.0,61.0,15.0,15.0,100.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,17.0,1.0,26.0,66.7,2.0,0.0,112.0,57.0,2.0,1.0,1.0,1.0,26.0,22.0,84.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
William Carvalho,DM,27-000,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,78.0,8.0,2.0,1.0,0.0,0.1,0.1,0.3,2.0,0.0,62.0,70.0,88.6,7.0,69.0,6.0,0.0,2.0,1156.0,246.0,28.0,33.0,84.8,28.0,30.0,93.3,6.0,7.0,85.7,1.0,9.0,0.0,0.0,69.0,1.0,1.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,53.0,12.0,5.0,9.0,59.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,37.5,4.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,57.0,13.0,2.0,77.0,0.0,0.0,0.0,323.0,174.0,2.0,0.0,2.0,1.0,72.0,70.0,97.2,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
Cristian Tello,WB,27-239,90.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,59.0,10.0,1.0,0.0,1.0,0.5,0.5,0.2,2.0,0.0,34.0,46.0,73.9,2.0,47.0,9.0,3.0,3.0,696.0,170.0,12.0,15.0,80.0,16.0,19.0,84.2,5.0,8.0,62.5,2.0,2.0,1.0,0.0,39.0,7.0,1.0,0.0,5.0,4.0,2.0,3.0,0.0,1.0,2.0,22.0,14.0,10.0,12.0,31.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,30.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,21.0,33.0,9.0,52.0,100.0,3.0,0.0,359.0,219.0,3.0,3.0,1.0,4.0,49.0,41.0,83.7,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Emerson,WB,20-083,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,79.0,17.0,5.0,0.0,2.0,0.1,0.1,0.1,1.0,0.0,53.0,68.0,77.9,5.0,58.0,9.0,0.0,0.0,657.0,268.0,41.0,48.0,85.4,11.0,17.0,64.7,1.0,3.0,33.3,1.0,1.0,2.0,0.0,61.0,7.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,14.0,9.0,4.0,56.0,1.0,5.0,0.0,0.0,4.0,1.0,2.0,4.0,4.0,0.0,1.0,1.0,2.0,50.0,1.0,11.0,64.7,7.0,5.0,5.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,20.0,26.0,36.0,3.0,73.0,0.0,0.0,0.0,216.0,122.0,1.0,1.0,0.0,2.0,64.0,57.0,89.1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,66.7
