player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Karim Benzema,FW,30-256,90.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,47.0,14.0,0.0,0.0,0.0,0.3,0.3,0.0,3.0,1.0,32.0,39.0,82.1,3.0,42.0,3.0,0.0,0.0,505.0,68.0,21.0,24.0,87.5,8.0,10.0,80.0,3.0,3.0,100.0,0.0,1.0,2.0,0.0,37.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,4.0,3.0,33.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.6,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,28.0,6.0,45.0,0.0,0.0,0.0,131.0,49.0,3.0,0.0,2.0,2.0,63.0,40.0,63.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
Marco Asensio,LW,22-223,77.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,65.0,6.0,0.0,0.0,0.0,0.2,0.2,0.3,7.0,2.0,49.0,58.0,84.5,4.0,64.0,9.0,2.0,2.0,931.0,174.0,19.0,22.0,86.4,21.0,24.0,87.5,7.0,9.0,77.8,4.0,1.0,5.0,3.0,57.0,1.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,47.0,5.0,6.0,49.0,8.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,66.7,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,37.0,5.0,64.0,100.0,2.0,0.0,340.0,159.0,2.0,0.0,1.0,1.0,67.0,59.0,88.1,12.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Dani Ceballos,CM,22-025,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,96.6,1.0,31.0,1.0,1.0,1.0,543.0,66.0,11.0,12.0,91.7,15.0,15.0,100.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,28.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,16.0,12.0,0.0,31.0,100.0,1.0,0.0,82.0,38.0,1.0,0.0,0.0,0.0,29.0,27.0,93.1,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Gareth Bale,RW,29-047,84.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,74.0,10.0,0.0,0.0,2.0,0.6,0.6,0.0,0.0,0.0,50.0,65.0,76.9,4.0,61.0,10.0,1.0,1.0,989.0,176.0,21.0,24.0,87.5,22.0,25.0,88.0,7.0,13.0,53.8,0.0,2.0,2.0,1.0,63.0,2.0,0.0,0.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,42.0,10.0,13.0,58.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0,4.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,25.0,47.0,8.0,72.0,100.0,1.0,0.0,347.0,169.0,2.0,2.0,0.0,1.0,77.0,65.0,84.4,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Lucas Vázquez,RW,27-062,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.2,1.0,0.0,5.0,7.0,71.4,0.0,7.0,2.0,0.0,0.0,71.0,21.0,4.0,4.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,10.0,0.0,0.0,0.0,56.0,34.0,0.0,1.0,0.0,0.0,6.0,6.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Toni Kroos,CM,28-240,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,117.0,17.0,2.0,0.0,0.0,0.1,0.1,0.1,4.0,0.0,99.0,109.0,90.8,12.0,98.0,6.0,0.0,0.0,1994.0,632.0,41.0,43.0,95.3,40.0,42.0,95.2,17.0,22.0,77.3,2.0,12.0,1.0,0.0,101.0,8.0,2.0,0.0,10.0,4.0,0.0,6.0,0.0,0.0,0.0,90.0,5.0,14.0,8.0,99.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,5.0,29.4,3.0,10.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,80.0,32.0,3.0,109.0,0.0,0.0,0.0,317.0,163.0,2.0,1.0,2.0,0.0,100.0,98.0,98.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Luka Modrić,CM,32-357,61.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,1.0,51.0,58.0,87.9,5.0,56.0,4.0,0.0,2.0,945.0,302.0,22.0,23.0,95.7,21.0,22.0,95.5,7.0,11.0,63.6,1.0,8.0,1.0,0.0,57.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,6.0,6.0,49.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,35.0,30.0,1.0,62.0,0.0,0.0,0.0,238.0,92.0,2.0,0.0,1.0,1.0,64.0,56.0,87.5,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Isco,"CM,LW",26-133,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,35.0,39.0,89.7,2.0,44.0,5.0,2.0,3.0,656.0,149.0,17.0,17.0,100.0,12.0,15.0,80.0,5.0,6.0,83.3,0.0,6.0,0.0,0.0,39.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,32.0,2.0,5.0,8.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,17.0,4.0,44.0,66.7,2.0,0.0,120.0,56.0,1.0,0.0,2.0,0.0,42.0,40.0,95.2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Casemiro,DM,26-190,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,11.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,71.0,81.0,87.7,9.0,69.0,4.0,0.0,0.0,1340.0,327.0,25.0,28.0,89.3,35.0,39.0,89.7,10.0,12.0,83.3,0.0,8.0,0.0,0.0,81.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,7.0,10.0,2.0,68.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,100.0,0.0,7.0,63.6,3.0,7.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,4.0,28.0,54.0,9.0,0.0,89.0,0.0,0.0,0.0,192.0,87.0,2.0,0.0,0.0,1.0,62.0,60.0,96.8,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,20.0,7.0,6.0,53.8
Marcelo,LB,30-112,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,6.0,3.0,0.0,1.0,0.0,0.0,0.2,5.0,2.0,89.0,102.0,87.3,11.0,98.0,6.0,1.0,1.0,1473.0,475.0,51.0,52.0,98.1,32.0,36.0,88.9,5.0,12.0,41.7,2.0,3.0,5.0,2.0,99.0,3.0,0.0,0.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,81.0,7.0,14.0,87.0,12.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,83.3,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,19.0,52.0,43.0,1.0,107.0,100.0,1.0,0.0,287.0,130.0,2.0,1.0,2.0,2.0,98.0,96.0,98.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
