player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Karim Benzema,FW,31-031,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,52.0,11.0,0.0,0.0,1.0,0.1,0.1,0.2,6.0,0.0,31.0,42.0,73.8,4.0,41.0,4.0,1.0,4.0,373.0,95.0,21.0,23.0,91.3,7.0,11.0,63.6,0.0,4.0,0.0,2.0,2.0,3.0,0.0,41.0,1.0,0.0,3.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,4.0,3.0,9.0,32.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,1.0,3.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,14.0,35.0,5.0,51.0,25.0,1.0,0.0,136.0,69.0,0.0,1.0,1.0,0.0,70.0,44.0,62.9,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Vinicius Júnior,LW,18-191,90.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,70.0,15.0,1.0,1.0,0.0,0.3,0.3,0.1,5.0,0.0,40.0,51.0,78.4,2.0,66.0,20.0,5.0,7.0,561.0,77.0,27.0,31.0,87.1,10.0,13.0,76.9,1.0,2.0,50.0,2.0,2.0,1.0,0.0,50.0,1.0,0.0,0.0,18.0,0.0,2.0,1.0,0.0,0.0,0.0,46.0,2.0,3.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,33.3,5.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,22.0,50.0,11.0,69.0,71.4,5.0,0.0,393.0,225.0,0.0,8.0,2.0,3.0,74.0,55.0,74.3,9.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Lucas Vázquez,RW,27-202,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,23.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,38.0,50.0,76.0,7.0,46.0,14.0,0.0,3.0,504.0,194.0,26.0,29.0,89.7,9.0,13.0,69.2,2.0,6.0,33.3,2.0,5.0,4.0,1.0,48.0,2.0,0.0,1.0,15.0,2.0,5.0,0.0,0.0,0.0,0.0,32.0,8.0,10.0,3.0,45.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,7.0,30.4,2.0,11.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,39.0,3.0,56.0,0.0,0.0,1.0,285.0,216.0,4.0,2.0,2.0,2.0,64.0,51.0,79.7,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Isco,RW,26-273,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,91.7,0.0,13.0,0.0,0.0,1.0,128.0,34.0,8.0,9.0,88.9,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,9.0,2.0,17.0,0.0,0.0,0.0,86.0,51.0,1.0,0.0,1.0,1.0,14.0,14.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Dani Ceballos,CM,22-165,87.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,119.0,43.0,5.0,6.0,2.0,0.2,0.2,0.2,4.0,0.0,89.0,99.0,89.9,6.0,100.0,16.0,1.0,2.0,1608.0,341.0,34.0,39.0,87.2,41.0,43.0,95.3,10.0,11.0,90.9,3.0,13.0,0.0,0.0,96.0,3.0,0.0,1.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,83.0,9.0,7.0,2.0,94.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,6.0,50.0,3.0,14.0,32.6,8.0,24.0,11.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,10.0,77.0,40.0,2.0,116.0,50.0,1.0,0.0,561.0,273.0,3.0,0.0,1.0,1.0,97.0,93.0,95.9,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
Federico Valverde,CM,20-181,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Luka Modrić,CM,33-132,90.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,103.0,23.0,3.0,2.0,0.0,0.5,0.5,0.1,11.0,2.0,70.0,88.0,79.5,3.0,87.0,19.0,3.0,3.0,1280.0,240.0,32.0,34.0,94.1,28.0,35.0,80.0,8.0,16.0,50.0,5.0,10.0,0.0,0.0,79.0,9.0,2.0,0.0,33.0,5.0,3.0,6.0,0.0,0.0,0.0,59.0,7.0,22.0,11.0,74.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,100.0,0.0,8.0,34.8,2.0,13.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,53.0,56.0,9.0,95.0,100.0,3.0,0.0,549.0,312.0,6.0,2.0,3.0,1.0,87.0,82.0,94.3,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0
Casemiro,DM,26-330,90.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,84.0,26.0,3.0,3.0,3.0,0.2,0.2,0.0,0.0,0.0,61.0,68.0,89.7,4.0,50.0,2.0,0.0,0.0,1115.0,205.0,29.0,29.0,100.0,18.0,24.0,75.0,11.0,12.0,91.7,0.0,3.0,1.0,0.0,64.0,4.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,12.0,5.0,4.0,58.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,11.0,42.3,6.0,13.0,7.0,1.0,0.0,2.0,6.0,4.0,0.0,2.0,7.0,59.0,19.0,3.0,82.0,0.0,0.0,0.0,153.0,70.0,1.0,0.0,0.0,0.0,57.0,54.0,94.7,5.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,15.0,5.0,2.0,71.4
Sergio Reguilón,LB,22-034,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,12.0,0.0,3.0,0.0,0.1,0.1,0.0,4.0,1.0,74.0,80.0,92.5,10.0,63.0,12.0,1.0,1.0,1222.0,420.0,46.0,48.0,95.8,19.0,21.0,90.5,7.0,7.0,100.0,1.0,9.0,1.0,0.0,67.0,13.0,2.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,56.0,14.0,10.0,64.0,3.0,1.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,6.0,5.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,15.0,49.0,31.0,1.0,76.0,100.0,1.0,0.0,325.0,237.0,4.0,0.0,0.0,0.0,66.0,61.0,92.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,100.0
Sergio Ramos,CB,32-295,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,62.0,90.3,1.0,42.0,4.0,0.0,0.0,1093.0,321.0,21.0,22.0,95.5,23.0,26.0,88.5,11.0,13.0,84.6,0.0,4.0,0.0,0.0,60.0,2.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,16.0,8.0,6.0,47.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,33.3,3.0,3.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,2.0,26.0,41.0,1.0,0.0,64.0,0.0,0.0,0.0,225.0,108.0,0.0,0.0,0.0,0.0,42.0,40.0,95.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,2.0,71.4
