player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Pablo Chavarría,FW,30-312,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,25.0,19.0,0.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,9.0,16.0,56.3,1.0,14.0,3.0,1.0,2.0,107.0,24.0,7.0,11.0,63.6,2.0,4.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,1.0,10.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,15.8,0.0,3.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,11.0,14.0,6.0,22.0,50.0,2.0,0.0,80.0,56.0,1.0,1.0,3.0,0.0,31.0,16.0,51.6,9.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,4.0,33.3
Mathieu Cafaro,"LW,RW",21-230,80.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,39.0,17.0,1.0,0.0,2.0,0.1,0.1,0.3,3.0,0.0,18.0,28.0,64.3,5.0,29.0,3.0,1.0,2.0,351.0,118.0,7.0,12.0,58.3,8.0,10.0,80.0,3.0,5.0,60.0,2.0,3.0,0.0,0.0,26.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,5.0,5.0,4.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,11.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,23.0,15.0,1.0,36.0,50.0,1.0,0.0,187.0,106.0,1.0,0.0,1.0,1.0,35.0,25.0,71.4,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
Suk Hyun-jun,RW,27-134,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,40.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,50.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remi Oudin,RW,21-357,60.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,25.0,8.0,1.0,0.0,0.0,0.3,0.3,0.1,3.0,0.0,7.0,15.0,46.7,2.0,16.0,3.0,0.0,0.0,135.0,39.0,5.0,8.0,62.5,1.0,3.0,33.3,1.0,4.0,25.0,1.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,9.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,37.5,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,19.0,6.0,24.0,0.0,0.0,0.0,45.0,29.0,1.0,1.0,2.0,0.0,24.0,16.0,66.7,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
Sheyi Ojo,"LW,RW",21-144,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,11.0,13.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,2.0,4.0,50.0,0.0,9.0,4.0,1.0,3.0,70.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.4,3.0,6.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,7.0,3.0,11.0,33.3,1.0,0.0,67.0,62.0,1.0,3.0,1.0,0.0,10.0,6.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Tristan Dingomé,AM,27-266,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,15.0,2.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,19.0,26.0,73.1,3.0,31.0,0.0,3.0,3.0,355.0,108.0,9.0,11.0,81.8,8.0,9.0,88.9,2.0,5.0,40.0,2.0,4.0,2.0,0.0,26.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,6.0,5.0,21.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,4.0,26.7,3.0,7.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,19.0,16.0,0.0,37.0,100.0,3.0,0.0,33.0,19.0,1.0,0.0,4.0,3.0,31.0,29.0,93.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
Boulaye Dia,AM,21-359,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,4.0,4.0,100.0,0.0,5.0,2.0,2.0,3.0,41.0,7.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,7.0,66.7,3.0,0.0,16.0,11.0,0.0,1.0,0.0,0.0,6.0,4.0,66.7,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Xavier Chavalerin,DM,27-248,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,18.0,0.0,2.0,1.0,0.0,0.0,0.1,3.0,0.0,17.0,36.0,47.2,2.0,21.0,2.0,0.0,0.0,326.0,139.0,6.0,9.0,66.7,8.0,13.0,61.5,3.0,14.0,21.4,2.0,3.0,1.0,0.0,28.0,8.0,2.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,15.0,6.0,15.0,31.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.7,6.0,8.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,25.0,12.0,0.0,35.0,0.0,0.0,0.0,46.0,25.0,0.0,0.0,1.0,2.0,22.0,19.0,86.4,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
Nolan Mbemba,DM,23-264,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,11.0,3.0,1.0,2.0,0.1,0.1,0.0,2.0,0.0,42.0,52.0,80.8,2.0,33.0,3.0,0.0,0.0,795.0,146.0,15.0,19.0,78.9,18.0,22.0,81.8,8.0,10.0,80.0,1.0,3.0,0.0,0.0,50.0,2.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,16.0,6.0,4.0,35.0,8.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,50.0,1.0,4.0,36.4,2.0,7.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,20.0,37.0,9.0,1.0,61.0,0.0,0.0,0.0,151.0,65.0,0.0,0.0,2.0,2.0,31.0,28.0,90.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,100.0
Ghislain Konan,LB,22-318,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,32.0,46.0,69.6,3.0,30.0,5.0,1.0,2.0,659.0,249.0,11.0,13.0,84.6,18.0,22.0,81.8,3.0,10.0,30.0,0.0,2.0,1.0,1.0,29.0,17.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0,14.0,18.0,24.0,2.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,4.0,3.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,7.0,23.0,23.0,17.0,0.0,42.0,50.0,1.0,0.0,173.0,125.0,2.0,0.0,1.0,3.0,29.0,26.0,89.7,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,33.3
