player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Boulaye Dia,FW,22-093,63.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,33.0,0.0,0.0,1.0,0.3,0.3,0.1,2.0,0.0,12.0,17.0,70.6,1.0,15.0,3.0,1.0,2.0,126.0,29.0,11.0,11.0,100.0,1.0,5.0,20.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,16.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,9.1,2.0,18.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,12.0,2.0,22.0,50.0,1.0,0.0,77.0,62.0,2.0,1.0,0.0,1.0,34.0,14.0,41.2,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
Suk Hyun-jun,FW,27-233,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,69.2,1.0,11.0,1.0,1.0,2.0,120.0,13.0,6.0,7.0,85.7,3.0,4.0,75.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,8.0,0.0,19.0,50.0,2.0,0.0,53.0,15.0,0.0,0.0,3.0,0.0,19.0,15.0,78.9,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,100.0
Mathieu Cafaro,LW,21-329,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,26.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,11.0,15.0,73.3,0.0,18.0,2.0,0.0,1.0,232.0,40.0,4.0,4.0,100.0,5.0,8.0,62.5,2.0,3.0,66.7,1.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,4.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,23.1,5.0,16.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,13.0,8.0,0.0,22.0,0.0,0.0,0.0,63.0,39.0,1.0,0.0,3.0,1.0,28.0,19.0,67.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
Arber Zeneli,LW,23-357,36.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,2.0,12.0,14.0,85.7,2.0,22.0,4.0,4.0,6.0,172.0,58.0,7.0,7.0,100.0,5.0,5.0,100.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.3,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,11.0,1.0,21.0,66.7,5.0,0.0,175.0,140.0,2.0,0.0,1.0,2.0,20.0,15.0,75.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Remi Oudin,RW,22-091,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,40.0,24.0,2.0,0.0,0.0,0.3,0.3,0.0,1.0,1.0,14.0,26.0,53.8,4.0,30.0,4.0,0.0,2.0,249.0,93.0,5.0,6.0,83.3,9.0,14.0,64.3,0.0,4.0,0.0,0.0,3.0,1.0,0.0,26.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0,6.0,17.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,16.7,6.0,13.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,11.0,17.0,15.0,6.0,40.0,0.0,0.0,0.0,167.0,109.0,0.0,0.0,1.0,2.0,34.0,27.0,79.4,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,100.0
Tristan Dingomé,AM,28-000,78.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,26.0,2.0,0.0,2.0,0.1,0.1,0.3,2.0,1.0,20.0,26.0,76.9,1.0,25.0,2.0,2.0,3.0,350.0,89.0,11.0,12.0,91.7,5.0,6.0,83.3,4.0,7.0,57.1,2.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,5.0,21.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,7.7,9.0,13.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,13.0,17.0,8.0,2.0,36.0,66.7,2.0,0.0,97.0,51.0,1.0,0.0,0.0,0.0,38.0,22.0,57.9,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Moussa Doumbia,AM,24-186,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,1.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,2.0,6.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xavier Chavalerin,DM,27-347,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,29.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,23.0,30.0,76.7,4.0,27.0,2.0,1.0,1.0,429.0,147.0,10.0,11.0,90.9,10.0,11.0,90.9,2.0,7.0,28.6,1.0,2.0,1.0,0.0,28.0,2.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,3.0,7.0,24.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,27.6,8.0,19.0,2.0,1.0,0.0,1.0,6.0,3.0,0.0,4.0,22.0,16.0,6.0,1.0,40.0,100.0,1.0,0.0,129.0,54.0,0.0,0.0,0.0,1.0,23.0,21.0,91.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Alaixys Romao,DM,35-030,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,23.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,92.0,1.0,23.0,1.0,2.0,3.0,394.0,100.0,12.0,12.0,100.0,9.0,9.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,3.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,4.0,17.4,9.0,13.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,3.0,14.0,25.0,2.0,0.0,39.0,66.7,2.0,0.0,69.0,24.0,1.0,0.0,0.0,1.0,22.0,20.0,90.9,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Baba Rahman,LB,24-230,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,24.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,42.0,73.8,1.0,32.0,0.0,2.0,2.0,545.0,156.0,18.0,21.0,85.7,9.0,13.0,69.2,3.0,5.0,60.0,0.0,2.0,0.0,0.0,32.0,10.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,9.0,20.0,11.0,2.0,9.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,33.3,2.0,9.0,37.5,17.0,6.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,4.0,23.0,25.0,7.0,0.0,43.0,100.0,2.0,0.0,89.0,23.0,0.0,0.0,1.0,2.0,26.0,25.0,96.2,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
Yunis Abdelhamid,CB,31-142,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,14.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,28.0,78.6,2.0,23.0,2.0,1.0,1.0,508.0,230.0,6.0,6.0,100.0,12.0,14.0,85.7,4.0,7.0,57.1,0.0,0.0,0.0,0.0,25.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,8.0,18.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,42.9,10.0,4.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,10.0,25.0,14.0,0.0,0.0,35.0,100.0,1.0,0.0,160.0,96.0,0.0,0.0,0.0,0.0,19.0,19.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
Björn Engels,CB,24-155,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,83.3,2.0,19.0,1.0,0.0,0.0,516.0,125.0,5.0,5.0,100.0,8.0,11.0,72.7,7.0,8.0,87.5,0.0,1.0,0.0,0.0,22.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,5.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,6.0,2.0,0.0,1.0,0.0,2.0,2.0,9.0,0.0,8.0,26.0,17.0,0.0,0.0,36.0,0.0,0.0,0.0,110.0,74.0,0.0,0.0,0.0,0.0,17.0,17.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,100.0
Thomas Foket,RB,24-145,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,40.0,80.0,4.0,29.0,3.0,2.0,2.0,540.0,246.0,16.0,20.0,80.0,12.0,13.0,92.3,3.0,6.0,50.0,0.0,1.0,0.0,0.0,32.0,8.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,11.0,3.0,26.0,1.0,8.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,45.0,12.0,8.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,6.0,20.0,24.0,6.0,0.0,40.0,100.0,2.0,0.0,195.0,108.0,0.0,0.0,0.0,0.0,29.0,26.0,89.7,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Edouard Mendy,GK,26-353,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,41.0,68.3,0.0,25.0,0.0,0.0,0.0,1338.0,1025.0,0.0,0.0,0.0,7.0,7.0,100.0,21.0,34.0,61.8,0.0,2.0,0.0,0.0,27.0,14.0,4.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,28.0,1.0,30.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,43.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,169.0,80.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
