player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Michael Obafemi,FW,18-148,63.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,1.0,6.0,9.0,66.7,2.0,14.0,1.0,0.0,2.0,88.0,7.0,3.0,5.0,60.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,15.8,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,14.0,3.0,19.0,0.0,0.0,0.0,45.0,28.0,1.0,0.0,2.0,2.0,34.0,14.0,41.2,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
Manolo Gabbiadini,FW,27-005,27.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,4.0,4.0,100.0,0.0,9.0,0.0,0.0,2.0,37.0,12.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,9.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,14.0,9.0,64.3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stuart Armstrong,LW,26-246,90.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,59.0,30.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,39.0,48.0,81.3,6.0,43.0,5.0,2.0,2.0,509.0,154.0,28.0,30.0,93.3,10.0,12.0,83.3,1.0,3.0,33.3,1.0,3.0,4.0,0.0,46.0,2.0,0.0,1.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,36.0,7.0,5.0,6.0,38.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,50.0,1.0,7.0,23.3,8.0,21.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,5.0,31.0,26.0,4.0,57.0,100.0,2.0,0.0,203.0,84.0,3.0,0.0,1.0,0.0,45.0,40.0,88.9,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
Nathan Redmond,RW,24-270,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,54.0,36.0,3.0,0.0,0.0,0.1,0.1,0.1,7.0,1.0,21.0,39.0,53.8,3.0,52.0,13.0,9.0,11.0,355.0,82.0,11.0,19.0,57.9,7.0,10.0,70.0,3.0,7.0,42.9,3.0,1.0,3.0,0.0,35.0,4.0,0.0,0.0,13.0,2.0,2.0,1.0,0.0,0.0,0.0,29.0,5.0,5.0,5.0,33.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,6.0,16.7,4.0,17.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,17.0,38.0,10.0,49.0,81.8,9.0,0.0,395.0,283.0,3.0,6.0,2.0,2.0,53.0,41.0,77.4,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Mario Lemina,CM,25-091,89.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,54.0,31.0,7.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,38.0,40.0,95.0,0.0,45.0,10.0,4.0,4.0,588.0,89.0,18.0,18.0,100.0,17.0,18.0,94.4,1.0,1.0,100.0,1.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,2.0,2.0,6.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,4.0,1.0,3.0,3.0,100.0,0.0,11.0,35.5,8.0,16.0,7.0,1.0,0.0,1.0,7.0,0.0,0.0,3.0,8.0,30.0,23.0,1.0,54.0,100.0,4.0,0.0,324.0,192.0,6.0,0.0,1.0,1.0,38.0,33.0,86.8,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0
Steven Davis,CM,33-334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pierre Højbjerg,CM,23-118,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,79.0,38.0,1.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,59.0,67.0,88.1,3.0,65.0,5.0,0.0,1.0,1170.0,220.0,27.0,29.0,93.1,21.0,25.0,84.0,11.0,13.0,84.6,1.0,7.0,0.0,0.0,65.0,2.0,2.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,53.0,8.0,6.0,11.0,55.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,10.5,11.0,24.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,50.0,29.0,1.0,77.0,0.0,0.0,1.0,219.0,113.0,2.0,0.0,1.0,4.0,67.0,64.0,95.5,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Cédric Soares,WB,27-092,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,36.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,23.0,29.0,79.3,0.0,26.0,4.0,2.0,2.0,320.0,102.0,14.0,14.0,100.0,6.0,8.0,75.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,24.0,5.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,5.0,6.0,1.0,23.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,16.7,6.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,19.0,1.0,27.0,100.0,2.0,0.0,98.0,43.0,2.0,0.0,0.0,2.0,31.0,24.0,77.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Yan Valery,WB,19-282,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,25.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,20.0,31.0,64.5,2.0,22.0,2.0,0.0,0.0,326.0,126.0,10.0,11.0,90.9,10.0,15.0,66.7,0.0,5.0,0.0,0.0,1.0,0.0,0.0,26.0,5.0,1.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,8.0,9.0,1.0,21.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,3.0,33.3,2.0,8.0,32.0,15.0,8.0,2.0,0.0,0.0,7.0,4.0,2.0,0.0,5.0,15.0,15.0,19.0,1.0,42.0,0.0,0.0,0.0,121.0,41.0,1.0,0.0,3.0,0.0,31.0,17.0,54.8,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,7.0,36.4
Jannik Vestergaard,CB,26-120,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,12.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,32.0,84.4,1.0,25.0,0.0,0.0,0.0,510.0,214.0,14.0,14.0,100.0,10.0,11.0,90.9,3.0,7.0,42.9,1.0,1.0,0.0,0.0,30.0,2.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,7.0,11.0,18.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,33.3,4.0,8.0,0.0,1.0,0.0,0.0,6.0,4.0,1.0,8.0,19.0,24.0,1.0,1.0,40.0,0.0,0.0,0.0,60.0,21.0,0.0,0.0,2.0,0.0,21.0,20.0,95.2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,50.0
