player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Danny Ings,FW,26-157,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,18.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,12.0,15.0,80.0,2.0,22.0,0.0,1.0,2.0,199.0,75.0,8.0,10.0,80.0,1.0,2.0,50.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,33.3,1.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,11.0,4.0,24.0,50.0,1.0,0.0,47.0,8.0,0.0,0.0,2.0,1.0,37.0,18.0,48.6,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Shane Long,FW,31-339,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,9.0,0.0,0.0,1.0,69.0,0.0,4.0,5.0,80.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,5.0,7.0,0.0,13.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,1.0,2.0,23.0,8.0,34.8,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
Stuart Armstrong,"AM,LW",26-272,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,66.0,12.0,1.0,0.0,0.0,0.1,0.1,0.2,4.0,0.0,46.0,57.0,80.7,8.0,60.0,8.0,3.0,3.0,839.0,303.0,19.0,21.0,90.5,23.0,27.0,85.2,4.0,9.0,44.4,2.0,6.0,3.0,0.0,55.0,2.0,0.0,1.0,20.0,0.0,3.0,2.0,0.0,0.0,0.0,44.0,3.0,10.0,12.0,42.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,8.0,66.7,3.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,30.0,35.0,4.0,64.0,100.0,3.0,0.0,263.0,154.0,4.0,2.0,2.0,1.0,66.0,52.0,78.8,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
Nathan Redmond,"AM,RW",24-296,90.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,52.0,28.0,1.0,0.0,2.0,1.0,1.0,0.1,3.0,0.0,28.0,40.0,70.0,4.0,44.0,4.0,2.0,6.0,524.0,112.0,9.0,14.0,64.3,15.0,16.0,93.8,3.0,5.0,60.0,1.0,1.0,2.0,1.0,38.0,2.0,0.0,1.0,22.0,1.0,3.0,0.0,0.0,0.0,0.0,35.0,1.0,4.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,25.0,9.0,12.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,23.0,29.0,5.0,50.0,33.3,3.0,0.0,188.0,90.0,1.0,0.0,1.0,1.0,64.0,44.0,68.8,17.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0
Oriol Romeu,CM,27-094,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,72.0,24.0,6.0,3.0,4.0,0.5,0.5,0.0,2.0,1.0,45.0,52.0,86.5,6.0,50.0,9.0,2.0,2.0,790.0,275.0,19.0,20.0,95.0,22.0,25.0,88.0,4.0,7.0,57.1,0.0,6.0,0.0,0.0,51.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,7.0,9.0,41.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,6.0,0.0,6.0,8.0,33.3,12.0,10.0,2.0,1.0,0.0,3.0,9.0,0.0,0.0,6.0,27.0,43.0,8.0,3.0,71.0,100.0,2.0,0.0,214.0,172.0,1.0,0.0,1.0,2.0,47.0,42.0,89.4,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Mario Lemina,CM,25-117,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,20.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,37.0,42.0,88.1,6.0,43.0,3.0,2.0,5.0,634.0,233.0,17.0,18.0,94.4,14.0,18.0,77.8,4.0,4.0,100.0,0.0,3.0,2.0,1.0,42.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,1.0,4.0,6.0,34.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,40.0,9.0,6.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,20.0,27.0,16.0,1.0,57.0,40.0,2.0,0.0,174.0,117.0,2.0,0.0,2.0,0.0,45.0,37.0,82.2,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,100.0
Mohamed Elyounoussi,CM,24-145,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Targett,"WB,LM,LB",23-100,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,19.0,6.0,0.0,3.0,0.0,0.0,0.1,4.0,0.0,43.0,66.0,65.2,5.0,49.0,4.0,0.0,0.0,670.0,388.0,24.0,26.0,92.3,10.0,18.0,55.6,6.0,17.0,35.3,3.0,5.0,3.0,1.0,54.0,12.0,0.0,1.0,27.0,4.0,6.0,2.0,0.0,0.0,0.0,41.0,3.0,22.0,50.0,3.0,2.0,10.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,2.0,7.0,28.6,5.0,7.0,36.8,10.0,6.0,3.0,1.0,0.0,2.0,6.0,3.0,0.0,5.0,21.0,25.0,33.0,2.0,66.0,0.0,0.0,0.0,121.0,68.0,1.0,0.0,0.0,0.0,52.0,45.0,86.5,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,33.3
Yan Valery,"WB,RM,RB",19-308,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,20.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,37.0,67.6,3.0,27.0,6.0,1.0,3.0,380.0,166.0,13.0,15.0,86.7,9.0,12.0,75.0,2.0,7.0,28.6,0.0,2.0,1.0,0.0,30.0,7.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,19.0,1.0,24.0,4.0,7.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,10.0,7.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,16.0,24.0,12.0,2.0,41.0,33.3,1.0,0.0,144.0,95.0,2.0,0.0,1.0,2.0,27.0,21.0,77.8,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,33.3
Jannik Vestergaard,CB,26-146,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,10.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,48.0,72.9,2.0,33.0,4.0,1.0,1.0,613.0,216.0,15.0,19.0,78.9,18.0,22.0,81.8,1.0,6.0,16.7,0.0,2.0,0.0,0.0,44.0,4.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,15.0,15.0,23.0,6.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,4.0,75.0,1.0,2.0,20.0,7.0,3.0,0.0,1.0,0.0,2.0,6.0,4.0,0.0,7.0,32.0,28.0,1.0,0.0,54.0,100.0,1.0,0.0,218.0,128.0,1.0,0.0,0.0,0.0,28.0,26.0,92.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,2.0,60.0
