player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Andrea Belotti,FW,25-104,90.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,31.0,15.0,1.0,0.0,1.0,0.4,0.4,0.0,2.0,0.0,9.0,17.0,52.9,2.0,23.0,5.0,3.0,8.0,103.0,42.0,6.0,9.0,66.7,3.0,7.0,42.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,2.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,33.3,0.0,8.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,22.0,7.0,31.0,37.5,3.0,0.0,138.0,69.0,3.0,0.0,2.0,1.0,45.0,23.0,51.1,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,2.0,71.4
Álex Berenguer,AM,23-273,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,28.0,31.0,90.3,0.0,29.0,6.0,2.0,3.0,371.0,78.0,16.0,18.0,88.9,8.0,9.0,88.9,1.0,1.0,100.0,0.0,1.0,0.0,0.0,29.0,2.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,22.0,6.0,3.0,6.0,22.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,17.4,1.0,9.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,14.0,22.0,3.0,37.0,66.7,2.0,0.0,116.0,82.0,0.0,1.0,4.0,0.0,53.0,28.0,52.8,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
Saša Lukić,AM,22-233,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Daniele Baselli,CM,27-022,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,62.0,24.0,4.0,2.0,2.0,0.1,0.1,0.2,4.0,0.0,31.0,43.0,72.1,3.0,33.0,6.0,1.0,2.0,569.0,212.0,14.0,18.0,77.8,11.0,16.0,68.8,5.0,6.0,83.3,2.0,1.0,3.0,1.0,35.0,8.0,2.0,0.0,10.0,1.0,2.0,5.0,1.0,2.0,0.0,25.0,8.0,10.0,6.0,35.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,100.0,0.0,3.0,12.5,6.0,12.0,6.0,1.0,0.0,1.0,6.0,3.0,0.0,1.0,9.0,23.0,33.0,7.0,54.0,50.0,1.0,0.0,199.0,124.0,1.0,1.0,1.0,3.0,41.0,31.0,75.6,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,66.7
Soualiho Meïté,CM,25-017,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,13.0,2.0,0.0,2.0,0.1,0.1,0.0,2.0,0.0,19.0,27.0,70.4,2.0,30.0,1.0,3.0,6.0,274.0,74.0,10.0,14.0,71.4,9.0,11.0,81.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,27.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,7.0,4.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,7.7,3.0,7.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,26.0,13.0,2.0,41.0,50.0,3.0,1.0,60.0,18.0,0.0,0.0,0.0,5.0,35.0,28.0,80.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,50.0
Tomás Rincón,DM,31-080,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,38.0,21.0,7.0,4.0,0.0,0.1,0.1,0.0,3.0,0.0,19.0,27.0,70.4,1.0,17.0,2.0,0.0,1.0,285.0,132.0,11.0,13.0,84.6,6.0,8.0,75.0,1.0,5.0,20.0,2.0,3.0,0.0,0.0,25.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,8.0,3.0,20.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,3.0,1.0,3.0,5.0,60.0,2.0,7.0,33.3,4.0,11.0,6.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,8.0,22.0,11.0,0.0,37.0,0.0,0.0,0.0,137.0,102.0,2.0,0.0,0.0,0.0,12.0,9.0,75.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,100.0
Cristian Ansaldi,WB,32-195,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,14.0,2.0,2.0,4.0,0.1,0.1,0.1,2.0,0.0,25.0,38.0,65.8,2.0,40.0,3.0,5.0,6.0,525.0,208.0,14.0,15.0,93.3,6.0,10.0,60.0,5.0,11.0,45.5,1.0,2.0,1.0,1.0,31.0,7.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0,0.0,0.0,18.0,7.0,13.0,13.0,17.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,28.6,5.0,3.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0,19.0,33.0,3.0,47.0,83.3,5.0,0.0,179.0,84.0,4.0,0.0,1.0,2.0,39.0,35.0,89.7,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Lorenzo De Silvestri,WB,30-315,67.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,43.0,15.0,0.0,3.0,3.0,0.1,0.1,0.2,3.0,1.0,19.0,32.0,59.4,3.0,18.0,3.0,0.0,0.0,339.0,219.0,10.0,11.0,90.9,6.0,14.0,42.9,3.0,5.0,60.0,3.0,0.0,3.0,1.0,23.0,9.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,10.0,11.0,1.0,18.0,2.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,40.0,4.0,8.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,6.0,21.0,20.0,2.0,34.0,0.0,0.0,0.0,153.0,57.0,2.0,0.0,0.0,2.0,19.0,18.0,94.7,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,100.0
Vittorio Parigini,WB,23-009,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,8.0,2.0,0.0,0.0,147.0,74.0,1.0,1.0,100.0,4.0,4.0,100.0,1.0,2.0,50.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,75.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,5.0,5.0,5.0,1.0,12.0,0.0,0.0,0.0,23.0,14.0,0.0,1.0,2.0,2.0,7.0,5.0,71.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Emiliano Moretti,CB,37-296,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,73.9,3.0,20.0,2.0,0.0,0.0,438.0,196.0,2.0,3.0,66.7,12.0,12.0,100.0,3.0,7.0,42.9,0.0,5.0,0.0,0.0,23.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,8.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,5.0,4.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,16.0,17.0,0.0,0.0,31.0,0.0,0.0,0.0,120.0,54.0,0.0,0.0,0.0,0.0,17.0,16.0,94.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
