player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Rodrigo De Paul,FW,24-192,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,4.0,4.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,19.0,31.0,61.3,3.0,28.0,4.0,0.0,1.0,332.0,112.0,9.0,12.0,75.0,9.0,12.0,75.0,1.0,6.0,16.7,1.0,2.0,1.0,0.0,28.0,3.0,2.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,11.0,7.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,23.0,16.0,0.0,39.0,0.0,0.0,0.0,124.0,53.0,1.0,0.0,1.0,2.0,29.0,26.0,89.7,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
Ignacio Pussetto,FW,22-346,73.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,5.0,1.0,3.0,4.0,0.1,0.1,0.0,0.0,0.0,12.0,16.0,75.0,2.0,21.0,5.0,2.0,4.0,184.0,39.0,6.0,8.0,75.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,4.0,1.0,0.0,1.0,6.0,22.0,11.0,2.0,34.0,50.0,2.0,0.0,141.0,92.0,1.0,0.0,3.0,3.0,37.0,22.0,59.5,8.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,8.0,27.3
Darwin Machís,FW,25-298,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,66.7,0.0,5.0,1.0,1.0,1.0,67.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,6.0,100.0,1.0,0.0,51.0,45.0,0.0,0.0,1.0,1.0,6.0,5.0,83.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rolando Mandragora,CM,21-156,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,48.0,5.0,3.0,2.0,1.0,0.1,0.1,0.0,0.0,0.0,26.0,33.0,78.8,2.0,25.0,1.0,0.0,2.0,496.0,130.0,13.0,17.0,76.5,9.0,11.0,81.8,4.0,5.0,80.0,0.0,2.0,0.0,0.0,31.0,2.0,1.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,4.0,8.0,24.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,40.0,3.0,1.0,20.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,3.0,10.0,24.0,15.0,1.0,46.0,0.0,0.0,0.0,76.0,26.0,0.0,0.0,0.0,1.0,30.0,28.0,93.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
Valon Behrami,CM,33-227,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,80.0,1.0,10.0,0.0,0.0,0.0,204.0,47.0,4.0,4.0,100.0,6.0,7.0,85.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,5.0,60.0,2.0,2.0,22.2,2.0,5.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,6.0,12.0,5.0,0.0,21.0,0.0,0.0,0.0,38.0,4.0,0.0,0.0,0.0,1.0,10.0,9.0,90.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Kevin Lasagna,CM,26-114,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,55.6,2.0,5.0,1.0,0.0,0.0,57.0,38.0,4.0,6.0,66.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,11.0,0.0,0.0,0.0,66.0,30.0,0.0,0.0,0.0,0.0,19.0,9.0,47.4,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,57.1
Seko Fofana,CM,23-209,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,22.0,28.0,78.6,0.0,23.0,2.0,1.0,2.0,295.0,86.0,13.0,16.0,81.3,7.0,8.0,87.5,1.0,2.0,50.0,1.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,4.0,1.0,5.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,66.7,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,12.0,17.0,9.0,0.0,34.0,50.0,1.0,0.0,100.0,48.0,1.0,0.0,1.0,1.0,31.0,22.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Giuseppe Pezzella,WB,21-003,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,29.0,58.6,1.0,20.0,3.0,1.0,1.0,285.0,120.0,6.0,8.0,75.0,9.0,14.0,64.3,1.0,5.0,20.0,0.0,1.0,0.0,0.0,21.0,8.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,7.0,10.0,18.0,3.0,1.0,7.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,6.0,9.0,21.0,8.0,1.0,27.0,100.0,1.0,0.0,118.0,58.0,1.0,1.0,0.0,1.0,17.0,17.0,100.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Hidde ter Avest,WB,21-196,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,6.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,48.0,68.8,2.0,33.0,2.0,0.0,1.0,491.0,128.0,17.0,20.0,85.0,11.0,19.0,57.9,3.0,6.0,50.0,0.0,1.0,0.0,0.0,35.0,13.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,12.0,3.0,30.0,4.0,11.0,0.0,0.0,3.0,2.0,1.0,4.0,4.0,1.0,0.0,4.0,6.0,66.7,2.0,2.0,33.3,6.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,8.0,27.0,27.0,12.0,0.0,51.0,0.0,0.0,0.0,129.0,54.0,0.0,0.0,0.0,3.0,25.0,22.0,88.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,50.0
Bram Nuytinck,CB,28-212,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,4.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,30.0,35.0,85.7,1.0,29.0,1.0,0.0,0.0,654.0,149.0,6.0,7.0,85.7,19.0,20.0,95.0,4.0,7.0,57.1,0.0,3.0,0.0,0.0,34.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,5.0,23.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0,66.7,1.0,1.0,25.0,1.0,3.0,0.0,4.0,0.0,4.0,4.0,10.0,0.0,12.0,34.0,22.0,2.0,0.0,56.0,0.0,0.0,0.0,106.0,62.0,0.0,0.0,0.0,0.0,31.0,31.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0
