player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Rubén Sobrino,FW,26-268,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,26.0,4.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,18.0,23.0,78.3,0.0,21.0,3.0,1.0,2.0,258.0,35.0,10.0,12.0,83.3,8.0,9.0,88.9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,21.0,2.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,9.0,2.0,3.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,100.0,0.0,6.0,23.1,4.0,18.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,9.0,22.0,11.0,5.0,36.0,50.0,1.0,0.0,133.0,100.0,3.0,1.0,1.0,2.0,43.0,21.0,48.8,7.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,5.0,44.4
Rodrigo,FW,27-355,69.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,15.0,2.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,12.0,17.0,70.6,1.0,21.0,1.0,3.0,3.0,273.0,20.0,5.0,7.0,71.4,5.0,7.0,71.4,2.0,2.0,100.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,26.7,1.0,9.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,13.0,15.0,1.0,27.0,100.0,3.0,0.0,69.0,16.0,1.0,0.0,3.0,1.0,42.0,21.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,25.0
Kévin Gameiro,FW,31-291,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,6.0,0.0,0.0,0.0,32.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,2.0,9.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,2.0,0.0,16.0,6.0,37.5,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Denis Cheryshev,LM,28-060,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,29.0,2.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,24.0,32.0,75.0,1.0,30.0,2.0,0.0,1.0,442.0,60.0,11.0,13.0,84.6,11.0,14.0,78.6,2.0,5.0,40.0,2.0,1.0,1.0,1.0,32.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,20.0,6.0,6.0,25.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,8.0,27.6,12.0,15.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,12.0,19.0,8.0,0.0,38.0,0.0,1.0,0.0,129.0,68.0,0.0,0.0,2.0,1.0,41.0,30.0,73.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0
Geoffrey Kondogbia,CM,26-009,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,18.0,2.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,48.0,56.0,85.7,3.0,51.0,4.0,0.0,0.0,1040.0,250.0,16.0,16.0,100.0,20.0,23.0,87.0,12.0,17.0,70.6,0.0,2.0,2.0,0.0,54.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,6.0,9.0,46.0,8.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,27.8,7.0,11.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,23.0,44.0,3.0,1.0,63.0,0.0,0.0,0.0,306.0,143.0,1.0,0.0,1.0,3.0,52.0,49.0,94.2,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,66.7
Francis Coquelin,CM,27-287,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,46.0,84.8,0.0,42.0,2.0,1.0,1.0,731.0,117.0,17.0,19.0,89.5,17.0,21.0,81.0,5.0,6.0,83.3,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,6.0,6.0,3.0,42.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,5.0,38.5,0.0,12.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,4.0,15.0,36.0,10.0,1.0,56.0,100.0,1.0,0.0,189.0,95.0,2.0,0.0,2.0,0.0,37.0,35.0,94.6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,33.3
Daniel Parejo,CM,29-314,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,80.0,0.0,9.0,1.0,0.0,0.0,169.0,72.0,3.0,3.0,100.0,3.0,4.0,75.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,1.0,0.0,10.0,0.0,0.0,0.0,56.0,26.0,0.0,0.0,0.0,0.0,9.0,8.0,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Carlos Soler,RM,22-053,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,25.0,0.0,0.0,1.0,0.0,0.0,0.3,3.0,2.0,19.0,31.0,61.3,2.0,26.0,3.0,0.0,1.0,320.0,137.0,13.0,14.0,92.9,2.0,6.0,33.3,4.0,9.0,44.4,2.0,1.0,0.0,0.0,26.0,5.0,3.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,17.0,5.0,9.0,3.0,24.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,7.0,28.0,11.0,13.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,6.0,20.0,18.0,2.0,37.0,0.0,0.0,0.0,99.0,45.0,2.0,1.0,1.0,1.0,41.0,26.0,63.4,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
José Luis Gayà,LB,23-275,77.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,66.0,15.0,3.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,46.0,55.0,83.6,4.0,49.0,10.0,3.0,3.0,1038.0,278.0,10.0,10.0,100.0,25.0,28.0,89.3,10.0,15.0,66.7,0.0,4.0,0.0,0.0,49.0,6.0,1.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,9.0,13.0,42.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,66.7,1.0,5.0,33.3,11.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,3.0,28.0,35.0,10.0,0.0,61.0,100.0,3.0,0.0,332.0,159.0,2.0,0.0,0.0,1.0,47.0,44.0,93.6,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,33.3
Mouctar Diakhaby,"CB,LB",22-067,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,33.0,10.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,6.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,100.0
