player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Karl Toko Ekambi,"FW,LW",26-134,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,39.0,21.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,26.0,73.1,2.0,30.0,4.0,1.0,4.0,278.0,43.0,10.0,13.0,76.9,7.0,10.0,70.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,25.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,4.0,3.0,2.0,21.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,38.1,3.0,11.0,7.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,18.0,24.0,4.0,38.0,25.0,1.0,0.0,178.0,79.0,4.0,0.0,1.0,2.0,56.0,32.0,57.1,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,25.0
Alfonso Pedraza,LW,22-292,59.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,21.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,15.0,21.0,71.4,1.0,21.0,0.0,0.0,1.0,227.0,42.0,7.0,8.0,87.5,8.0,10.0,80.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,5.0,2.0,15.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,23.8,5.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,15.0,15.0,2.0,30.0,0.0,0.0,0.0,79.0,45.0,0.0,0.0,3.0,0.0,37.0,24.0,64.9,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Samuel Chukwueze,RW,19-249,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,18.0,77.8,3.0,22.0,3.0,1.0,2.0,198.0,65.0,9.0,10.0,90.0,5.0,8.0,62.5,0.0,0.0,0.0,1.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,3.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,12.0,0.0,24.0,50.0,1.0,0.0,114.0,75.0,1.0,0.0,2.0,1.0,23.0,20.0,87.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Santi Cazorla,RW,34-044,59.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,17.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,36.0,45.0,80.0,8.0,45.0,6.0,2.0,3.0,665.0,243.0,16.0,18.0,88.9,18.0,19.0,94.7,2.0,8.0,25.0,2.0,2.0,1.0,0.0,40.0,5.0,2.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,30.0,5.0,10.0,14.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,25.0,3.0,2.0,11.8,3.0,7.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,20.0,24.0,0.0,46.0,66.7,2.0,1.0,228.0,100.0,0.0,0.0,1.0,1.0,41.0,38.0,92.7,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
Carlos Bacca,FW,32-140,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,8.0,10.0,80.0,0.0,10.0,3.0,0.0,0.0,113.0,18.0,5.0,6.0,83.3,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,12.0,0.0,0.0,0.0,36.0,26.0,0.0,0.0,0.0,1.0,18.0,11.0,61.1,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Pablo Fornals,AM,22-338,63.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,21.0,0.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,25.0,30.0,83.3,1.0,23.0,3.0,1.0,1.0,461.0,77.0,12.0,12.0,100.0,10.0,12.0,83.3,3.0,4.0,75.0,1.0,1.0,0.0,0.0,25.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,5.0,3.0,21.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.3,2.0,11.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,24.0,14.0,2.0,33.0,100.0,1.0,0.0,92.0,42.0,1.0,0.0,2.0,1.0,39.0,27.0,69.2,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Gerard Moreno,AM,26-294,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,80.0,1.0,13.0,5.0,0.0,0.0,282.0,27.0,3.0,4.0,75.0,5.0,6.0,83.3,4.0,4.0,100.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,16.0,0.0,0.0,0.0,109.0,61.0,2.0,0.0,1.0,0.0,20.0,15.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manu Trigueros,DM,27-101,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,81.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,70.0,73.0,95.9,7.0,62.0,7.0,0.0,0.0,1386.0,407.0,26.0,26.0,100.0,32.0,34.0,94.1,12.0,13.0,92.3,1.0,15.0,1.0,0.0,69.0,4.0,3.0,0.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,58.0,8.0,7.0,17.0,55.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,14.3,5.0,15.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,16.0,59.0,12.0,1.0,78.0,0.0,0.0,0.0,310.0,184.0,0.0,0.0,0.0,1.0,68.0,65.0,95.6,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0
Vicente Iborra,DM,31-010,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,58.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,50.0,86.0,3.0,38.0,1.0,1.0,1.0,825.0,123.0,18.0,20.0,90.0,19.0,21.0,90.5,6.0,8.0,75.0,0.0,3.0,0.0,0.0,49.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,13.0,8.0,13.0,30.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,19.0,6.0,10.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,13.0,39.0,8.0,2.0,57.0,100.0,1.0,0.0,104.0,29.0,1.0,0.0,0.0,1.0,47.0,37.0,78.7,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,2.0,33.3
Jaume Costa,LB,30-314,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,9.0,5.0,3.0,0.0,0.0,0.0,0.3,5.0,0.0,58.0,73.0,79.5,7.0,56.0,8.0,1.0,2.0,970.0,370.0,29.0,33.0,87.9,24.0,27.0,88.9,5.0,12.0,41.7,3.0,5.0,4.0,2.0,64.0,9.0,1.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,47.0,13.0,13.0,43.0,19.0,2.0,8.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,5.0,40.0,3.0,4.0,44.4,7.0,1.0,1.0,0.0,0.0,0.0,8.0,5.0,0.0,4.0,26.0,38.0,24.0,2.0,76.0,50.0,1.0,0.0,323.0,195.0,1.0,0.0,0.0,0.0,54.0,53.0,98.1,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,33.3
