player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Milot Rashica,FW,22-162,75.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,46.0,9.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,1.0,24.0,33.0,72.7,2.0,37.0,4.0,1.0,1.0,422.0,91.0,10.0,11.0,90.9,12.0,18.0,66.7,2.0,4.0,50.0,1.0,3.0,2.0,0.0,29.0,4.0,1.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,26.0,0.0,7.0,5.0,26.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,35.0,3.0,42.0,100.0,1.0,0.0,193.0,83.0,0.0,1.0,1.0,5.0,44.0,38.0,86.4,12.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Josh Sargent,FW,18-290,15.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,4.0,5.0,80.0,0.0,6.0,0.0,0.0,0.0,48.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,7.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,1.0,0.0,6.0,4.0,66.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Claudio Pizarro,FW,40-065,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,6.0,0.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,15.0,15.0,100.0,0.0,11.0,0.0,0.0,1.0,227.0,25.0,9.0,9.0,100.0,4.0,4.0,100.0,2.0,2.0,100.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,2.0,18.0,0.0,0.0,0.0,66.0,45.0,1.0,0.0,0.0,1.0,22.0,16.0,72.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
Martin Harnik,FW,31-180,31.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,17.0,8.0,1.0,0.0,1.0,0.7,0.7,0.0,1.0,1.0,4.0,11.0,36.4,0.0,10.0,1.0,0.0,0.0,49.0,11.0,3.0,6.0,50.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,37.5,2.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,9.0,4.0,17.0,0.0,0.0,0.0,15.0,9.0,1.0,0.0,1.0,0.0,15.0,10.0,66.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Max Kruse,"AM,LM",30-263,90.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,87.0,17.0,0.0,2.0,0.0,0.1,0.1,0.2,3.0,1.0,64.0,79.0,81.0,10.0,67.0,11.0,2.0,3.0,1436.0,401.0,24.0,28.0,85.7,26.0,32.0,81.3,14.0,19.0,73.7,2.0,9.0,3.0,0.0,71.0,8.0,5.0,0.0,14.0,5.0,5.0,2.0,0.0,0.0,0.0,57.0,5.0,17.0,67.0,8.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,29.4,1.0,14.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,48.0,44.0,4.0,81.0,66.7,3.0,0.0,343.0,175.0,5.0,0.0,1.0,2.0,78.0,70.0,89.7,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Davy Klaassen,"LM,AM",25-289,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,13.0,2.0,3.0,0.0,0.0,0.0,0.3,3.0,0.0,52.0,61.0,85.2,4.0,52.0,6.0,1.0,1.0,801.0,259.0,27.0,28.0,96.4,22.0,28.0,78.6,1.0,2.0,50.0,2.0,3.0,2.0,1.0,59.0,2.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,53.0,4.0,4.0,15.0,43.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,7.0,53.8,4.0,7.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,6.0,39.0,32.0,1.0,70.0,100.0,1.0,0.0,225.0,87.0,3.0,0.0,4.0,1.0,57.0,53.0,93.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
Kevin Möhwald,RM,25-157,68.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,71.0,10.0,0.0,0.0,1.0,0.2,0.2,0.0,2.0,0.0,52.0,60.0,86.7,7.0,47.0,2.0,0.0,1.0,807.0,172.0,28.0,32.0,87.5,19.0,19.0,100.0,3.0,7.0,42.9,0.0,4.0,1.0,0.0,57.0,3.0,2.0,0.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,51.0,4.0,5.0,3.0,53.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,50.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,43.0,25.0,1.0,68.0,0.0,0.0,0.0,119.0,41.0,1.0,0.0,3.0,1.0,58.0,56.0,96.6,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0
Johannes Eggestein,"RM,RB",20-213,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,7.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,9.0,12.0,75.0,1.0,12.0,0.0,0.0,0.0,166.0,47.0,4.0,4.0,100.0,3.0,6.0,50.0,2.0,2.0,100.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,6.0,1.0,15.0,0.0,0.0,0.0,41.0,4.0,0.0,0.0,1.0,0.0,9.0,7.0,77.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Maximilian Eggestein,DM,21-364,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,109.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,86.0,97.0,88.7,4.0,82.0,4.0,1.0,1.0,1630.0,356.0,31.0,34.0,91.2,44.0,48.0,91.7,9.0,12.0,75.0,2.0,9.0,0.0,0.0,94.0,3.0,3.0,0.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,83.0,6.0,8.0,9.0,82.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,57.1,3.0,2.0,2.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,28.0,76.0,16.0,0.0,106.0,100.0,1.0,0.0,362.0,239.0,2.0,0.0,2.0,2.0,81.0,77.0,95.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,2.0,33.3
Ludwig Augustinsson,LB,24-230,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,61.0,73.0,83.6,8.0,57.0,12.0,0.0,0.0,992.0,324.0,33.0,35.0,94.3,25.0,32.0,78.1,3.0,5.0,60.0,1.0,7.0,0.0,0.0,65.0,8.0,1.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,51.0,15.0,7.0,54.0,9.0,1.0,7.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,66.7,1.0,3.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,12.0,37.0,37.0,4.0,74.0,0.0,0.0,0.0,325.0,175.0,1.0,1.0,1.0,0.0,65.0,62.0,95.4,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
