player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Diogo Jota,FW,22-011,45.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,15.0,1.0,1.0,2.0,0.1,0.1,0.0,1.0,1.0,2.0,9.0,22.2,0.0,14.0,2.0,0.0,0.0,25.0,17.0,2.0,6.0,33.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,20.0,2.0,12.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,8.0,7.0,5.0,20.0,0.0,0.0,0.0,126.0,98.0,0.0,1.0,2.0,2.0,19.0,11.0,57.9,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Hélder Costa,AM,24-337,45.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,35.0,14.0,1.0,0.0,1.0,0.4,0.4,0.5,5.0,1.0,19.0,25.0,76.0,3.0,28.0,6.0,2.0,2.0,296.0,90.0,12.0,14.0,85.7,5.0,7.0,71.4,2.0,2.0,100.0,3.0,2.0,2.0,0.0,25.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,2.0,2.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.1,1.0,11.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,13.0,21.0,3.0,35.0,100.0,2.0,0.0,118.0,86.0,3.0,2.0,2.0,1.0,41.0,26.0,63.4,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
Raúl Jiménez,FW,27-224,88.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,50.0,20.0,2.0,1.0,0.0,0.9,0.9,0.0,2.0,0.0,34.0,41.0,82.9,5.0,40.0,5.0,1.0,1.0,656.0,183.0,16.0,21.0,76.2,12.0,13.0,92.3,6.0,7.0,85.7,0.0,2.0,1.0,0.0,41.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,32.0,5.0,4.0,2.0,38.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,20.0,6.0,8.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,30.0,17.0,5.0,50.0,100.0,1.0,0.0,228.0,127.0,0.0,1.0,1.0,0.0,50.0,34.0,68.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0
Ivan Cavaleiro,FW,25-058,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,1.0,2.0,2.0,100.0,1.0,3.0,1.0,0.0,0.0,53.0,32.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,44.0,39.0,0.0,1.0,0.0,0.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Morgan Gibbs-White,"AM,FW",18-322,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,20.0,29.0,69.0,1.0,30.0,2.0,0.0,2.0,353.0,96.0,9.0,14.0,64.3,7.0,9.0,77.8,3.0,4.0,75.0,1.0,2.0,0.0,0.0,28.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,3.0,1.0,24.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,33.3,1.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,11.0,1.0,36.0,0.0,0.0,0.0,111.0,64.0,2.0,0.0,3.0,1.0,45.0,31.0,68.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Romain Saïss,FW,28-264,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,66.7,0.0,11.0,1.0,0.0,0.0,136.0,24.0,3.0,3.0,100.0,5.0,7.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,7.0,3.0,0.0,16.0,0.0,0.0,0.0,48.0,36.0,1.0,0.0,0.0,0.0,11.0,10.0,90.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Jonny Castro,LM,24-287,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,55.0,18.0,4.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,31.0,42.0,73.8,1.0,31.0,1.0,1.0,1.0,479.0,190.0,18.0,18.0,100.0,11.0,16.0,68.8,2.0,6.0,33.3,0.0,1.0,1.0,0.0,33.0,9.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,14.0,7.0,10.0,21.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,6.0,50.0,3.0,6.0,33.3,6.0,10.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,9.0,23.0,22.0,12.0,2.0,46.0,100.0,1.0,0.0,120.0,45.0,0.0,0.0,2.0,0.0,28.0,25.0,89.3,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
Matt Doherty,RM,26-333,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,18.0,1.0,1.0,2.0,0.0,0.0,0.2,2.0,0.0,29.0,40.0,72.5,2.0,22.0,6.0,0.0,0.0,400.0,173.0,20.0,26.0,76.9,7.0,10.0,70.0,1.0,3.0,33.3,2.0,2.0,0.0,0.0,31.0,9.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,13.0,11.0,3.0,18.0,7.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,3.0,16.7,8.0,5.0,5.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,13.0,23.0,15.0,3.0,41.0,0.0,0.0,0.0,77.0,53.0,0.0,1.0,1.0,0.0,39.0,27.0,69.2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,57.1
Rúben Neves,DM,21-277,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,21.0,3.0,2.0,4.0,0.1,0.1,0.0,0.0,0.0,40.0,56.0,71.4,3.0,40.0,3.0,0.0,0.0,811.0,276.0,20.0,23.0,87.0,13.0,16.0,81.3,7.0,15.0,46.7,0.0,1.0,0.0,0.0,53.0,3.0,3.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,34.0,8.0,14.0,6.0,43.0,4.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,5.0,40.0,3.0,9.0,42.9,9.0,9.0,3.0,1.0,0.0,3.0,5.0,1.0,0.0,2.0,23.0,40.0,7.0,0.0,66.0,0.0,0.0,0.0,132.0,81.0,0.0,0.0,1.0,2.0,44.0,39.0,88.6,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,100.0
João Moutinho,DM,32-098,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,25.0,1.0,0.0,3.0,0.0,0.0,0.1,1.0,0.0,37.0,48.0,77.1,0.0,29.0,2.0,0.0,0.0,696.0,174.0,14.0,16.0,87.5,18.0,20.0,90.0,5.0,12.0,41.7,1.0,1.0,0.0,0.0,40.0,8.0,3.0,0.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,30.0,6.0,12.0,2.0,41.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,3.0,2.0,8.0,7.0,13.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,15.0,29.0,12.0,0.0,47.0,0.0,0.0,0.0,95.0,52.0,0.0,0.0,1.0,0.0,34.0,31.0,91.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Willy Boly,CB,27-315,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,71.4,3.0,22.0,1.0,0.0,0.0,458.0,205.0,12.0,14.0,85.7,9.0,10.0,90.0,3.0,10.0,30.0,0.0,2.0,1.0,0.0,34.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,14.0,9.0,19.0,6.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,20.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,24.0,19.0,0.0,0.0,41.0,0.0,0.0,0.0,99.0,28.0,0.0,0.0,0.0,0.0,24.0,22.0,91.7,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,2.0,50.0
Conor Coady,CB,25-293,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,36.0,80.6,1.0,25.0,1.0,0.0,0.0,711.0,290.0,7.0,8.0,87.5,14.0,14.0,100.0,8.0,14.0,57.1,0.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,11.0,2.0,33.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,8.0,0.0,15.0,37.0,12.0,0.0,0.0,47.0,0.0,0.0,0.0,139.0,55.0,0.0,0.0,0.0,0.0,25.0,24.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,75.0
Ryan Bennett,CB,28-284,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,13.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,81.8,4.0,16.0,0.0,0.0,0.0,472.0,229.0,5.0,6.0,83.3,6.0,8.0,75.0,7.0,8.0,87.5,0.0,4.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,8.0,1.0,19.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.1,11.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,13.0,16.0,0.0,0.0,28.0,0.0,0.0,0.0,43.0,8.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
Rui Patrício,GK,30-303,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,40.0,0.0,11.0,0.0,0.0,0.0,499.0,405.0,1.0,1.0,100.0,1.0,2.0,50.0,8.0,22.0,36.4,0.0,1.0,0.0,0.0,17.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,18.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,32.0,20.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
