,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Charles,19.0,br BRA,FW,34-339,90.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,33.0,8.0,0.0,0.0,1.0,0.6,0.6,0.2,2.0,0.0,16.0,21.0,76.2,2.0,9.0,0.0,0.0,0.0,256.0,40.0,8.0,10.0,80.0,5.0,6.0,83.3,2.0,3.0,66.7,2.0,3.0,1.0,0.0,20.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,8.0,1.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.0,15.0,7.0,32.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,4.0,0.0,49.0,24.0,49.0,11.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,6.0,6.0,3.0,66.7
1,Kike,17.0,es ESP,FW,29-104,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,14.0,0.0,1.0,2.0,0.1,0.1,0.0,3.0,0.0,12.0,16.0,75.0,1.0,9.0,0.0,0.0,0.0,159.0,38.0,9.0,12.0,75.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.4,3.0,6.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,9.0,12.0,4.0,23.0,0.0,0.0,0.0,28.0,4.0,1.0,0.0,4.0,0.0,45.0,16.0,35.6,10.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,25.0
2,Marc Cardona,7.0,es ESP,FW,23-244,25.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,7.0,9.0,77.8,0.0,9.0,2.0,1.0,1.0,86.0,9.0,6.0,7.0,85.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,14.0,100.0,1.0,1.0,38.0,32.0,1.0,1.0,3.0,0.0,19.0,10.0,52.6,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
3,Joan Jordán,24.0,es ESP,"LM,CM",24-246,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,9.0,4.0,1.0,1.0,0.1,0.1,0.0,3.0,0.0,39.0,52.0,75.0,2.0,32.0,5.0,2.0,2.0,740.0,144.0,16.0,18.0,88.9,15.0,18.0,83.3,8.0,14.0,57.1,1.0,2.0,1.0,1.0,50.0,2.0,0.0,0.0,11.0,5.0,4.0,2.0,0.0,2.0,0.0,28.0,7.0,17.0,8.0,40.0,4.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,2.0,2.0,1.0,2.0,50.0,1.0,3.0,33.3,3.0,4.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,32.0,30.0,2.0,59.0,100.0,2.0,0.0,201.0,82.0,2.0,0.0,0.0,2.0,48.0,37.0,77.1,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,50.0
4,Papakouli Diop,8.0,sn SEN,CM,32-355,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,8.0,4.0,1.0,0.0,0.0,0.0,0.1,3.0,0.0,32.0,39.0,82.1,4.0,25.0,3.0,1.0,1.0,670.0,125.0,8.0,10.0,80.0,20.0,23.0,87.0,4.0,6.0,66.7,1.0,4.0,1.0,0.0,38.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,10.0,5.0,28.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,62.5,2.0,5.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,3.0,10.0,31.0,17.0,0.0,52.0,100.0,1.0,0.0,137.0,60.0,3.0,0.0,0.0,0.0,29.0,27.0,93.1,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,12.0,3.0,6.0,33.3
5,Gonzalo Escalante,5.0,ar ARG,CM,25-347,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,11.0,1.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,10.0,19.0,52.6,0.0,9.0,1.0,0.0,1.0,131.0,23.0,9.0,13.0,69.2,1.0,6.0,16.7,0.0,0.0,0.0,1.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,6.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,0.0,11.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,22.0,2.0,0.0,28.0,0.0,0.0,0.0,38.0,16.0,0.0,0.0,3.0,0.0,14.0,11.0,78.6,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,4.0,33.3
6,Marc Cucurella,20.0,es ESP,LM,20-230,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,1.0,0.0,1.0,0.0,0.0,0.2,2.0,0.0,12.0,16.0,75.0,1.0,11.0,1.0,1.0,1.0,189.0,19.0,7.0,8.0,87.5,4.0,6.0,66.7,1.0,1.0,100.0,1.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,11.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,71.4,0.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,13.0,4.0,18.0,100.0,1.0,0.0,36.0,16.0,0.0,0.0,1.0,1.0,14.0,12.0,85.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
7,Fabián Orellana,14.0,cl CHI,RM,33-041,90.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,63.0,10.0,1.0,0.0,2.0,0.4,0.4,0.6,6.0,1.0,28.0,42.0,66.7,4.0,48.0,6.0,4.0,6.0,487.0,120.0,13.0,22.0,59.1,12.0,16.0,75.0,3.0,4.0,75.0,4.0,1.0,2.0,0.0,42.0,0.0,0.0,0.0,14.0,1.0,4.0,0.0,0.0,0.0,0.0,26.0,7.0,9.0,4.0,35.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,40.0,2.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,23.0,37.0,9.0,63.0,66.7,4.0,1.0,187.0,103.0,1.0,4.0,7.0,4.0,67.0,47.0,70.1,7.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,25.0
8,José Ángel,15.0,es ESP,LB,29-185,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,10.0,1.0,0.0,3.0,0.0,0.0,0.2,3.0,0.0,37.0,60.0,61.7,5.0,31.0,8.0,0.0,0.0,994.0,599.0,7.0,7.0,100.0,16.0,24.0,66.7,14.0,26.0,53.8,2.0,5.0,3.0,0.0,45.0,15.0,2.0,0.0,16.0,5.0,6.0,3.0,0.0,3.0,0.0,16.0,8.0,36.0,42.0,6.0,2.0,10.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,8.0,2.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,4.0,29.0,25.0,26.0,0.0,59.0,0.0,0.0,0.0,228.0,113.0,3.0,0.0,1.0,1.0,36.0,35.0,97.2,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0
9,Anaitz Arbilla,23.0,es ESP,CB,31-298,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0,80.0,0.0,23.0,1.0,0.0,0.0,828.0,267.0,7.0,7.0,100.0,10.0,12.0,83.3,11.0,16.0,68.8,0.0,3.0,0.0,0.0,30.0,5.0,5.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,13.0,11.0,22.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,37.5,7.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,7.0,19.0,26.0,0.0,0.0,39.0,0.0,0.0,0.0,191.0,56.0,0.0,0.0,0.0,1.0,23.0,23.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,20.0
