,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Alexandre Lacazette,9.0,fr FRA,FW,27-208,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,1.0,1.0,1.0,0.0,0.0,0.3,4.0,1.0,21.0,26.0,80.8,5.0,32.0,3.0,2.0,2.0,339.0,110.0,7.0,9.0,77.8,9.0,11.0,81.8,2.0,3.0,66.7,2.0,0.0,4.0,1.0,26.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,1.0,4.0,4.0,22.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,3.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,18.0,19.0,7.0,36.0,100.0,2.0,0.0,130.0,61.0,2.0,0.0,3.0,3.0,31.0,27.0,87.1,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0
1,Alex Iwobi,17.0,ng NGA,LW,22-233,13.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.3,0.3,0.1,1.0,0.0,2.0,3.0,66.7,1.0,4.0,1.0,0.0,1.0,47.0,29.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,60.0,51.0,1.0,0.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Pierre-Emerick Aubameyang,14.0,ga GAB,FW,29-187,90.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,32.0,18.0,1.0,1.0,1.0,0.8,0.8,0.1,2.0,0.0,14.0,21.0,66.7,2.0,23.0,4.0,0.0,2.0,186.0,37.0,7.0,7.0,100.0,4.0,9.0,44.4,1.0,2.0,50.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,2.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,16.0,20.0,5.0,31.0,0.0,1.0,0.0,178.0,112.0,3.0,1.0,1.0,1.0,31.0,25.0,80.6,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,16.7
3,Mesut Özil,10.0,de GER,"AM,RW",30-068,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,15.0,0.0,1.0,0.0,0.1,0.1,0.0,3.0,2.0,48.0,54.0,88.9,5.0,51.0,9.0,0.0,0.0,758.0,155.0,26.0,28.0,92.9,15.0,16.0,93.8,4.0,6.0,66.7,0.0,1.0,2.0,0.0,49.0,5.0,3.0,1.0,7.0,2.0,2.0,1.0,0.0,0.0,0.0,45.0,3.0,6.0,44.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,40.0,1.0,10.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,33.0,28.0,2.0,57.0,0.0,0.0,0.0,284.0,209.0,2.0,1.0,2.0,3.0,54.0,48.0,88.9,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
4,Mattéo Guendouzi,29.0,fr FRA,"CM,DM",19-252,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,11.0,2.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,50.0,59.0,84.7,3.0,54.0,8.0,0.0,0.0,891.0,207.0,20.0,20.0,100.0,24.0,28.0,85.7,5.0,10.0,50.0,1.0,7.0,2.0,0.0,58.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,4.0,6.0,4.0,53.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,4.0,36.4,4.0,7.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,13.0,43.0,18.0,0.0,67.0,0.0,0.0,0.0,326.0,147.0,2.0,0.0,0.0,1.0,56.0,54.0,96.4,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,20.0
5,Mohamed Elneny,4.0,eg EGY,CM,26-164,58.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,11.0,3.0,0.0,1.0,0.3,0.3,0.0,2.0,0.0,29.0,31.0,93.5,2.0,35.0,4.0,1.0,2.0,584.0,87.0,11.0,12.0,91.7,13.0,13.0,100.0,5.0,5.0,100.0,0.0,3.0,0.0,0.0,28.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,1.0,1.0,29.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,36.4,4.0,4.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,12.0,26.0,9.0,3.0,40.0,50.0,1.0,0.0,108.0,59.0,0.0,0.0,1.0,4.0,33.0,32.0,97.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
6,Lucas Torreira,11.0,uy URU,DM,22-314,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,83.3,0.0,15.0,1.0,0.0,0.0,329.0,14.0,4.0,4.0,100.0,9.0,10.0,90.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,1.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,4.0,50.0,1.0,7.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,19.0,3.0,1.0,24.0,0.0,0.0,0.0,44.0,8.0,0.0,0.0,0.0,0.0,17.0,16.0,94.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
7,Granit Xhaka,34.0,ch SUI,"DM,CB",26-086,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,85.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,81.0,90.1,2.0,62.0,4.0,0.0,0.0,1563.0,376.0,31.0,34.0,91.2,27.0,27.0,100.0,14.0,19.0,73.7,0.0,6.0,0.0,0.0,77.0,4.0,4.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,63.0,7.0,11.0,65.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,29.0,58.0,5.0,0.0,81.0,0.0,0.0,0.0,291.0,159.0,1.0,0.0,0.0,0.0,67.0,66.0,98.5,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,100.0
8,Sead Kolašinac,31.0,ba BIH,"LB,WB",25-185,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,12.0,1.0,0.0,0.0,0.0,0.0,0.2,3.0,2.0,38.0,45.0,84.4,2.0,38.0,5.0,0.0,0.0,577.0,196.0,22.0,24.0,91.7,12.0,14.0,85.7,3.0,5.0,60.0,2.0,2.0,1.0,0.0,41.0,4.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,5.0,5.0,37.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,16.7,3.0,5.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,13.0,27.0,15.0,4.0,48.0,0.0,0.0,0.0,157.0,117.0,1.0,1.0,2.0,1.0,40.0,35.0,87.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
9,Nacho Monreal,18.0,es ESP,CB,32-299,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,46.0,91.3,2.0,38.0,0.0,0.0,0.0,725.0,224.0,17.0,18.0,94.4,17.0,17.0,100.0,5.0,7.0,71.4,0.0,1.0,0.0,0.0,46.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,3.0,41.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,24.0,29.0,0.0,0.0,49.0,0.0,0.0,0.0,140.0,62.0,0.0,0.0,0.0,0.0,42.0,42.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7
