,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Pierre-Emerick Aubameyang,14.0,ga GAB,FW,29-307,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,12.0,0.0,0.0,1.0,0.1,0.1,0.2,1.0,0.0,19.0,26.0,73.1,5.0,29.0,5.0,1.0,2.0,274.0,92.0,12.0,16.0,75.0,5.0,8.0,62.5,1.0,1.0,100.0,1.0,2.0,3.0,0.0,25.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,4.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,4.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,20.0,3.0,33.0,50.0,1.0,0.0,131.0,76.0,0.0,0.0,1.0,0.0,44.0,28.0,63.6,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1,Alexandre Lacazette,9.0,fr FRA,FW,27-328,90.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,12.0,1.0,0.0,1.0,0.3,0.3,0.1,2.0,1.0,21.0,28.0,75.0,3.0,43.0,1.0,3.0,4.0,297.0,67.0,14.0,17.0,82.4,6.0,8.0,75.0,1.0,1.0,100.0,1.0,2.0,2.0,0.0,26.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,0.0,3.0,25.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,3.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,12.0,33.0,11.0,42.0,75.0,3.0,0.0,117.0,72.0,1.0,0.0,7.0,3.0,56.0,35.0,62.5,21.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
2,Mesut Özil,10.0,de GER,AM,30-188,90.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,98.0,15.0,0.0,0.0,1.0,0.2,0.2,0.1,4.0,0.0,76.0,85.0,89.4,12.0,76.0,14.0,2.0,4.0,1202.0,390.0,38.0,40.0,95.0,29.0,29.0,100.0,7.0,13.0,53.8,1.0,11.0,3.0,0.0,73.0,12.0,1.0,0.0,18.0,3.0,1.0,7.0,0.0,3.0,2.0,67.0,10.0,8.0,68.0,14.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,3.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,37.0,66.0,3.0,86.0,50.0,2.0,0.0,499.0,215.0,4.0,0.0,2.0,6.0,99.0,81.0,81.8,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
3,Mohamed Elneny,4.0,eg EGY,CM,26-284,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,14.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,43.0,48.0,89.6,5.0,44.0,5.0,0.0,0.0,867.0,187.0,16.0,18.0,88.9,21.0,22.0,95.5,6.0,7.0,85.7,0.0,3.0,1.0,0.0,46.0,2.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,5.0,3.0,43.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,50.0,3.0,8.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,30.0,17.0,1.0,50.0,0.0,0.0,0.0,183.0,80.0,3.0,0.0,1.0,0.0,42.0,38.0,90.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
4,Lucas Torreira,11.0,uy URU,CM,23-069,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,85.7,2.0,19.0,2.0,0.0,0.0,300.0,68.0,8.0,8.0,100.0,9.0,10.0,90.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,18.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,3.0,1.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,11.0,11.0,0.0,24.0,0.0,0.0,0.0,75.0,40.0,0.0,0.0,0.0,4.0,16.0,16.0,100.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
5,Mattéo Guendouzi,29.0,fr FRA,CM,20-007,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,99.0,16.0,2.0,1.0,3.0,0.0,0.0,0.3,3.0,0.0,79.0,88.0,89.8,9.0,80.0,6.0,1.0,2.0,1705.0,431.0,21.0,23.0,91.3,42.0,46.0,91.3,16.0,18.0,88.9,2.0,12.0,4.0,0.0,85.0,3.0,2.0,0.0,14.0,1.0,2.0,1.0,0.0,0.0,0.0,71.0,9.0,8.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,25.0,3.0,6.0,37.5,1.0,9.0,6.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,60.0,44.0,2.0,97.0,50.0,2.0,0.0,414.0,232.0,3.0,0.0,0.0,2.0,82.0,78.0,95.1,4.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,100.0
6,Sead Kolašinac,31.0,ba BIH,"CB,WB",25-305,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,97.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,89.0,82.0,4.0,76.0,12.0,1.0,2.0,1115.0,216.0,40.0,45.0,88.9,31.0,36.0,86.1,2.0,4.0,50.0,1.0,3.0,1.0,0.0,81.0,8.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,21.0,9.0,68.0,9.0,2.0,8.0,2.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,35.7,3.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,39.0,60.0,5.0,89.0,50.0,1.0,1.0,338.0,204.0,4.0,2.0,3.0,1.0,83.0,75.0,90.4,12.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0
7,Carl Jenkinson,25.0,eng ENG,WB,27-072,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,77.3,1.0,18.0,2.0,0.0,0.0,267.0,65.0,8.0,9.0,88.9,9.0,10.0,90.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,18.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,4.0,2.0,16.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,40.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,7.0,8.0,13.0,0.0,23.0,0.0,0.0,0.0,59.0,23.0,0.0,0.0,1.0,0.0,22.0,16.0,72.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
8,Ainsley Maitland-Niles,15.0,eng ENG,WB,21-235,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,10.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,42.0,50.0,84.0,5.0,41.0,7.0,2.0,2.0,806.0,311.0,12.0,15.0,80.0,25.0,27.0,92.6,4.0,6.0,66.7,0.0,6.0,0.0,0.0,40.0,10.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,29.0,16.0,5.0,4.0,36.0,0.0,10.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,60.0,3.0,4.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,10.0,21.0,33.0,3.0,48.0,100.0,2.0,0.0,227.0,120.0,3.0,0.0,2.0,1.0,36.0,34.0,94.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
9,Konstantinos Mavropanos,27.0,gr GRE,CB,21-131,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,60.0,7.0,3.0,1.0,0.0,0.0,0.0,0.2,2.0,0.0,52.0,55.0,94.5,5.0,47.0,6.0,1.0,1.0,1058.0,254.0,14.0,15.0,93.3,29.0,31.0,93.5,7.0,7.0,100.0,1.0,10.0,0.0,0.0,55.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,43.0,7.0,5.0,13.0,37.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,1.0,14.3,3.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,10.0,50.0,6.0,1.0,60.0,100.0,1.0,0.0,246.0,171.0,3.0,0.0,0.0,0.0,52.0,51.0,98.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,60.0
