,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Danny Welbeck,23.0,eng ENG,FW,27-347,29.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0,3.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,4.0,5.0,80.0,0.0,6.0,0.0,0.0,0.0,57.0,11.0,1.0,2.0,50.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,5.0,10.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,19.0,9.0,47.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0
1,Pierre-Emerick Aubameyang,14.0,ga GAB,FW,29-143,61.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,28.0,14.0,0.0,1.0,1.0,0.6,0.6,0.1,3.0,0.0,13.0,17.0,76.5,0.0,22.0,1.0,0.0,0.0,148.0,24.0,7.0,7.0,100.0,3.0,3.0,100.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,16.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.0,64.3,1.0,7.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,20.0,6.0,27.0,0.0,0.0,0.0,33.0,13.0,0.0,1.0,4.0,1.0,29.0,20.0,69.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2,Alex Iwobi,17.0,ng NGA,LW,22-189,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,11.0,3.0,0.0,0.0,0.0,0.0,0.2,6.0,0.0,43.0,56.0,76.8,8.0,65.0,13.0,3.0,6.0,762.0,303.0,21.0,24.0,87.5,18.0,23.0,78.3,3.0,6.0,50.0,3.0,6.0,2.0,0.0,56.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,50.0,1.0,5.0,7.0,48.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,27.3,0.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,32.0,37.0,6.0,65.0,50.0,4.0,0.0,346.0,210.0,3.0,3.0,3.0,1.0,66.0,60.0,90.9,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Henrikh Mkhitaryan,7.0,am ARM,RW,29-291,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.0,13.0,1.0,0.0,4.0,0.1,0.1,0.5,4.0,0.0,44.0,54.0,81.5,9.0,52.0,5.0,2.0,5.0,913.0,264.0,17.0,19.0,89.5,18.0,20.0,90.0,9.0,13.0,69.2,2.0,2.0,5.0,1.0,46.0,8.0,2.0,0.0,8.0,4.0,6.0,6.0,0.0,0.0,0.0,41.0,0.0,13.0,15.0,36.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,30.8,2.0,5.0,6.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,29.0,45.0,4.0,62.0,40.0,2.0,1.0,195.0,101.0,4.0,0.0,1.0,2.0,49.0,46.0,93.9,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
4,Emile Smith Rowe,55.0,eng ENG,AM,18-103,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,21.0,0.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,22.0,25.0,88.0,3.0,33.0,6.0,3.0,3.0,315.0,93.0,13.0,15.0,86.7,7.0,7.0,100.0,1.0,1.0,100.0,0.0,2.0,3.0,0.0,25.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,4.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,33.3,0.0,7.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,16.0,22.0,4.0,35.0,100.0,3.0,0.0,155.0,85.0,2.0,1.0,4.0,2.0,43.0,30.0,69.8,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
5,Mattéo Guendouzi,29.0,fr FRA,DM,19-208,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,82.0,16.0,1.0,0.0,1.0,0.0,0.0,0.2,1.0,0.0,63.0,74.0,85.1,7.0,70.0,10.0,0.0,0.0,1394.0,311.0,21.0,21.0,100.0,27.0,31.0,87.1,15.0,19.0,78.9,1.0,9.0,2.0,1.0,72.0,2.0,2.0,0.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,62.0,0.0,12.0,6.0,66.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,5.0,31.3,3.0,9.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,10.0,56.0,22.0,2.0,81.0,0.0,0.0,0.0,450.0,214.0,2.0,1.0,1.0,2.0,60.0,60.0,100.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0
6,Aaron Ramsey,8.0,wls WAL,DM,27-317,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,12.0,2.0,3.0,0.0,0.0,0.0,0.1,4.0,0.0,99.0,117.0,84.6,12.0,106.0,10.0,2.0,2.0,1965.0,519.0,35.0,40.0,87.5,49.0,53.0,92.5,14.0,20.0,70.0,1.0,14.0,1.0,0.0,111.0,6.0,4.0,0.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,87.0,4.0,26.0,17.0,95.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,50.0,2.0,7.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,11.0,84.0,34.0,4.0,118.0,100.0,2.0,0.0,473.0,203.0,4.0,0.0,1.0,1.0,105.0,101.0,96.2,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
7,Carl Jenkinson,25.0,eng ENG,LB,26-273,59.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,62.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,48.0,53.0,90.6,4.0,38.0,3.0,0.0,0.0,789.0,228.0,29.0,29.0,100.0,13.0,15.0,86.7,5.0,7.0,71.4,1.0,3.0,0.0,0.0,45.0,8.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,37.0,2.0,14.0,11.0,34.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,3.0,50.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,15.0,36.0,15.0,3.0,54.0,0.0,0.0,0.0,130.0,79.0,1.0,1.0,1.0,1.0,38.0,35.0,92.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
8,Sead Kolašinac,31.0,ba BIH,LB,25-141,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,19.0,26.0,73.1,3.0,22.0,2.0,0.0,0.0,293.0,72.0,9.0,11.0,81.8,10.0,14.0,71.4,0.0,0.0,0.0,2.0,0.0,2.0,1.0,23.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0,0.0,7.0,19.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,20.0,3.0,25.0,0.0,0.0,0.0,76.0,46.0,0.0,1.0,1.0,0.0,23.0,21.0,91.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
9,Rob Holding,16.0,eng ENG,CB,23-049,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,85.0,94.1,3.0,70.0,5.0,1.0,1.0,1647.0,518.0,26.0,29.0,89.7,42.0,43.0,97.7,12.0,13.0,92.3,0.0,4.0,0.0,0.0,81.0,4.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,9.0,19.0,60.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,2.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,32.0,62.0,1.0,1.0,87.0,100.0,1.0,0.0,307.0,164.0,0.0,0.0,0.0,0.0,70.0,70.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
