,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Raúl Jiménez,9.0,mx MEX,FW,27-190,84.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,16.0,2.0,0.0,4.0,0.1,0.1,0.8,2.0,1.0,16.0,23.0,69.6,3.0,18.0,3.0,0.0,1.0,258.0,82.0,12.0,13.0,92.3,1.0,3.0,33.3,3.0,5.0,60.0,2.0,1.0,1.0,0.0,22.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,5.0,5.0,3.0,15.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,3.0,8.0,5.0,0.0,0.0,4.0,2.0,3.0,0.0,3.0,10.0,21.0,11.0,5.0,40.0,0.0,0.0,0.0,136.0,91.0,1.0,1.0,4.0,1.0,45.0,25.0,55.6,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0
1,Morgan Gibbs-White,17.0,eng ENG,FW,18-288,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,4.0,5.0,80.0,0.0,2.0,0.0,0.0,0.0,90.0,31.0,2.0,3.0,66.7,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Ivan Cavaleiro,7.0,pt POR,LW,25-024,60.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,18.0,1.0,1.0,2.0,0.6,0.6,0.0,1.0,1.0,11.0,15.0,73.3,3.0,17.0,1.0,2.0,4.0,176.0,60.0,6.0,7.0,85.7,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,11.1,6.0,10.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,13.0,6.0,1.0,25.0,50.0,2.0,0.0,81.0,39.0,1.0,0.0,1.0,0.0,21.0,16.0,76.2,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
3,Diogo Jota,18.0,pt POR,LW,21-342,30.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,2.0,3.0,66.7,0.0,5.0,1.0,0.0,2.0,27.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,10.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,1.0,0.0,12.0,7.0,58.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
4,Hélder Costa,10.0,ao ANG,RW,24-303,74.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,43.0,30.0,0.0,1.0,1.0,0.2,0.2,0.0,1.0,0.0,20.0,28.0,71.4,3.0,39.0,10.0,3.0,5.0,298.0,85.0,13.0,17.0,76.5,6.0,10.0,60.0,1.0,1.0,100.0,0.0,2.0,1.0,0.0,28.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,5.0,2.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.3,5.0,21.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,21.0,22.0,2.0,43.0,60.0,4.0,0.0,304.0,221.0,4.0,2.0,3.0,2.0,49.0,36.0,73.5,6.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
5,Adama Traoré,37.0,es ESP,RW,22-290,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.2,0.2,0.1,3.0,0.0,4.0,5.0,80.0,1.0,6.0,1.0,1.0,1.0,66.0,19.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,20.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,8.0,100.0,1.0,0.0,48.0,43.0,0.0,1.0,1.0,0.0,8.0,5.0,62.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Rúben Neves,8.0,pt POR,DM,21-243,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,9.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,34.0,42.0,81.0,3.0,33.0,3.0,0.0,1.0,785.0,237.0,12.0,15.0,80.0,11.0,11.0,100.0,10.0,15.0,66.7,0.0,3.0,0.0,0.0,40.0,2.0,2.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,29.0,7.0,6.0,4.0,36.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,2.0,22.2,5.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,27.0,25.0,5.0,0.0,51.0,0.0,1.0,0.0,163.0,95.0,0.0,0.0,1.0,1.0,34.0,32.0,94.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0
7,João Moutinho,28.0,pt POR,DM,32-064,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,2.0,1.0,2.0,0.0,0.0,0.1,3.0,0.0,33.0,42.0,78.6,3.0,23.0,1.0,0.0,0.0,612.0,151.0,18.0,19.0,94.7,9.0,11.0,81.8,6.0,11.0,54.5,2.0,2.0,1.0,0.0,38.0,4.0,3.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,22.0,10.0,10.0,0.0,37.0,4.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,14.3,6.0,5.0,25.0,9.0,9.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,13.0,27.0,10.0,2.0,46.0,0.0,0.0,0.0,48.0,19.0,0.0,0.0,0.0,0.0,31.0,27.0,87.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
8,Jonny Castro,19.0,es ESP,WB,24-253,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,18.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,23.0,87.0,1.0,14.0,2.0,0.0,0.0,348.0,128.0,11.0,12.0,91.7,5.0,6.0,83.3,4.0,5.0,80.0,1.0,1.0,0.0,0.0,17.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,8.0,5.0,4.0,11.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0,27.8,9.0,8.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,19.0,15.0,4.0,2.0,31.0,0.0,0.0,0.0,122.0,85.0,0.0,1.0,0.0,1.0,13.0,9.0,69.2,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
9,Matt Doherty,2.0,ie IRL,WB,26-299,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,9.0,1.0,5.0,4.0,0.0,0.0,0.2,4.0,0.0,28.0,51.0,54.9,3.0,23.0,4.0,0.0,1.0,373.0,226.0,19.0,25.0,76.0,8.0,15.0,53.3,0.0,2.0,0.0,3.0,3.0,0.0,0.0,36.0,15.0,1.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,20.0,12.0,4.0,23.0,3.0,14.0,0.0,0.0,4.0,1.0,9.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,44.4,6.0,3.0,0.0,0.0,0.0,4.0,6.0,6.0,0.0,4.0,30.0,24.0,18.0,2.0,53.0,0.0,0.0,0.0,115.0,68.0,2.0,0.0,1.0,0.0,40.0,31.0,77.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,80.0
