,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Junior Kabananga,30.0,cd COD,FW,29-183,70.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,13.0,46.2,1.0,16.0,3.0,1.0,1.0,104.0,40.0,3.0,8.0,37.5,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.2,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,15.0,5.0,21.0,100.0,1.0,0.0,47.0,25.0,0.0,1.0,4.0,2.0,35.0,17.0,48.6,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,25.0
1,Rangelo Janga,32.0,cw CUW,FW,26-171,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,2.0,0.0,0.0,0.3,1.0,1.0,5.0,6.0,83.3,1.0,5.0,0.0,0.0,0.0,89.0,32.0,1.0,1.0,100.0,4.0,4.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,11.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,2.0,0.0,12.0,6.0,50.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Pedro Henrique,11.0,br BRA,LW,28-110,90.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,37.0,18.0,0.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,12.0,25.0,48.0,2.0,23.0,3.0,0.0,1.0,176.0,57.0,6.0,12.0,50.0,6.0,10.0,60.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,4.0,13.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,22.2,4.0,10.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,23.0,13.0,3.0,37.0,0.0,0.0,0.0,139.0,80.0,1.0,0.0,3.0,1.0,44.0,33.0,75.0,5.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,4.0,55.6
3,Marin Tomasov,14.0,hr CRO,RW,31-034,90.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,21.0,2.0,5.0,0.0,0.3,0.3,0.2,4.0,1.0,11.0,22.0,50.0,1.0,29.0,3.0,5.0,8.0,194.0,76.0,6.0,10.0,60.0,3.0,7.0,42.9,2.0,4.0,50.0,3.0,1.0,1.0,1.0,20.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,6.0,5.0,16.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,6.0,33.3,4.0,6.0,28.6,6.0,8.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,14.0,18.0,3.0,32.0,62.5,5.0,0.0,248.0,113.0,2.0,1.0,2.0,1.0,34.0,16.0,47.1,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,3.0,25.0
4,Richard Almeida,20.0,az AZE,AM,29-198,62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,11.0,2.0,0.0,2.0,0.0,0.0,0.1,6.0,0.0,29.0,34.0,85.3,2.0,31.0,0.0,1.0,1.0,680.0,229.0,10.0,12.0,83.3,10.0,10.0,100.0,9.0,12.0,75.0,5.0,4.0,0.0,0.0,28.0,6.0,3.0,0.0,6.0,4.0,3.0,3.0,0.0,0.0,0.0,21.0,6.0,7.0,32.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,18.2,1.0,8.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,24.0,13.0,0.0,37.0,100.0,1.0,0.0,151.0,43.0,0.0,0.0,2.0,1.0,31.0,24.0,77.4,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
5,Serikzhan Muzhikov,7.0,kz KAZ,AM,29-109,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,0.0,13.0,0.0,1.0,1.0,150.0,57.0,4.0,4.0,100.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,6.3,4.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,4.0,1.0,15.0,100.0,1.0,0.0,29.0,5.0,0.0,0.0,1.0,2.0,10.0,8.0,80.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
6,Ivan Maewski,18.0,by BLR,DM,30-152,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,28.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,39.0,79.5,1.0,31.0,1.0,0.0,1.0,545.0,38.0,11.0,12.0,91.7,18.0,23.0,78.3,2.0,4.0,50.0,0.0,2.0,0.0,0.0,38.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,4.0,7.0,28.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,17.9,9.0,18.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,13.0,31.0,9.0,0.0,48.0,0.0,0.0,0.0,98.0,15.0,2.0,0.0,0.0,0.0,34.0,27.0,79.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
7,Baktiyor Zainutdinov,19.0,kz KAZ,DM,20-185,74.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,48.0,20.0,1.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,38.0,46.0,82.6,2.0,33.0,3.0,0.0,0.0,770.0,96.0,15.0,17.0,88.2,16.0,19.0,84.2,7.0,8.0,87.5,0.0,3.0,0.0,0.0,46.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,6.0,34.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,9.0,45.0,14.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,10.0,33.0,7.0,2.0,48.0,0.0,0.0,0.0,171.0,57.0,1.0,0.0,0.0,0.0,29.0,28.0,96.6,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,50.0
8,Yuriy Logvinenko,27.0,kz KAZ,DM,30-074,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Dmitriy Shomko,77.0,kz KAZ,LB,28-199,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,13.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,51.0,71.0,71.8,6.0,50.0,2.0,1.0,2.0,1146.0,690.0,18.0,19.0,94.7,24.0,29.0,82.8,9.0,22.0,40.9,1.0,4.0,1.0,0.0,56.0,15.0,0.0,0.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,12.0,29.0,49.0,2.0,3.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,6.0,46.2,6.0,7.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,31.0,42.0,11.0,0.0,64.0,50.0,1.0,0.0,161.0,64.0,1.0,0.0,0.0,0.0,44.0,43.0,97.7,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,100.0
