,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Duván Zapata,91.0,co COL,FW,27-321,77.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,13.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,13.0,16.0,81.3,0.0,21.0,5.0,1.0,3.0,161.0,9.0,8.0,8.0,100.0,2.0,4.0,50.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,15.4,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,16.0,5.0,23.0,33.3,1.0,0.0,81.0,48.0,2.0,0.0,2.0,3.0,37.0,18.0,48.6,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
1,Musa Barrow,99.0,gm GAM,FW,20-094,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,1.0,4.0,0.0,0.0,0.0,64.0,17.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,11.0,5.0,45.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
2,Josip Iličić,72.0,si SVN,FW,31-018,90.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,70.0,12.0,0.0,0.0,0.0,0.1,0.1,0.3,7.0,2.0,44.0,55.0,80.0,7.0,68.0,18.0,5.0,9.0,724.0,213.0,28.0,31.0,90.3,13.0,16.0,81.3,3.0,4.0,75.0,3.0,6.0,3.0,0.0,53.0,2.0,1.0,0.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,45.0,7.0,3.0,44.0,10.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,16.7,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,42.0,10.0,68.0,55.6,5.0,0.0,397.0,246.0,5.0,3.0,0.0,4.0,77.0,62.0,80.5,15.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
3,Papu Gómez,10.0,ar ARG,AM,31-001,58.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,49.0,6.0,0.0,0.0,2.0,0.0,0.0,0.3,3.0,0.0,26.0,36.0,72.2,2.0,44.0,9.0,3.0,4.0,486.0,120.0,10.0,15.0,66.7,13.0,15.0,86.7,2.0,5.0,40.0,3.0,2.0,1.0,0.0,31.0,5.0,1.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,24.0,6.0,6.0,7.0,28.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,27.0,24.0,1.0,44.0,75.0,3.0,0.0,217.0,109.0,3.0,0.0,2.0,3.0,36.0,34.0,94.4,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
4,Dejan Kulusevski,44.0,se SWE,AM,18-297,32.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,11.0,2.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,14.0,19.0,73.7,1.0,22.0,4.0,1.0,1.0,216.0,34.0,7.0,10.0,70.0,6.0,7.0,85.7,1.0,1.0,100.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,3.0,27.3,1.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,13.0,2.0,25.0,100.0,1.0,0.0,93.0,45.0,0.0,1.0,0.0,2.0,28.0,23.0,82.1,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.3
5,Remo Freuler,11.0,ch SUI,CM,26-307,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,84.0,32.0,6.0,0.0,5.0,0.1,0.1,0.0,1.0,0.0,61.0,69.0,88.4,2.0,69.0,11.0,3.0,3.0,1059.0,167.0,25.0,27.0,92.6,33.0,35.0,94.3,3.0,5.0,60.0,1.0,5.0,0.0,0.0,69.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,5.0,6.0,13.0,54.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,1.0,1.0,2.0,6.0,33.3,4.0,8.0,25.0,10.0,16.0,6.0,0.0,0.0,5.0,6.0,0.0,0.0,1.0,14.0,56.0,20.0,3.0,84.0,100.0,3.0,0.0,432.0,204.0,3.0,0.0,2.0,0.0,72.0,68.0,94.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
6,Marten de Roon,15.0,nl NED,CM,27-324,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,27.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,85.0,89.0,95.5,14.0,77.0,7.0,1.0,1.0,1478.0,487.0,39.0,39.0,100.0,42.0,43.0,97.7,4.0,6.0,66.7,1.0,13.0,2.0,0.0,86.0,3.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,3.0,6.0,15.0,69.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,5.0,60.0,2.0,4.0,14.8,4.0,15.0,8.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,12.0,61.0,28.0,0.0,92.0,100.0,1.0,0.0,320.0,161.0,4.0,0.0,0.0,0.0,73.0,72.0,98.6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,33.3
7,Timothy Castagne,21.0,be BEL,WB,23-073,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,75.0,20.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,53.0,61.0,86.9,5.0,52.0,11.0,0.0,4.0,759.0,255.0,29.0,30.0,96.7,18.0,20.0,90.0,3.0,5.0,60.0,1.0,0.0,0.0,0.0,48.0,13.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,43.0,4.0,14.0,8.0,40.0,0.0,13.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,6.0,30.0,9.0,5.0,6.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,11.0,32.0,40.0,3.0,62.0,0.0,0.0,0.0,343.0,251.0,4.0,2.0,0.0,0.0,58.0,48.0,82.8,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
8,Hans Hateboer,33.0,nl NED,WB,25-038,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,47.0,78.7,1.0,46.0,9.0,2.0,2.0,486.0,118.0,28.0,29.0,96.6,7.0,15.0,46.7,2.0,2.0,100.0,1.0,0.0,0.0,0.0,45.0,2.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,35.0,7.0,5.0,3.0,40.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.1,1.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,29.0,23.0,2.0,51.0,100.0,2.0,0.0,217.0,147.0,3.0,1.0,1.0,3.0,51.0,44.0,86.3,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
9,Robin Gosens,8.0,de GER,WB,24-226,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,50.0,1.0,20.0,3.0,3.0,4.0,167.0,91.0,4.0,6.0,66.7,4.0,8.0,50.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,2.0,5.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,13.0,6.0,0.0,23.0,75.0,3.0,0.0,99.0,77.0,1.0,0.0,0.0,0.0,16.0,14.0,87.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
