,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Niclas Füllkrug,24.0,de GER,FW,25-253,90.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,45.0,6.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,18.0,25.0,72.0,0.0,25.0,5.0,0.0,1.0,293.0,48.0,10.0,13.0,76.9,7.0,9.0,77.8,1.0,1.0,100.0,0.0,2.0,0.0,0.0,22.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,5.0,1.0,13.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,25.0,20.0,4.0,42.0,0.0,0.0,0.0,101.0,89.0,1.0,1.0,8.0,5.0,51.0,36.0,70.6,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,69.2
1,Bobby Wood,17.0,us USA,FW,25-339,60.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,1.0,0.2,0.2,0.0,2.0,0.0,6.0,10.0,60.0,1.0,16.0,2.0,0.0,0.0,60.0,13.0,5.0,6.0,83.3,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,13.0,5.0,20.0,0.0,0.0,0.0,38.0,13.0,0.0,0.0,0.0,6.0,28.0,15.0,53.6,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
2,Kevin Wimmer,28.0,at AUT,"CB,FW",25-339,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,6.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
3,Florent Muslija,35.0,xk KVX,AM,20-106,67.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,28.0,8.0,0.0,1.0,0.0,0.1,0.1,0.0,4.0,0.0,11.0,16.0,68.8,1.0,23.0,4.0,1.0,1.0,173.0,37.0,7.0,9.0,77.8,3.0,5.0,60.0,1.0,2.0,50.0,2.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,5.0,3.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,12.0,15.0,2.0,27.0,100.0,1.0,0.0,110.0,65.0,1.0,0.0,2.0,4.0,25.0,19.0,76.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
4,Matthias Ostrzolek,22.0,de GER,"LB,LM",28-137,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,0.0,5.0,2.0,1.0,1.0,86.0,67.0,2.0,2.0,100.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,8.0,100.0,1.0,0.0,31.0,26.0,1.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,Miiko Albornoz,3.0,cl CHI,"LM,LB",27-324,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,37.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,20.0,25.0,80.0,3.0,17.0,4.0,1.0,1.0,299.0,183.0,12.0,13.0,92.3,7.0,8.0,87.5,1.0,3.0,33.3,1.0,1.0,1.0,1.0,19.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,8.0,5.0,10.0,6.0,3.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,25.0,4.0,4.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,12.0,17.0,8.0,1.0,31.0,100.0,1.0,0.0,58.0,34.0,0.0,1.0,4.0,0.0,23.0,18.0,78.3,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
6,Genki Haraguchi,10.0,jp JPN,RM,27-164,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,17.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,19.0,25.0,76.0,6.0,18.0,2.0,1.0,2.0,388.0,203.0,7.0,8.0,87.5,9.0,12.0,75.0,3.0,5.0,60.0,1.0,3.0,0.0,0.0,20.0,5.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,6.0,8.0,2.0,16.0,2.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,25.0,3.0,6.0,35.3,5.0,10.0,2.0,0.0,0.0,5.0,4.0,3.0,0.0,3.0,9.0,21.0,11.0,0.0,34.0,50.0,1.0,0.0,116.0,76.0,0.0,0.0,0.0,1.0,21.0,17.0,81.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0
7,Walace,8.0,br BRA,DM,23-199,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,18.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,21.0,33.0,63.6,5.0,32.0,6.0,2.0,2.0,406.0,153.0,7.0,10.0,70.0,12.0,18.0,66.7,2.0,4.0,50.0,0.0,3.0,1.0,0.0,31.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,6.0,5.0,27.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,3.0,2.0,0.0,3.0,5.0,60.0,2.0,4.0,22.2,9.0,7.0,2.0,1.0,0.0,2.0,7.0,1.0,0.0,5.0,19.0,28.0,7.0,1.0,48.0,100.0,2.0,0.0,286.0,198.0,2.0,0.0,2.0,1.0,29.0,23.0,79.3,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0
8,Pirmin Schwegler,27.0,ch SUI,DM,31-225,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,37.0,12.0,2.0,2.0,2.0,0.0,0.0,0.1,2.0,0.0,18.0,28.0,64.3,1.0,14.0,2.0,2.0,2.0,304.0,157.0,9.0,13.0,69.2,6.0,8.0,75.0,3.0,7.0,42.9,2.0,1.0,0.0,0.0,20.0,8.0,3.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,10.0,6.0,12.0,2.0,22.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,66.7,1.0,2.0,16.7,4.0,7.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,7.0,18.0,13.0,0.0,30.0,100.0,2.0,0.0,40.0,22.0,1.0,0.0,0.0,0.0,11.0,11.0,100.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0
9,Marvin Bakalorz,6.0,de GER,DM,29-037,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,40.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Felipe,5.0,br BRA,"CB,DM",31-158,56.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,39.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,18.0,28.0,64.3,1.0,16.0,1.0,0.0,0.0,471.0,210.0,5.0,6.0,83.3,9.0,14.0,64.3,4.0,7.0,57.1,0.0,1.0,0.0,0.0,24.0,4.0,4.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,4.0,13.0,19.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,8.0,17.0,17.0,5.0,3.0,36.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,12.0,1.0,1.0,50.0
