,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Sebastian Kerk,10.0,de GER,"FW,LW",24-235,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,25.0,0.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,10.0,18.0,55.6,2.0,14.0,0.0,0.0,0.0,189.0,105.0,6.0,6.0,100.0,2.0,5.0,40.0,2.0,7.0,28.6,1.0,1.0,0.0,0.0,14.0,4.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,3.0,7.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,20.0,11.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,11.0,6.0,1.0,18.0,0.0,0.0,0.0,67.0,29.0,0.0,0.0,1.0,1.0,11.0,10.0,90.9,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
1,Adam Zreľák,11.0,sk SVK,LW,24-217,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,0.0,38.0,7.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,5.0,71.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Mikael Ishak,9.0,se SWE,FW,25-252,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,13.0,92.3,1.0,19.0,2.0,1.0,2.0,156.0,16.0,8.0,9.0,88.9,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,12.0,2.0,23.0,50.0,1.0,0.0,68.0,33.0,2.0,0.0,4.0,2.0,26.0,16.0,61.5,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
3,Virgil Misidjan,24.0,nl NED,"FW,LW",25-137,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,23.0,60.9,1.0,32.0,2.0,5.0,5.0,296.0,68.0,7.0,9.0,77.8,3.0,6.0,50.0,4.0,6.0,66.7,0.0,3.0,1.0,0.0,23.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,2.0,3.0,17.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,2.0,14.3,5.0,8.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,7.0,24.0,5.0,0.0,33.0,100.0,5.0,0.0,101.0,43.0,1.0,0.0,1.0,5.0,29.0,19.0,65.5,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
4,Kevin Goden,2.0,de GER,RW,19-289,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,34.0,2.0,1.0,2.0,0.0,0.0,0.1,1.0,0.0,11.0,18.0,61.1,0.0,13.0,2.0,0.0,0.0,168.0,84.0,8.0,12.0,66.7,2.0,4.0,50.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,4.0,3.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,7.0,20.6,31.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,11.0,5.0,9.0,2.0,24.0,0.0,0.0,0.0,38.0,33.0,0.0,1.0,0.0,0.0,26.0,12.0,46.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0
5,Simon Rhein,38.0,de GER,DM,20-204,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,79.2,2.0,25.0,1.0,1.0,1.0,378.0,111.0,4.0,6.0,66.7,14.0,16.0,87.5,1.0,2.0,50.0,0.0,2.0,1.0,0.0,24.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,9.5,16.0,5.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,4.0,17.0,16.0,0.0,0.0,30.0,100.0,1.0,0.0,111.0,55.0,0.0,0.0,0.0,0.0,22.0,21.0,95.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
6,Ondřej Petrák,31.0,cz CZE,DM,26-272,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,5.0,1.0,0.0,1.0,36.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,1.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,6.0,0.0,1.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Patrick Erras,29.0,de GER,DM,23-321,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,80.8,2.0,16.0,2.0,0.0,0.0,341.0,87.0,8.0,8.0,100.0,9.0,10.0,90.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,1.0,9.0,14.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,27.3,9.0,2.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,6.0,23.0,12.0,3.0,0.0,37.0,0.0,0.0,0.0,46.0,27.0,0.0,0.0,0.0,0.0,17.0,17.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
8,Ewerton,4.0,br BRA,"DM,CB",29-260,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,41.0,13.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tim Leibold,23.0,de GER,LB,25-008,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,15.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,22.0,72.7,0.0,19.0,0.0,0.0,0.0,344.0,155.0,5.0,5.0,100.0,6.0,9.0,66.7,4.0,6.0,66.7,0.0,1.0,0.0,0.0,19.0,3.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,7.0,3.0,17.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,4.0,5.0,80.0,1.0,3.0,20.0,11.0,3.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,5.0,18.0,9.0,5.0,0.0,29.0,0.0,0.0,0.0,60.0,31.0,0.0,0.0,2.0,1.0,17.0,16.0,94.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
