,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Federico Santander,9.0,py PAR,FW,27-279,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,8.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,Riccardo Orsolini,7.0,it ITA,FW,22-045,69.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,46.0,23.0,0.0,0.0,3.0,0.4,0.4,0.1,5.0,1.0,24.0,34.0,70.6,4.0,32.0,6.0,1.0,1.0,405.0,154.0,11.0,14.0,78.6,11.0,13.0,84.6,2.0,6.0,33.3,1.0,3.0,1.0,1.0,31.0,3.0,1.0,0.0,8.0,0.0,1.0,2.0,1.0,0.0,0.0,22.0,5.0,7.0,28.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,7.0,30.4,8.0,10.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,21.0,20.0,4.0,43.0,100.0,1.0,0.0,195.0,145.0,2.0,0.0,2.0,1.0,45.0,34.0,75.6,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0
2,Nicola Sansone,10.0,it ITA,LW,27-181,83.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,34.0,31.0,0.0,0.0,3.0,0.2,0.2,0.3,4.0,1.0,23.0,25.0,92.0,2.0,27.0,7.0,1.0,1.0,306.0,65.0,16.0,16.0,100.0,6.0,7.0,85.7,1.0,1.0,100.0,2.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,2.0,2.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,29.0,9.0,15.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,12.0,21.0,8.0,34.0,100.0,1.0,0.0,177.0,117.0,0.0,4.0,2.0,0.0,38.0,27.0,71.1,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,16.7
3,Mattias Svanberg,32.0,se SWE,LW,20-064,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,27.3,1.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Rodrigo Palacio,24.0,ar ARG,RW,37-033,84.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,45.0,33.0,1.0,0.0,0.0,0.3,0.3,0.0,2.0,0.0,21.0,28.0,75.0,2.0,34.0,6.0,1.0,2.0,331.0,69.0,9.0,13.0,69.2,10.0,12.0,83.3,2.0,2.0,100.0,1.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,5.0,5.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,18.2,6.0,13.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,16.0,27.0,8.0,45.0,50.0,2.0,0.0,188.0,99.0,1.0,1.0,3.0,3.0,61.0,39.0,63.9,9.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,50.0
5,Diego Falcinelli,91.0,it ITA,RW,27-257,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,1.0,40.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
6,Roberto Soriano,21.0,it ITA,AM,28-030,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,49.0,50.0,2.0,0.0,2.0,0.3,0.3,0.0,3.0,1.0,27.0,37.0,73.0,1.0,36.0,4.0,1.0,1.0,292.0,92.0,22.0,26.0,84.6,5.0,6.0,83.3,0.0,3.0,0.0,1.0,1.0,0.0,0.0,35.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,8.0,6.0,25.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,11.0,22.0,8.0,26.0,16.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,12.0,22.0,19.0,1.0,48.0,100.0,1.0,0.0,186.0,81.0,1.0,0.0,4.0,1.0,42.0,32.0,76.2,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,20.0
7,Erick Pulgar,5.0,cl CHI,DM,25-054,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,59.0,23.0,4.0,0.0,2.0,0.8,0.0,0.1,6.0,1.0,37.0,48.0,77.1,4.0,30.0,3.0,0.0,0.0,943.0,315.0,10.0,11.0,90.9,15.0,16.0,93.8,11.0,19.0,57.9,4.0,5.0,1.0,0.0,35.0,13.0,6.0,0.0,4.0,7.0,1.0,6.0,5.0,0.0,0.0,31.0,3.0,14.0,3.0,43.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,50.0,1.0,11.0,47.8,11.0,10.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,11.0,32.0,18.0,2.0,46.0,0.0,0.0,0.0,169.0,84.0,0.0,0.0,0.0,1.0,23.0,23.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
8,Blerim Džemaili,31.0,ch SUI,DM,32-332,90.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,46.0,37.0,0.0,1.0,1.0,0.2,0.2,0.6,5.0,0.0,29.0,33.0,87.9,7.0,33.0,8.0,1.0,1.0,484.0,190.0,15.0,16.0,93.8,9.0,10.0,90.0,4.0,6.0,66.7,3.0,2.0,4.0,0.0,32.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,2.0,5.0,3.0,27.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,12.0,32.4,8.0,24.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,24.0,23.0,4.0,44.0,100.0,1.0,0.0,214.0,163.0,3.0,2.0,2.0,0.0,37.0,32.0,86.5,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
9,Mitchell Dijks,35.0,nl NED,LB,26-029,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,12.0,0.0,1.0,0.0,0.0,0.0,0.1,4.0,0.0,40.0,58.0,69.0,6.0,47.0,6.0,1.0,3.0,797.0,394.0,13.0,18.0,72.2,21.0,29.0,72.4,5.0,9.0,55.6,2.0,5.0,4.0,3.0,51.0,7.0,0.0,0.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,32.0,8.0,18.0,39.0,3.0,6.0,7.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,58.3,9.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,32.0,20.0,0.0,58.0,33.3,2.0,1.0,384.0,225.0,5.0,0.0,2.0,1.0,42.0,41.0,97.6,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,5.0,37.5
