,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Suk Hyun-jun,10.0,kr KOR,FW,27-323,73.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,27.0,36.0,0.0,0.0,1.0,0.9,0.9,0.1,3.0,0.0,10.0,20.0,50.0,2.0,11.0,0.0,1.0,1.0,154.0,28.0,3.0,5.0,60.0,5.0,10.0,50.0,1.0,2.0,50.0,2.0,1.0,1.0,0.0,19.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,2.0,6.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.7,0.0,15.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,12.0,5.0,26.0,100.0,1.0,1.0,17.0,4.0,0.0,0.0,3.0,0.0,45.0,23.0,51.1,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,1.0,90.9
1,Pablo Chavarría,12.0,ar ARG,FW,31-136,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,8.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,1.0,0.0,1.0,19.0,3.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,25.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,8.0,0.0,0.0,0.0,19.0,7.0,1.0,0.0,0.0,0.0,10.0,3.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
2,Moussa Doumbia,25.0,ml MLI,LW,24-276,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,31.0,0.0,2.0,2.0,0.1,0.1,0.0,2.0,0.0,29.0,33.0,87.9,4.0,39.0,9.0,5.0,6.0,451.0,111.0,15.0,17.0,88.2,9.0,11.0,81.8,4.0,4.0,100.0,1.0,3.0,1.0,0.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,2.0,5.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,8.0,25.8,10.0,13.0,8.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,13.0,23.0,17.0,3.0,45.0,83.3,5.0,0.0,324.0,253.0,6.0,1.0,2.0,1.0,34.0,28.0,82.4,4.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
3,Axel Disasi,6.0,fr FRA,LW,21-068,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,Mathieu Cafaro,24.0,fr FRA,RW,22-054,67.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,0.1,0.1,0.2,2.0,0.0,10.0,20.0,50.0,2.0,20.0,1.0,0.0,0.0,253.0,74.0,2.0,3.0,66.7,4.0,7.0,57.1,4.0,10.0,40.0,2.0,1.0,2.0,1.0,19.0,1.0,1.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,8.0,6.0,6.0,2.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.1,2.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,16.0,4.0,26.0,0.0,0.0,0.0,153.0,36.0,0.0,0.0,2.0,1.0,29.0,18.0,62.1,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
5,Remi Oudin,18.0,fr FRA,RW,22-181,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,5.0,11.0,45.5,1.0,8.0,1.0,0.0,0.0,93.0,71.0,3.0,7.0,42.9,1.0,2.0,50.0,1.0,1.0,100.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,4.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0,6.0,4.0,0.0,16.0,0.0,0.0,0.0,36.0,14.0,0.0,0.0,1.0,0.0,12.0,10.0,83.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
6,Tristan Dingomé,20.0,cm CMR,AM,28-090,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,42.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,23.0,33.0,69.7,3.0,28.0,0.0,2.0,2.0,339.0,57.0,11.0,14.0,78.6,11.0,11.0,100.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,33.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,8.0,5.0,26.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,9.0,21.4,8.0,21.0,13.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,7.0,22.0,13.0,0.0,41.0,100.0,2.0,0.0,80.0,17.0,0.0,0.0,1.0,0.0,27.0,24.0,88.9,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
7,Xavier Chavalerin,7.0,fr FRA,DM,28-072,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,33.0,6.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,32.0,38.0,84.2,3.0,26.0,1.0,0.0,0.0,730.0,173.0,12.0,12.0,100.0,12.0,12.0,100.0,8.0,12.0,66.7,0.0,2.0,2.0,0.0,36.0,2.0,2.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,25.0,5.0,8.0,27.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,1.0,0.0,3.0,5.0,60.0,2.0,12.0,36.4,14.0,15.0,4.0,1.0,0.0,3.0,9.0,2.0,0.0,3.0,21.0,27.0,4.0,0.0,48.0,0.0,0.0,0.0,106.0,30.0,0.0,0.0,1.0,1.0,24.0,23.0,95.8,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
8,Alaixys Romao,4.0,tg TOG,DM,35-120,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,24.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,60.0,1.0,30.0,2.0,2.0,2.0,386.0,82.0,7.0,11.0,63.6,7.0,12.0,58.3,4.0,6.0,66.7,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,5.0,6.0,7.0,20.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,20.0,4.0,9.0,37.5,15.0,9.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,4.0,17.0,23.0,5.0,2.0,43.0,100.0,2.0,0.0,145.0,53.0,1.0,0.0,2.0,0.0,25.0,25.0,100.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
9,Hassane Kamara,13.0,ci CIV,LB,24-241,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,18.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,32.0,42.0,76.2,3.0,39.0,7.0,2.0,3.0,483.0,156.0,20.0,21.0,95.2,10.0,14.0,71.4,2.0,7.0,28.6,0.0,1.0,0.0,0.0,34.0,8.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,25.0,6.0,11.0,30.0,3.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,100.0,0.0,7.0,38.9,12.0,5.0,1.0,1.0,0.0,2.0,5.0,6.0,0.0,9.0,26.0,32.0,12.0,1.0,53.0,66.7,3.0,0.0,344.0,219.0,4.0,1.0,2.0,3.0,34.0,28.0,82.4,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
