,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Glenn Murray,17.0,eng ENG,FW,35-060,88.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,15.0,2.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,4.0,9.0,44.4,0.0,8.0,2.0,0.0,0.0,93.0,11.0,1.0,3.0,33.3,2.0,3.0,66.7,1.0,2.0,50.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,26.7,0.0,6.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,7.0,1.0,18.0,0.0,0.0,0.0,39.0,25.0,1.0,0.0,5.0,0.0,49.0,15.0,30.6,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,11.0,31.3
1,Jürgen Locadia,9.0,nl NED,FW,25-017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,5.0,5.0,100.0,1.0,4.0,0.0,0.0,0.0,69.0,41.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Pascal Groß,13.0,de GER,AM,27-162,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,9.0,0.0,1.0,0.0,0.0,0.0,0.2,3.0,0.0,28.0,35.0,80.0,3.0,22.0,3.0,1.0,1.0,521.0,92.0,15.0,17.0,88.2,8.0,10.0,80.0,4.0,6.0,66.7,2.0,3.0,1.0,0.0,33.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,23.0,5.0,7.0,6.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.2,1.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,18.0,0.0,35.0,100.0,1.0,0.0,112.0,70.0,1.0,0.0,1.0,1.0,41.0,28.0,68.3,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,20.0
3,Florin Andone,10.0,ro ROU,AM,25-227,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,1.0,2.0,0.0,0.0,0.0,50.0,22.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,20.0,14.0,0.0,0.0,0.0,0.0,6.0,3.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
4,José Izquierdo,19.0,co COL,LM,26-140,90.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,50.0,18.0,5.0,5.0,3.0,0.1,0.1,0.1,4.0,0.0,19.0,26.0,73.1,1.0,35.0,7.0,3.0,4.0,277.0,49.0,12.0,16.0,75.0,7.0,8.0,87.5,0.0,1.0,0.0,2.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,23.0,0.0,3.0,3.0,23.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,0.0,2.0,5.0,40.0,3.0,6.0,33.3,9.0,4.0,5.0,0.0,0.0,3.0,10.0,1.0,0.0,1.0,10.0,14.0,30.0,8.0,50.0,75.0,3.0,0.0,195.0,97.0,1.0,2.0,4.0,3.0,37.0,29.0,78.4,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
5,Anthony Knockaert,11.0,fr FRA,RM,27-004,72.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,14.0,0.0,1.0,0.0,0.2,0.2,0.2,3.0,1.0,20.0,26.0,76.9,0.0,26.0,3.0,1.0,1.0,348.0,96.0,15.0,17.0,88.2,1.0,3.0,33.3,4.0,6.0,66.7,1.0,2.0,0.0,0.0,23.0,3.0,1.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,19.0,3.0,4.0,20.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,14.3,7.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,20.0,13.0,0.0,31.0,100.0,1.0,0.0,114.0,51.0,0.0,0.0,3.0,0.0,34.0,25.0,73.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
6,Solly March,20.0,eng ENG,RM,24-127,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,5.0,0.0,0.0,0.0,0.2,0.2,0.1,3.0,0.0,16.0,25.0,64.0,1.0,18.0,5.0,0.0,0.0,311.0,75.0,12.0,15.0,80.0,1.0,3.0,33.3,3.0,5.0,60.0,1.0,0.0,1.0,0.0,22.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,13.0,8.0,4.0,22.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,4.0,25.0,0.0,0.0,0.0,133.0,85.0,0.0,2.0,0.0,1.0,24.0,21.0,87.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
7,Beram Kayal,7.0,il ISR,DM,30-206,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,60.0,27.0,2.0,3.0,4.0,0.2,0.2,0.0,2.0,1.0,29.0,43.0,67.4,3.0,33.0,5.0,1.0,1.0,583.0,159.0,11.0,14.0,78.6,17.0,24.0,70.8,1.0,3.0,33.3,0.0,3.0,0.0,0.0,38.0,5.0,2.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,26.0,5.0,12.0,3.0,34.0,5.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,8.0,29.6,9.0,10.0,8.0,1.0,0.0,3.0,5.0,1.0,0.0,3.0,15.0,33.0,14.0,2.0,55.0,100.0,1.0,0.0,184.0,74.0,0.0,1.0,1.0,2.0,33.0,30.0,90.9,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,13.0,0.0,2.0,0.0
8,Davy Pröpper,24.0,nl NED,DM,27-083,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,12.0,2.0,4.0,1.0,0.0,0.0,0.1,3.0,0.0,46.0,54.0,85.2,5.0,37.0,7.0,0.0,0.0,834.0,152.0,21.0,25.0,84.0,19.0,21.0,90.5,5.0,7.0,71.4,2.0,3.0,3.0,0.0,54.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,7.0,4.0,7.0,43.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,5.0,41.7,1.0,9.0,2.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,15.0,37.0,13.0,3.0,62.0,0.0,0.0,0.0,273.0,121.0,1.0,0.0,0.0,2.0,43.0,40.0,93.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
9,Bernardo,30.0,br BRA,LB,23-194,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,20.0,4.0,5.0,4.0,0.0,0.0,0.1,1.0,0.0,43.0,64.0,67.2,5.0,34.0,5.0,0.0,1.0,823.0,341.0,17.0,19.0,89.5,20.0,29.0,69.0,6.0,14.0,42.9,1.0,3.0,0.0,0.0,49.0,15.0,0.0,0.0,12.0,2.0,4.0,0.0,0.0,0.0,0.0,34.0,9.0,21.0,42.0,5.0,1.0,15.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,4.0,9.0,44.4,5.0,8.0,40.0,13.0,7.0,0.0,0.0,0.0,4.0,9.0,1.0,0.0,5.0,32.0,35.0,16.0,0.0,64.0,0.0,0.0,0.0,197.0,122.0,1.0,0.0,0.0,0.0,45.0,38.0,84.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,33.3
