,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Callum Wilson,13.0,eng ENG,FW,26-186,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,21.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,8.0,15.0,53.3,2.0,19.0,2.0,1.0,3.0,146.0,32.0,3.0,9.0,33.3,4.0,4.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,3.0,7.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.3,1.0,13.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,11.0,15.0,4.0,25.0,33.3,1.0,0.0,47.0,35.0,2.0,1.0,3.0,2.0,52.0,23.0,44.2,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,50.0
1,Joshua King,17.0,no NOR,"LW,RW",26-229,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,24.0,58.3,0.0,29.0,4.0,2.0,7.0,169.0,46.0,12.0,17.0,70.6,1.0,3.0,33.3,1.0,2.0,50.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,2.0,2.0,16.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,22.2,7.0,10.0,10.0,0.0,0.0,2.0,5.0,1.0,0.0,3.0,8.0,17.0,18.0,2.0,40.0,28.6,3.0,0.0,129.0,76.0,1.0,0.0,6.0,0.0,41.0,24.0,58.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,57.1
2,Lys Mousset,9.0,fr FRA,RW,22-205,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,4.0,0.0,0.0,1.0,35.0,13.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,Ryan Fraser,24.0,sct SCO,"RW,LW",24-189,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,12.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,13.0,22.0,59.1,2.0,23.0,2.0,0.0,1.0,201.0,56.0,7.0,9.0,77.8,5.0,5.0,100.0,1.0,5.0,20.0,0.0,2.0,1.0,0.0,19.0,3.0,0.0,0.0,6.0,2.0,2.0,1.0,0.0,1.0,0.0,14.0,6.0,2.0,5.0,16.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,1.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,21.0,5.0,26.0,0.0,0.0,0.0,87.0,55.0,1.0,1.0,2.0,1.0,29.0,18.0,62.1,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
4,Dan Gosling,4.0,eng ENG,DM,28-212,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,42.0,24.0,3.0,1.0,4.0,0.0,0.0,0.1,2.0,0.0,22.0,30.0,73.3,5.0,24.0,1.0,1.0,2.0,415.0,145.0,11.0,13.0,84.6,6.0,9.0,66.7,5.0,7.0,71.4,2.0,3.0,3.0,0.0,28.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,4.0,6.0,25.0,12.0,10.0,2.0,1.0,0.0,3.0,4.0,1.0,0.0,3.0,14.0,22.0,8.0,2.0,40.0,50.0,1.0,0.0,126.0,81.0,1.0,0.0,0.0,0.0,22.0,20.0,90.9,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
5,Jefferson Lerma,8.0,co COL,DM,23-311,87.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.0,22.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,68.2,0.0,17.0,0.0,0.0,0.0,184.0,37.0,7.0,11.0,63.6,5.0,7.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,3.0,2.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,5.0,40.0,3.0,2.0,9.1,12.0,10.0,0.0,3.0,0.0,1.0,10.0,1.0,0.0,5.0,21.0,13.0,4.0,0.0,38.0,0.0,0.0,0.0,82.0,28.0,0.0,0.0,1.0,0.0,15.0,14.0,93.3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0
6,Lewis Cook,16.0,eng ENG,DM,21-210,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,100.0,1.0,6.0,1.0,0.0,0.0,109.0,33.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,6.0,0.0,0.0,0.0,52.0,8.0,1.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,Diego Rico,21.0,es ESP,WB,25-190,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,17.0,2.0,2.0,2.0,0.0,0.0,0.6,3.0,0.0,22.0,37.0,59.5,3.0,20.0,3.0,1.0,1.0,368.0,246.0,11.0,15.0,73.3,6.0,10.0,60.0,3.0,9.0,33.3,3.0,1.0,1.0,1.0,28.0,9.0,2.0,0.0,6.0,1.0,2.0,4.0,3.0,0.0,0.0,21.0,6.0,10.0,31.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,7.0,14.3,6.0,5.0,29.4,6.0,7.0,4.0,0.0,0.0,2.0,4.0,5.0,0.0,8.0,17.0,18.0,18.0,1.0,40.0,100.0,1.0,0.0,75.0,42.0,2.0,0.0,1.0,0.0,21.0,18.0,85.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
8,Adam Smith,15.0,eng ENG,WB,27-125,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,27.0,70.4,3.0,21.0,2.0,0.0,1.0,309.0,163.0,10.0,14.0,71.4,8.0,10.0,80.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,25.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,7.0,3.0,19.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,17.9,11.0,8.0,9.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,11.0,18.0,10.0,0.0,35.0,0.0,0.0,0.0,85.0,34.0,1.0,0.0,0.0,0.0,30.0,22.0,73.3,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
9,Jordon Ibe,10.0,eng ENG,WB,22-267,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,7.0,1.0,0.0,1.0,20.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,45.0,31.0,1.0,0.0,1.0,0.0,6.0,5.0,83.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
