,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Gonzalo Higuaín,9.0,ar ARG,FW,31-090,90.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,29.0,7.0,1.0,0.0,1.0,0.5,0.5,0.1,3.0,0.0,13.0,19.0,68.4,1.0,20.0,1.0,2.0,2.0,249.0,17.0,5.0,9.0,55.6,5.0,6.0,83.3,2.0,3.0,66.7,1.0,0.0,1.0,0.0,18.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,5.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,57.1,0.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,22.0,6.0,28.0,100.0,2.0,0.0,75.0,17.0,0.0,0.0,0.0,1.0,38.0,22.0,57.9,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7
1,Eden Hazard,10.0,be BEL,"LW,AM",28-062,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,99.0,13.0,0.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,65.0,86.0,75.6,4.0,89.0,23.0,4.0,7.0,919.0,215.0,41.0,45.0,91.1,16.0,22.0,72.7,6.0,15.0,40.0,0.0,4.0,0.0,0.0,75.0,11.0,3.0,0.0,6.0,1.0,3.0,8.0,3.0,5.0,0.0,54.0,12.0,20.0,8.0,75.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,46.2,0.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,25.0,76.0,6.0,90.0,57.1,4.0,0.0,576.0,331.0,6.0,1.0,3.0,2.0,103.0,80.0,77.7,12.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
2,Pedro,11.0,es ESP,RW,31-225,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,55.0,9.0,1.0,0.0,1.0,0.0,0.0,0.2,3.0,0.0,41.0,47.0,87.2,2.0,52.0,3.0,3.0,5.0,630.0,125.0,23.0,26.0,88.5,17.0,19.0,89.5,1.0,2.0,50.0,3.0,2.0,2.0,1.0,47.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,33.0,9.0,5.0,14.0,32.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,55.6,0.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,21.0,33.0,4.0,55.0,60.0,3.0,0.0,183.0,37.0,1.0,1.0,1.0,1.0,55.0,46.0,83.6,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
3,Callum Hudson-Odoi,20.0,eng ENG,RW,18-123,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,23.0,65.2,0.0,27.0,8.0,2.0,3.0,270.0,62.0,7.0,11.0,63.6,5.0,6.0,83.3,3.0,5.0,60.0,1.0,0.0,2.0,2.0,22.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,15.0,2.0,6.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,19.0,0.0,26.0,66.7,2.0,0.0,200.0,108.0,0.0,0.0,1.0,0.0,23.0,22.0,95.7,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Mateo Kovačić,17.0,hr CRO,CM,24-308,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,47.0,93.6,1.0,54.0,4.0,2.0,5.0,670.0,68.0,26.0,26.0,100.0,13.0,15.0,86.7,3.0,4.0,75.0,0.0,4.0,1.0,0.0,46.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,7.0,3.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,30.8,2.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,29.0,28.0,0.0,56.0,40.0,2.0,0.0,156.0,77.0,1.0,0.0,1.0,1.0,53.0,50.0,94.3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Ruben Loftus-Cheek,12.0,eng ENG,CM,23-046,35.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,32.0,7.0,0.0,0.0,0.0,0.5,0.5,0.1,7.0,1.0,21.0,25.0,84.0,2.0,29.0,2.0,3.0,4.0,288.0,53.0,13.0,15.0,86.7,6.0,7.0,85.7,2.0,2.0,100.0,2.0,3.0,0.0,0.0,24.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,3.0,4.0,4.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,57.1,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,21.0,4.0,31.0,75.0,4.0,0.0,150.0,70.0,0.0,1.0,1.0,2.0,31.0,24.0,77.4,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
6,N'Golo Kanté,7.0,fr FRA,CM,27-346,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0,34.0,3.0,0.0,2.0,0.0,0.0,0.1,6.0,0.0,57.0,64.0,89.1,5.0,60.0,11.0,2.0,3.0,805.0,155.0,38.0,42.0,90.5,13.0,15.0,86.7,5.0,5.0,100.0,2.0,5.0,4.0,0.0,64.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,12.0,5.0,8.0,54.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,100.0,0.0,14.0,41.2,4.0,16.0,14.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,4.0,36.0,45.0,2.0,77.0,66.7,2.0,0.0,217.0,122.0,6.0,0.0,1.0,2.0,61.0,50.0,82.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,50.0
7,Jorginho,5.0,it ITA,DM,27-080,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,16.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,82.0,96.0,85.4,10.0,85.0,5.0,2.0,2.0,1411.0,401.0,40.0,43.0,93.0,31.0,38.0,81.6,9.0,10.0,90.0,0.0,16.0,2.0,0.0,95.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,22.0,15.0,3.0,88.0,4.0,0.0,1.0,1.0,1.0,5.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,50.0,1.0,8.0,50.0,3.0,7.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,20.0,69.0,24.0,0.0,104.0,100.0,2.0,0.0,337.0,174.0,2.0,0.0,0.0,1.0,84.0,83.0,98.8,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0
8,Willian,22.0,br BRA,LW,30-213,19.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,0.1,0.1,0.1,5.0,1.0,19.0,26.0,73.1,2.0,25.0,6.0,0.0,2.0,338.0,61.0,12.0,13.0,92.3,3.0,4.0,75.0,3.0,8.0,37.5,3.0,2.0,0.0,0.0,21.0,5.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,12.0,6.0,8.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,28.0,0.0,25.0,0.0,0.0,0.0,126.0,82.0,1.0,0.0,0.0,1.0,26.0,23.0,88.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9,Emerson Palmieri,33.0,it ITA,LB,24-219,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,137.0,18.0,2.0,0.0,3.0,0.0,0.0,0.2,3.0,0.0,111.0,125.0,88.8,4.0,112.0,26.0,7.0,9.0,1323.0,330.0,80.0,86.0,93.0,27.0,28.0,96.4,0.0,4.0,0.0,2.0,3.0,0.0,0.0,105.0,20.0,1.0,0.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,87.0,12.0,26.0,99.0,5.0,1.0,19.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,5.0,27.8,4.0,9.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,22.0,61.0,68.0,3.0,117.0,77.8,7.0,0.0,674.0,462.0,9.0,1.0,0.0,4.0,109.0,106.0,97.2,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0
