,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Roberto Firmino,9.0,br BRA,FW,26-322,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,18.0,1.0,0.0,0.0,0.0,0.0,0.1,5.0,1.0,38.0,45.0,84.4,4.0,43.0,5.0,3.0,3.0,644.0,180.0,20.0,21.0,95.2,14.0,15.0,93.3,4.0,6.0,66.7,1.0,2.0,3.0,0.0,45.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,7.0,1.0,3.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,27.8,4.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,30.0,22.0,5.0,49.0,100.0,3.0,0.0,211.0,94.0,4.0,1.0,0.0,2.0,56.0,43.0,76.8,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
1,Daniel Sturridge,15.0,eng ENG,FW,28-353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Sadio Mané,10.0,sn SEN,LW,26-132,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,48.0,18.0,1.0,0.0,1.0,0.8,0.8,0.2,5.0,2.0,30.0,36.0,83.3,3.0,42.0,4.0,4.0,8.0,602.0,148.0,13.0,14.0,92.9,8.0,10.0,80.0,7.0,7.0,100.0,2.0,2.0,1.0,0.0,36.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,9.0,4.0,30.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,27.8,6.0,7.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,10.0,33.0,9.0,48.0,50.0,5.0,1.0,189.0,71.0,0.0,1.0,1.0,2.0,52.0,36.0,69.2,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
3,Mohamed Salah,11.0,eg EGY,RW,26-066,90.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,33.0,14.0,0.0,0.0,0.0,0.7,0.7,0.9,8.0,1.0,15.0,20.0,75.0,1.0,24.0,4.0,2.0,3.0,198.0,54.0,8.0,9.0,88.9,6.0,9.0,66.7,0.0,1.0,0.0,4.0,1.0,0.0,0.0,19.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,4.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.4,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,21.0,9.0,32.0,66.7,2.0,0.0,128.0,81.0,1.0,2.0,2.0,3.0,48.0,25.0,52.1,12.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,7.0,2.0,0.0,100.0
4,Naby Keïta,8.0,gn GUI,CM,23-191,86.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,77.0,28.0,4.0,1.0,2.0,0.4,0.4,0.3,3.0,0.0,53.0,61.0,86.9,7.0,58.0,6.0,3.0,4.0,801.0,263.0,33.0,35.0,94.3,17.0,20.0,85.0,3.0,6.0,50.0,2.0,11.0,1.0,0.0,61.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,5.0,8.0,52.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,2.0,3.0,66.7,1.0,7.0,25.0,9.0,14.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,10.0,51.0,22.0,5.0,77.0,75.0,3.0,0.0,258.0,164.0,0.0,0.0,2.0,3.0,64.0,58.0,90.6,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
5,Adam Lallana,20.0,eng ENG,CM,30-102,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,80.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,James Milner,7.0,eng ENG,CM,32-228,66.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,73.0,25.0,2.0,8.0,4.0,0.8,0.0,0.0,0.0,0.0,44.0,57.0,77.2,6.0,48.0,8.0,0.0,1.0,882.0,301.0,16.0,18.0,88.9,21.0,24.0,87.5,7.0,13.0,53.8,0.0,6.0,2.0,0.0,51.0,6.0,2.0,0.0,7.0,4.0,3.0,3.0,1.0,1.0,0.0,45.0,2.0,10.0,5.0,52.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,6.0,16.7,5.0,12.0,48.0,5.0,14.0,6.0,0.0,0.0,4.0,10.0,0.0,0.0,2.0,15.0,42.0,22.0,2.0,67.0,0.0,0.0,0.0,188.0,120.0,3.0,0.0,2.0,0.0,50.0,45.0,90.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
7,Jordan Henderson,14.0,eng ENG,DM,28-064,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,31.0,90.3,2.0,19.0,1.0,0.0,0.0,616.0,160.0,10.0,10.0,100.0,13.0,15.0,86.7,5.0,6.0,83.3,0.0,5.0,0.0,0.0,31.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,5.0,4.0,23.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,23.0,5.0,0.0,32.0,0.0,0.0,0.0,74.0,26.0,1.0,0.0,0.0,0.0,27.0,27.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
8,Georginio Wijnaldum,5.0,nl NED,"DM,CM",27-282,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,17.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,59.0,89.8,7.0,52.0,4.0,2.0,2.0,1148.0,252.0,17.0,18.0,94.4,23.0,25.0,92.0,13.0,13.0,100.0,1.0,10.0,1.0,0.0,57.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,6.0,5.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,3.0,33.3,2.0,9.0,52.9,8.0,9.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,10.0,49.0,12.0,1.0,64.0,100.0,2.0,0.0,208.0,85.0,2.0,0.0,0.0,1.0,56.0,52.0,92.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7
9,Andrew Robertson,26.0,sct SCO,LB,24-162,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,101.0,23.0,5.0,0.0,3.0,0.1,0.1,0.0,5.0,0.0,78.0,85.0,91.8,7.0,77.0,8.0,1.0,2.0,1314.0,347.0,40.0,42.0,95.2,30.0,34.0,88.2,7.0,7.0,100.0,1.0,6.0,2.0,0.0,82.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,77.0,5.0,3.0,73.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,0.0,2.0,4.0,50.0,2.0,8.0,34.8,12.0,6.0,5.0,0.0,0.0,3.0,5.0,1.0,0.0,2.0,18.0,54.0,37.0,5.0,98.0,50.0,1.0,0.0,413.0,245.0,3.0,0.0,3.0,1.0,84.0,81.0,96.4,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
