,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Paco Alcácer,9.0,es ESP,FW,25-191,89.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,28.0,12.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,10.0,13.0,76.9,0.0,19.0,2.0,1.0,1.0,103.0,0.0,5.0,6.0,83.3,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,75.0,0.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,21.0,7.0,26.0,100.0,1.0,0.0,40.0,29.0,0.0,0.0,6.0,1.0,40.0,19.0,47.5,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0
1,Thomas Delaney,6.0,dk DEN,DM,27-187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,53.0,13.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Raphaël Guerreiro,13.0,pt POR,LM,25-077,78.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,72.0,12.0,1.0,0.0,1.0,0.2,0.2,0.3,3.0,0.0,53.0,63.0,84.1,2.0,62.0,9.0,1.0,1.0,813.0,162.0,28.0,32.0,87.5,17.0,18.0,94.4,5.0,7.0,71.4,2.0,4.0,2.0,1.0,62.0,1.0,0.0,0.0,12.0,2.0,2.0,1.0,0.0,1.0,0.0,46.0,12.0,5.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,3.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,33.0,39.0,2.0,71.0,100.0,1.0,0.0,285.0,181.0,4.0,0.0,2.0,1.0,71.0,64.0,90.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
3,Christian Pulisic,22.0,us USA,"RM,RW",20-172,12.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.3,0.3,0.1,2.0,2.0,4.0,7.0,57.1,0.0,10.0,0.0,1.0,1.0,45.0,7.0,2.0,5.0,40.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,2.0,12.0,100.0,1.0,0.0,26.0,9.0,0.0,0.0,0.0,2.0,10.0,8.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
4,Marco Reus,11.0,de GER,CM,29-282,90.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,66.0,19.0,1.0,0.0,0.0,0.8,0.1,0.1,1.0,0.0,45.0,51.0,88.2,1.0,52.0,4.0,1.0,2.0,628.0,69.0,28.0,30.0,93.3,10.0,11.0,90.9,5.0,7.0,71.4,1.0,3.0,1.0,0.0,49.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7.0,2.0,9.0,39.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,6.0,31.6,4.0,10.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,24.0,42.0,11.0,64.0,50.0,2.0,1.0,250.0,73.0,2.0,1.0,3.0,6.0,65.0,50.0,76.9,14.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,50.0
5,Mario Götze,10.0,de GER,CM,26-279,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,24.0,2.0,1.0,1.0,0.0,0.0,0.4,5.0,1.0,76.0,87.0,87.4,10.0,80.0,10.0,3.0,6.0,1093.0,306.0,45.0,46.0,97.8,27.0,29.0,93.1,3.0,6.0,50.0,2.0,4.0,5.0,1.0,83.0,4.0,1.0,1.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,65.0,16.0,6.0,6.0,76.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,15.0,62.5,3.0,15.0,6.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,4.0,51.0,51.0,1.0,95.0,50.0,3.0,1.0,304.0,143.0,4.0,0.0,1.0,5.0,85.0,78.0,91.8,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,33.3
6,Jadon Sancho,7.0,eng ENG,"RM,LM",18-349,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,98.0,14.0,2.0,0.0,1.0,0.1,0.1,0.0,5.0,2.0,64.0,82.0,78.0,6.0,84.0,9.0,3.0,8.0,952.0,313.0,41.0,48.0,85.4,18.0,24.0,75.0,4.0,8.0,50.0,2.0,1.0,2.0,0.0,75.0,7.0,1.0,0.0,16.0,2.0,3.0,6.0,0.0,2.0,2.0,56.0,12.0,14.0,3.0,76.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,10.0,71.4,3.0,8.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,38.0,64.0,6.0,92.0,37.5,4.0,0.0,258.0,126.0,1.0,3.0,3.0,2.0,100.0,81.0,81.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0
7,Axel Witsel,28.0,be BEL,DM,30-056,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,98.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,80.0,85.0,94.1,2.0,80.0,10.0,4.0,4.0,1451.0,194.0,33.0,36.0,91.7,34.0,34.0,100.0,12.0,14.0,85.7,0.0,6.0,1.0,0.0,83.0,2.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,10.0,5.0,6.0,74.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,66.7,1.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,15.0,65.0,22.0,3.0,96.0,100.0,4.0,1.0,427.0,178.0,1.0,1.0,2.0,2.0,71.0,69.0,97.2,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,100.0
8,Achraf Hakimi,5.0,ma MAR,LB,20-125,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,119.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,92.0,109.0,84.4,8.0,94.0,12.0,2.0,2.0,1401.0,431.0,52.0,57.0,91.2,31.0,33.0,93.9,8.0,13.0,61.5,1.0,6.0,2.0,2.0,101.0,8.0,0.0,0.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0,89.0,10.0,10.0,18.0,82.0,0.0,8.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,45.5,3.0,8.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,23.0,59.0,43.0,4.0,111.0,100.0,2.0,0.0,491.0,317.0,1.0,2.0,1.0,2.0,99.0,95.0,96.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
9,Abdou Diallo,4.0,sn SEN,CB,22-309,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,102.0,107.0,95.3,1.0,87.0,8.0,0.0,1.0,2340.0,683.0,27.0,27.0,100.0,50.0,53.0,94.3,25.0,26.0,96.2,0.0,6.0,0.0,0.0,104.0,3.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,87.0,10.0,10.0,80.0,20.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,38.0,75.0,5.0,1.0,108.0,0.0,0.0,0.0,395.0,216.0,0.0,0.0,2.0,0.0,88.0,87.0,98.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,100.0
