,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Callum Paterson,13.0,sct SCO,FW,24-042,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,39.0,17.0,3.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,11.0,25.0,44.0,2.0,11.0,2.0,0.0,1.0,124.0,23.0,7.0,12.0,58.3,3.0,6.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,5.0,0.0,9.0,8.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,8.0,47.1,3.0,6.0,8.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,15.0,24.0,4.0,38.0,0.0,1.0,0.0,38.0,26.0,1.0,1.0,3.0,3.0,64.0,26.0,40.6,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,10.0,14.0,41.7
1,Kadeem Harris,23.0,eng ENG,"RM,LM",25-169,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0,62.5,1.0,10.0,1.0,1.0,4.0,62.0,20.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,20.0,2.0,3.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,9.0,1.0,16.0,25.0,1.0,0.0,44.0,34.0,0.0,0.0,1.0,0.0,21.0,11.0,52.4,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,50.0
2,Josh Murphy,11.0,eng ENG,RM,23-273,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,3.0,9.0,66.7,2.0,0.0,62.0,32.0,1.0,0.0,0.0,1.0,6.0,5.0,83.3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,Víctor Camarasa,21.0,es ESP,CM,24-180,84.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,39.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,27.0,48.1,0.0,21.0,3.0,0.0,2.0,248.0,36.0,3.0,6.0,50.0,5.0,11.0,45.5,3.0,5.0,60.0,0.0,1.0,0.0,0.0,24.0,3.0,1.0,0.0,7.0,2.0,1.0,2.0,2.0,0.0,0.0,18.0,6.0,3.0,3.0,23.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,37.5,5.0,9.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,11.0,20.0,13.0,2.0,36.0,0.0,0.0,0.0,141.0,91.0,2.0,0.0,0.0,2.0,26.0,21.0,80.8,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
4,Danny Ward,9.0,eng ENG,CM,26-348,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,69.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,Joe Ralls,8.0,eng ENG,CM,25-042,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,22.0,1.0,1.0,1.0,0.0,0.0,0.4,2.0,0.0,15.0,25.0,60.0,3.0,16.0,1.0,0.0,0.0,408.0,169.0,4.0,5.0,80.0,7.0,13.0,53.8,4.0,6.0,66.7,2.0,2.0,0.0,0.0,21.0,4.0,3.0,0.0,7.0,1.0,2.0,1.0,1.0,0.0,0.0,14.0,1.0,10.0,21.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,7.0,31.8,7.0,9.0,6.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,10.0,18.0,5.0,0.0,28.0,0.0,0.0,0.0,78.0,49.0,0.0,0.0,0.0,2.0,34.0,15.0,44.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
6,Harry Arter,7.0,ie IRL,"LM,RM",28-331,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,68.2,2.0,12.0,0.0,0.0,0.0,297.0,172.0,8.0,11.0,72.7,5.0,5.0,100.0,2.0,5.0,40.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,8.0,7.0,12.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,20.0,9.0,6.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,15.0,11.0,5.0,1.0,30.0,0.0,0.0,0.0,66.0,33.0,0.0,0.0,1.0,1.0,15.0,10.0,66.7,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
7,Junior Hoilett,33.0,ca CAN,LM,28-172,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,6.0,1.0,0.0,0.0,48.0,10.0,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,2.0,11.0,0.0,0.0,0.0,38.0,2.0,0.0,1.0,2.0,0.0,6.0,3.0,50.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
8,Aron Gunnarsson,17.0,is ISL,DM,29-216,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,28.0,60.7,2.0,11.0,0.0,0.0,1.0,370.0,192.0,5.0,8.0,62.5,8.0,12.0,66.7,4.0,5.0,80.0,2.0,2.0,0.0,0.0,19.0,9.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,15.0,1.0,14.0,4.0,8.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,5.0,40.0,3.0,4.0,25.0,8.0,8.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,9.0,21.0,9.0,0.0,28.0,0.0,0.0,0.0,28.0,13.0,0.0,0.0,1.0,1.0,10.0,10.0,100.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,50.0
9,Greg Cunningham,18.0,ie IRL,LB,27-297,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,18.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,57.1,0.0,6.0,0.0,0.0,1.0,228.0,178.0,3.0,6.0,50.0,9.0,11.0,81.8,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,13.0,10.0,2.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,5.0,20.0,4.0,6.0,33.3,9.0,8.0,1.0,0.0,0.0,2.0,11.0,5.0,1.0,9.0,29.0,11.0,2.0,1.0,33.0,0.0,1.0,0.0,26.0,3.0,0.0,0.0,0.0,1.0,7.0,7.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,100.0
