,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Richarlison,30.0,br BRA,"FW,LW,LM",21-164,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,18.0,28.0,64.3,2.0,32.0,5.0,2.0,3.0,264.0,60.0,9.0,13.0,69.2,7.0,11.0,63.6,1.0,2.0,50.0,0.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,9.0,3.0,7.0,16.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,2.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,17.0,24.0,8.0,44.0,66.7,2.0,0.0,157.0,97.0,1.0,0.0,4.0,3.0,37.0,29.0,78.4,7.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,10.0,5.0,1.0,83.3
1,Bernard,20.0,br BRA,LW,26-043,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,8.0,1.0,1.0,0.0,0.0,0.0,0.1,3.0,0.0,24.0,32.0,75.0,4.0,36.0,5.0,0.0,2.0,334.0,80.0,14.0,17.0,82.4,6.0,8.0,75.0,2.0,3.0,66.7,3.0,0.0,2.0,0.0,31.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,5.0,8.0,21.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,1.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,12.0,31.0,6.0,40.0,0.0,0.0,0.0,147.0,87.0,4.0,1.0,6.0,1.0,33.0,33.0,100.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
2,Cenk Tosun,14.0,tr TUR,FW,27-136,24.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,15.0,5.0,1.0,0.0,0.0,0.4,0.4,0.1,3.0,0.0,10.0,10.0,100.0,0.0,16.0,3.0,1.0,2.0,124.0,13.0,8.0,8.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,10.0,4.0,15.0,50.0,1.0,0.0,61.0,39.0,0.0,2.0,0.0,0.0,11.0,11.0,100.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Theo Walcott,11.0,eng ENG,RW,29-219,81.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,10.0,0.0,1.0,0.0,0.4,0.4,0.1,4.0,0.0,23.0,32.0,71.9,3.0,34.0,4.0,3.0,3.0,425.0,90.0,12.0,15.0,80.0,6.0,9.0,66.7,4.0,6.0,66.7,2.0,3.0,1.0,0.0,31.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,19.0,4.0,9.0,5.0,22.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,40.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,11.0,27.0,3.0,38.0,100.0,3.0,0.0,117.0,58.0,0.0,0.0,2.0,3.0,39.0,31.0,79.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
4,Ademola Lookman,31.0,ng NGA,"RW,RM",21-001,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,5.0,6.0,83.3,1.0,10.0,1.0,1.0,1.0,109.0,73.0,2.0,3.0,66.7,2.0,2.0,100.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,50.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,11.0,100.0,1.0,0.0,37.0,24.0,1.0,0.0,1.0,1.0,6.0,6.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Gylfi Sigurðsson,10.0,is ISL,"AM,DM",29-043,90.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,54.0,26.0,2.0,1.0,4.0,0.3,0.3,0.4,4.0,0.0,21.0,32.0,65.6,2.0,34.0,1.0,1.0,2.0,397.0,122.0,10.0,12.0,83.3,8.0,10.0,80.0,3.0,7.0,42.9,2.0,1.0,1.0,0.0,27.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,21.0,4.0,7.0,5.0,25.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,10.0,38.5,4.0,10.0,12.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,9.0,13.0,33.0,2.0,48.0,50.0,1.0,0.0,124.0,28.0,0.0,0.0,5.0,3.0,36.0,31.0,86.1,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0
6,Idrissa Gana Gueye,17.0,sn SEN,DM,29-025,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,28.0,9.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,57.0,61.0,93.4,2.0,49.0,6.0,0.0,0.0,1135.0,240.0,24.0,25.0,96.0,22.0,23.0,95.7,10.0,12.0,83.3,1.0,7.0,0.0,0.0,58.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,10.0,3.0,56.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,3.0,2.0,5.0,6.0,83.3,1.0,10.0,35.7,12.0,12.0,4.0,0.0,0.0,1.0,14.0,2.0,0.0,3.0,19.0,48.0,10.0,1.0,72.0,0.0,0.0,0.0,197.0,86.0,2.0,0.0,0.0,0.0,47.0,46.0,97.9,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0
7,André Gomes,8.0,pt POR,DM,25-083,81.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,76.0,16.0,2.0,4.0,1.0,0.1,0.1,0.0,5.0,0.0,57.0,64.0,89.1,10.0,60.0,5.0,0.0,2.0,1232.0,293.0,17.0,18.0,94.4,31.0,35.0,88.6,9.0,10.0,90.0,0.0,7.0,1.0,0.0,62.0,2.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,48.0,9.0,7.0,14.0,49.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,12.5,6.0,6.0,4.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,16.0,44.0,21.0,0.0,74.0,0.0,1.0,0.0,334.0,139.0,2.0,0.0,0.0,2.0,57.0,54.0,94.7,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0
8,Dominic Calvert-Lewin,29.0,eng ENG,"DM,FW",21-219,9.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,3.0,4.0,75.0,1.0,4.0,1.0,0.0,0.0,45.0,17.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,7.0,0.0,0.0,0.0,15.0,10.0,0.0,1.0,0.0,0.0,6.0,5.0,83.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
9,Lucas Digne,12.0,fr FRA,LB,25-093,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,98.0,15.0,3.0,0.0,0.0,0.0,0.0,0.2,6.0,0.0,64.0,78.0,82.1,9.0,64.0,9.0,0.0,3.0,1206.0,549.0,28.0,32.0,87.5,29.0,31.0,93.5,7.0,13.0,53.8,3.0,11.0,3.0,0.0,62.0,16.0,3.0,0.0,3.0,2.0,3.0,5.0,0.0,4.0,1.0,52.0,13.0,13.0,58.0,11.0,0.0,8.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,0.0,1.0,2.0,4.0,50.0,2.0,3.0,20.0,5.0,8.0,2.0,0.0,0.0,0.0,3.0,6.0,0.0,4.0,26.0,41.0,38.0,2.0,83.0,0.0,0.0,0.0,382.0,226.0,1.0,0.0,1.0,1.0,70.0,66.0,94.3,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,100.0
