,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Cenk Tosun,14.0,tr TUR,FW,27-181,68.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,18.0,12.0,2.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,11.0,11.0,100.0,1.0,9.0,1.0,0.0,0.0,130.0,9.0,6.0,6.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,41.7,0.0,3.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,14.0,4.0,16.0,0.0,0.0,0.0,27.0,8.0,0.0,0.0,0.0,1.0,28.0,11.0,39.3,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7
1,Bernard,20.0,br BRA,"LM,AM",26-088,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,82.4,2.0,16.0,1.0,0.0,1.0,212.0,51.0,6.0,6.0,100.0,7.0,9.0,77.8,1.0,1.0,100.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,2.0,4.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,2.0,21.0,0.0,0.0,0.0,67.0,16.0,0.0,0.0,1.0,0.0,18.0,15.0,83.3,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
2,Richarlison,30.0,br BRA,"LW,FW",21-209,90.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,63.0,9.0,2.0,0.0,0.0,0.6,0.6,0.0,5.0,0.0,28.0,41.0,68.3,2.0,52.0,6.0,4.0,5.0,462.0,77.0,14.0,17.0,82.4,12.0,16.0,75.0,1.0,4.0,25.0,0.0,3.0,0.0,0.0,39.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,10.0,4.0,13.0,26.0,0.0,2.0,0.0,0.0,1.0,2.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,55.6,0.0,5.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,24.0,44.0,11.0,61.0,80.0,4.0,0.0,229.0,102.0,2.0,2.0,3.0,6.0,65.0,49.0,75.4,22.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0
3,Ademola Lookman,31.0,ng NGA,"RW,LW",21-046,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,15.0,2.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,32.0,39.0,82.1,5.0,42.0,2.0,4.0,6.0,485.0,170.0,18.0,20.0,90.0,12.0,13.0,92.3,1.0,4.0,25.0,1.0,5.0,0.0,0.0,36.0,3.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,30.0,4.0,5.0,13.0,23.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,40.0,4.0,3.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,20.0,30.0,3.0,49.0,66.7,5.0,1.0,140.0,53.0,0.0,1.0,1.0,4.0,37.0,32.0,86.5,9.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
4,Dominic Calvert-Lewin,29.0,eng ENG,FW,21-264,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,5.0,2.0,0.0,0.0,34.0,0.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,0.0,0.0,0.0,31.0,16.0,0.0,1.0,0.0,0.0,12.0,5.0,41.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,25.0
5,Gylfi Sigurðsson,10.0,is ISL,AM,29-088,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,16.0,1.0,1.0,1.0,0.2,0.2,0.1,3.0,0.0,21.0,41.0,51.2,5.0,34.0,5.0,1.0,1.0,334.0,145.0,8.0,13.0,61.5,11.0,14.0,78.6,1.0,11.0,9.1,3.0,4.0,2.0,1.0,32.0,9.0,1.0,0.0,7.0,3.0,2.0,8.0,4.0,4.0,0.0,23.0,6.0,12.0,3.0,37.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,9.0,56.3,0.0,9.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,17.0,33.0,3.0,39.0,100.0,1.0,0.0,190.0,68.0,1.0,1.0,1.0,2.0,41.0,33.0,80.5,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
6,Theo Walcott,11.0,eng ENG,"RM,RW",29-264,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,5.0,10.0,50.0,0.0,13.0,3.0,1.0,1.0,57.0,13.0,4.0,4.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,4.0,14.0,100.0,1.0,0.0,77.0,27.0,0.0,1.0,2.0,1.0,13.0,11.0,84.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,André Gomes,8.0,pt POR,"CM,DM",25-128,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,86.0,99.0,86.9,20.0,89.0,10.0,3.0,3.0,1947.0,540.0,22.0,24.0,91.7,44.0,50.0,88.0,20.0,24.0,83.3,1.0,15.0,1.0,0.0,95.0,4.0,3.0,0.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,77.0,12.0,10.0,19.0,76.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0,23.5,3.0,13.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,12.0,76.0,33.0,0.0,105.0,100.0,3.0,1.0,479.0,194.0,6.0,0.0,2.0,1.0,95.0,88.0,92.6,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,2.0,4.0,33.3
8,Idrissa Gana Gueye,17.0,sn SEN,"CM,DM",29-070,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,88.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,74.0,81.0,91.4,15.0,60.0,10.0,0.0,0.0,1390.0,409.0,28.0,30.0,93.3,36.0,39.0,92.3,10.0,12.0,83.3,1.0,10.0,1.0,0.0,81.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,8.0,6.0,9.0,66.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,20.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,69.0,16.0,1.0,88.0,0.0,0.0,0.0,328.0,149.0,1.0,0.0,0.0,1.0,69.0,67.0,97.1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0,2.0,60.0
9,Lucas Digne,12.0,fr FRA,LB,25-138,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,112.0,16.0,1.0,1.0,1.0,0.1,0.1,0.7,4.0,0.0,63.0,93.0,67.7,15.0,65.0,9.0,2.0,3.0,1135.0,537.0,29.0,32.0,90.6,30.0,42.0,71.4,4.0,16.0,25.0,4.0,7.0,5.0,5.0,70.0,23.0,5.0,0.0,4.0,4.0,15.0,4.0,1.0,3.0,0.0,46.0,23.0,24.0,70.0,7.0,1.0,14.0,1.0,0.0,2.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,18.8,4.0,4.0,8.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,8.0,45.0,63.0,2.0,89.0,66.7,2.0,0.0,229.0,150.0,3.0,0.0,1.0,6.0,75.0,63.0,84.0,8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,4.0,5.0,44.4
