,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Mario Gómez,27.0,de GER,FW,33-088,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,26.0,10.0,0.0,0.0,0.0,0.4,0.4,0.1,1.0,0.0,8.0,14.0,57.1,1.0,18.0,1.0,2.0,2.0,80.0,12.0,8.0,11.0,72.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,13.0,3.0,22.0,100.0,2.0,1.0,24.0,15.0,0.0,1.0,5.0,1.0,40.0,18.0,45.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
1,Daniel Didavi,10.0,de GER,FW,28-227,90.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,53.0,8.0,1.0,1.0,0.0,0.1,0.1,0.2,4.0,1.0,23.0,41.0,56.1,2.0,35.0,4.0,1.0,1.0,397.0,121.0,12.0,16.0,75.0,8.0,12.0,66.7,3.0,12.0,25.0,2.0,0.0,2.0,1.0,31.0,10.0,3.0,0.0,7.0,2.0,5.0,6.0,0.0,0.0,0.0,19.0,7.0,15.0,32.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,25.0,27.0,0.0,46.0,100.0,1.0,0.0,108.0,65.0,1.0,0.0,3.0,2.0,66.0,43.0,65.2,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Christian Gentner,20.0,de GER,CM,33-053,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,17.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,34.0,79.4,4.0,22.0,2.0,0.0,0.0,505.0,158.0,11.0,15.0,73.3,15.0,16.0,93.8,1.0,3.0,33.3,0.0,4.0,0.0,0.0,34.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,7.0,3.0,27.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,29.4,4.0,10.0,3.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,12.0,27.0,8.0,0.0,44.0,0.0,0.0,0.0,135.0,75.0,1.0,0.0,1.0,1.0,36.0,29.0,80.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
3,Hans Nunoo Sarpei,36.0,gh GHA,CM,20-045,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,32.0,6.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,Santiago Ascacíbar,6.0,ar ARG,CM,21-223,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,15.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,41.0,48.0,85.4,3.0,39.0,4.0,1.0,1.0,898.0,170.0,11.0,13.0,84.6,21.0,24.0,87.5,9.0,10.0,90.0,0.0,2.0,0.0,0.0,47.0,1.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,5.0,11.0,9.0,31.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,33.3,10.0,5.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,21.0,39.0,4.0,0.0,61.0,100.0,1.0,0.0,203.0,106.0,1.0,0.0,3.0,0.0,37.0,34.0,91.9,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,3.0,25.0
5,Gonzalo Castro,8.0,de GER,CM,31-117,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,11.0,15.0,73.3,2.0,11.0,1.0,0.0,0.0,232.0,62.0,4.0,8.0,50.0,5.0,5.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,13.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,4.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,20.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,18.0,1.0,0.0,18.0,0.0,0.0,0.0,42.0,20.0,0.0,0.0,1.0,2.0,14.0,11.0,78.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
6,Nicolás González,22.0,ar ARG,CM,20-183,45.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,4.0,0.0,0.0,1.0,0.2,0.2,0.1,2.0,0.0,6.0,9.0,66.7,1.0,7.0,1.0,2.0,2.0,87.0,13.0,3.0,4.0,75.0,1.0,3.0,33.3,1.0,1.0,100.0,2.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.0,13.0,100.0,2.0,0.0,23.0,20.0,0.0,0.0,0.0,0.0,20.0,10.0,50.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,33.3
7,Borna Sosa,24.0,hr CRO,LB,20-258,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,66.0,15.0,3.0,3.0,3.0,0.0,0.0,0.1,3.0,0.0,33.0,50.0,66.0,5.0,25.0,4.0,0.0,1.0,615.0,280.0,13.0,17.0,76.5,17.0,24.0,70.8,3.0,8.0,37.5,2.0,4.0,1.0,1.0,37.0,13.0,2.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,14.0,19.0,27.0,4.0,6.0,11.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,6.0,40.0,8.0,7.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,2.0,21.0,31.0,17.0,1.0,53.0,0.0,0.0,0.0,87.0,64.0,1.0,1.0,2.0,2.0,36.0,29.0,80.6,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,3.0,40.0
8,Benjamin Pavard,21.0,fr FRA,CB,22-192,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,80.0,12.0,1.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,51.0,66.0,77.3,3.0,40.0,2.0,1.0,1.0,1055.0,406.0,12.0,14.0,85.7,34.0,39.0,87.2,5.0,13.0,38.5,0.0,6.0,0.0,0.0,64.0,2.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,10.0,17.0,9.0,44.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,33.3,5.0,6.0,1.0,1.0,0.0,1.0,2.0,6.0,0.0,12.0,54.0,28.0,5.0,2.0,78.0,100.0,1.0,0.0,213.0,112.0,1.0,0.0,1.0,0.0,36.0,35.0,97.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,2.0,4.0,33.3
9,Holger Badstuber,28.0,de GER,CB,29-207,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,85.0,0.0,13.0,0.0,0.0,0.0,399.0,95.0,3.0,3.0,100.0,10.0,12.0,83.3,4.0,5.0,80.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,4.0,17.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,15.0,7.0,0.0,0.0,22.0,0.0,0.0,0.0,44.0,10.0,0.0,0.0,1.0,0.0,14.0,14.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
