,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Mario Mandžukić,17.0,hr CRO,FW,32-134,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,19.0,26.0,73.1,1.0,17.0,0.0,0.0,0.0,297.0,45.0,9.0,10.0,90.0,9.0,14.0,64.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,3.0,3.0,14.0,5.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,37.5,2.0,5.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,18.0,10.0,3.0,27.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,39.0,23.0,59.0,10.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,100.0
1,Moise Kean,18.0,it ITA,FW,18-216,13.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,1.0,2.0,50.0,0.0,5.0,2.0,0.0,0.0,27.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,6.0,0.0,0.0,0.0,51.0,39.0,0.0,2.0,0.0,0.0,6.0,2.0,33.3,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Paulo Dybala,10.0,ar ARG,FW,24-321,90.0,3.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,67.0,19.0,1.0,1.0,2.0,2.6,2.6,0.0,3.0,0.0,43.0,48.0,89.6,9.0,59.0,6.0,2.0,3.0,728.0,139.0,22.0,24.0,91.7,15.0,17.0,88.2,5.0,5.0,100.0,0.0,5.0,4.0,0.0,47.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,6.0,4.0,36.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,15.8,1.0,10.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,36.0,25.0,6.0,66.0,66.7,2.0,1.0,252.0,144.0,2.0,0.0,2.0,2.0,67.0,56.0,83.6,11.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
3,Federico Bernardeschi,33.0,it ITA,"AM,LM",24-228,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,56.0,22.0,1.0,1.0,2.0,0.1,0.1,0.8,3.0,0.0,36.0,43.0,83.7,2.0,48.0,5.0,2.0,3.0,571.0,56.0,22.0,25.0,88.0,11.0,12.0,91.7,3.0,6.0,50.0,2.0,0.0,1.0,0.0,41.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,35.0,3.0,5.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,18.2,5.0,13.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,38.0,18.0,3.0,53.0,66.7,2.0,0.0,253.0,172.0,3.0,2.0,3.0,4.0,50.0,46.0,92.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
4,Alex Sandro,12.0,br BRA,"LM,LB",27-249,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,9.0,1.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,45.0,57.0,78.9,5.0,52.0,8.0,2.0,4.0,813.0,267.0,19.0,21.0,90.5,21.0,27.0,77.8,4.0,8.0,50.0,1.0,4.0,1.0,1.0,53.0,4.0,0.0,0.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,41.0,7.0,9.0,45.0,5.0,2.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,11.1,3.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,13.0,32.0,25.0,8.0,60.0,50.0,3.0,0.0,215.0,144.0,3.0,5.0,0.0,0.0,51.0,48.0,94.1,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
5,Blaise Matuidi,14.0,fr FRA,CM,31-176,45.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,14.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,25.0,29.0,86.2,3.0,30.0,1.0,0.0,0.0,459.0,132.0,10.0,10.0,100.0,12.0,15.0,80.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,1.0,3.0,25.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,21.4,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,29.0,3.0,0.0,34.0,0.0,0.0,0.0,84.0,37.0,0.0,0.0,2.0,0.0,33.0,29.0,87.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
6,Emre Can,23.0,de GER,CM,24-263,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0,82.4,3.0,32.0,4.0,0.0,0.0,459.0,85.0,14.0,16.0,87.5,11.0,11.0,100.0,2.0,5.0,40.0,0.0,3.0,1.0,0.0,34.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,5.0,8.0,25.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,25.0,6.0,0.0,36.0,0.0,0.0,0.0,119.0,61.0,1.0,0.0,1.0,0.0,33.0,29.0,87.9,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
7,Miralem Pjanić,5.0,ba BIH,CM,28-183,69.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,52.0,62.0,83.9,6.0,54.0,2.0,1.0,1.0,1076.0,261.0,20.0,24.0,83.3,20.0,21.0,95.2,10.0,15.0,66.7,1.0,4.0,1.0,1.0,57.0,5.0,3.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,44.0,3.0,15.0,1.0,59.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,14.0,39.0,17.0,0.0,63.0,100.0,1.0,0.0,152.0,58.0,1.0,0.0,1.0,1.0,51.0,49.0,96.1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
8,Sami Khedira,6.0,de GER,CM,31-181,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,25.0,26.0,96.2,3.0,25.0,0.0,0.0,0.0,497.0,141.0,8.0,9.0,88.9,14.0,14.0,100.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,2.0,2.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,23.0,2.0,2.0,30.0,0.0,0.0,0.0,20.0,9.0,0.0,0.0,0.0,2.0,27.0,27.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
9,Juan Cuadrado,16.0,co COL,RM,30-129,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0,6.0,0.0,0.0,0.0,0.0,0.0,1.3,4.0,1.0,60.0,71.0,84.5,5.0,62.0,8.0,0.0,1.0,1022.0,206.0,24.0,26.0,92.3,28.0,31.0,90.3,6.0,8.0,75.0,4.0,2.0,0.0,0.0,62.0,9.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,54.0,10.0,7.0,8.0,52.0,2.0,8.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,44.0,21.0,5.0,68.0,0.0,0.0,0.0,306.0,184.0,0.0,2.0,1.0,2.0,64.0,59.0,92.2,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0
