,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Gonzalo Higuaín,9.0,ar ARG,FW,31-153,83.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,11.0,15.0,73.3,1.0,20.0,0.0,3.0,3.0,165.0,14.0,6.0,8.0,75.0,4.0,6.0,66.7,1.0,1.0,100.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,9.1,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,11.0,4.0,21.0,100.0,3.0,0.0,40.0,4.0,0.0,0.0,1.0,3.0,28.0,20.0,71.4,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,Olivier Giroud,18.0,fr FRA,FW,32-224,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Willian,22.0,br BRA,LW,30-276,68.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,51.0,13.0,1.0,0.0,0.0,0.1,0.1,0.1,6.0,0.0,31.0,45.0,68.9,2.0,39.0,13.0,2.0,3.0,515.0,129.0,16.0,20.0,80.0,11.0,14.0,78.6,4.0,9.0,44.4,3.0,2.0,2.0,1.0,37.0,8.0,3.0,0.0,11.0,3.0,2.0,4.0,2.0,2.0,0.0,30.0,7.0,8.0,4.0,39.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,30.8,0.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,16.0,34.0,6.0,44.0,66.7,2.0,0.0,351.0,262.0,3.0,4.0,2.0,0.0,38.0,35.0,92.1,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
3,Eden Hazard,10.0,be BEL,LW,28-125,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,16.0,81.3,2.0,17.0,3.0,3.0,3.0,246.0,38.0,7.0,8.0,87.5,3.0,3.0,100.0,3.0,5.0,60.0,1.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,2.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,2.0,17.0,100.0,3.0,0.0,120.0,78.0,1.0,0.0,0.0,2.0,19.0,16.0,84.2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Pedro,11.0,es ESP,RW,31-288,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,73.0,20.0,1.0,1.0,3.0,0.2,0.2,0.2,5.0,0.0,44.0,58.0,75.9,3.0,54.0,13.0,0.0,0.0,770.0,150.0,23.0,28.0,82.1,16.0,19.0,84.2,4.0,9.0,44.4,1.0,2.0,4.0,2.0,51.0,7.0,2.0,0.0,17.0,3.0,4.0,0.0,0.0,0.0,0.0,34.0,13.0,11.0,19.0,32.0,2.0,5.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,7.0,11.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,9.0,29.0,43.0,6.0,67.0,0.0,0.0,0.0,351.0,207.0,6.0,2.0,2.0,3.0,70.0,57.0,81.4,15.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
5,Ruben Loftus-Cheek,12.0,eng ENG,CM,23-109,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,66.0,15.0,2.0,1.0,0.0,0.3,0.3,0.1,5.0,0.0,48.0,54.0,88.9,7.0,53.0,9.0,2.0,2.0,780.0,192.0,26.0,28.0,92.9,19.0,22.0,86.4,3.0,4.0,75.0,3.0,7.0,1.0,0.0,52.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,9.0,2.0,10.0,43.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,26.7,3.0,6.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,8.0,34.0,30.0,5.0,64.0,100.0,2.0,0.0,306.0,186.0,0.0,1.0,3.0,1.0,55.0,48.0,87.3,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
6,Ross Barkley,8.0,eng ENG,CM,25-158,75.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,42.0,13.0,0.0,0.0,1.0,0.3,0.3,0.1,1.0,0.0,31.0,34.0,91.2,0.0,35.0,5.0,0.0,0.0,463.0,29.0,17.0,17.0,100.0,11.0,11.0,100.0,2.0,3.0,66.7,1.0,2.0,0.0,0.0,34.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,1.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.7,3.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,26.0,14.0,3.0,42.0,0.0,0.0,0.0,188.0,97.0,2.0,1.0,0.0,2.0,36.0,33.0,91.7,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
7,Mateo Kovačić,17.0,hr CRO,CM,25-006,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,95.2,2.0,23.0,3.0,0.0,0.0,450.0,73.0,8.0,8.0,100.0,8.0,9.0,88.9,4.0,4.0,100.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,4.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,14.0,12.0,1.0,26.0,0.0,0.0,0.0,122.0,33.0,1.0,0.0,2.0,0.0,23.0,22.0,95.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Jorginho,5.0,it ITA,DM,27-143,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,18.0,5.0,2.0,5.0,0.0,0.0,0.2,3.0,0.0,46.0,52.0,88.5,5.0,41.0,4.0,0.0,0.0,849.0,220.0,22.0,25.0,88.0,19.0,20.0,95.0,5.0,6.0,83.3,2.0,6.0,2.0,0.0,52.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,44.0,2.0,6.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,1.0,1.0,2.0,6.0,33.3,4.0,6.0,33.3,7.0,8.0,3.0,0.0,0.0,5.0,7.0,1.0,0.0,2.0,15.0,44.0,15.0,0.0,65.0,0.0,0.0,0.0,161.0,80.0,5.0,0.0,0.0,1.0,49.0,47.0,95.9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
9,Marcos Alonso,3.0,es ESP,LB,28-135,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,17.0,3.0,0.0,4.0,0.0,0.0,0.6,1.0,0.0,57.0,67.0,85.1,2.0,55.0,9.0,0.0,0.0,810.0,246.0,34.0,37.0,91.9,23.0,28.0,82.1,0.0,2.0,0.0,1.0,5.0,0.0,0.0,61.0,6.0,1.0,0.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,49.0,10.0,8.0,52.0,8.0,1.0,5.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,100.0,0.0,3.0,17.6,8.0,7.0,2.0,0.0,0.0,4.0,3.0,3.0,0.0,4.0,19.0,35.0,31.0,1.0,72.0,0.0,0.0,0.0,283.0,160.0,2.0,0.0,0.0,2.0,57.0,51.0,89.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
