,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Sergio Agüero,10.0,ar ARG,FW,30-119,65.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,40.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,25.0,30.0,83.3,2.0,28.0,3.0,3.0,3.0,245.0,49.0,19.0,23.0,82.6,4.0,5.0,80.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,29.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,1.0,4.0,23.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,31.0,12.0,39.0,100.0,3.0,0.0,80.0,37.0,1.0,0.0,4.0,0.0,45.0,36.0,80.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1,Gabriel Jesus,33.0,br BRA,FW,21-179,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,6.0,8.0,75.0,1.0,6.0,0.0,0.0,1.0,66.0,14.0,5.0,6.0,83.3,1.0,2.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.0,2.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,12.0,8.0,66.7,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
2,Leroy Sané,19.0,de GER,LW,22-261,70.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,56.0,14.0,3.0,0.0,2.0,0.3,0.3,0.9,4.0,1.0,35.0,44.0,79.5,4.0,41.0,10.0,2.0,4.0,482.0,93.0,20.0,23.0,87.0,12.0,15.0,80.0,1.0,3.0,33.3,3.0,1.0,3.0,0.0,42.0,2.0,0.0,0.0,6.0,0.0,5.0,2.0,0.0,2.0,0.0,37.0,4.0,3.0,32.0,11.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,50.0,2.0,5.0,7.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,13.0,42.0,11.0,54.0,50.0,2.0,0.0,227.0,157.0,0.0,1.0,3.0,0.0,52.0,44.0,84.6,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
3,Riyad Mahrez,26.0,dz ALG,RW,27-220,20.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,23.0,3.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,18.0,19.0,94.7,2.0,19.0,3.0,0.0,0.0,303.0,71.0,9.0,9.0,100.0,8.0,8.0,100.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,1.0,2.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,9.0,1.0,23.0,0.0,0.0,0.0,104.0,40.0,1.0,1.0,0.0,0.0,23.0,21.0,91.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Raheem Sterling,7.0,eng ENG,"RW,LW",23-295,90.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,95.0,15.0,2.0,0.0,0.0,1.1,1.1,0.8,10.0,1.0,74.0,83.0,89.2,5.0,73.0,18.0,2.0,3.0,1039.0,181.0,46.0,47.0,97.9,26.0,28.0,92.9,1.0,5.0,20.0,4.0,1.0,6.0,1.0,78.0,5.0,0.0,0.0,8.0,1.0,4.0,4.0,0.0,3.0,0.0,73.0,3.0,7.0,9.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,2.0,13.3,2.0,7.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,23.0,74.0,13.0,90.0,66.7,2.0,0.0,365.0,256.0,1.0,6.0,1.0,2.0,90.0,80.0,88.9,9.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
5,David Silva,21.0,es ESP,CM,32-264,87.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,115.0,9.0,1.0,1.0,0.0,0.2,0.2,0.2,5.0,0.0,101.0,108.0,93.5,11.0,72.0,12.0,3.0,5.0,1641.0,368.0,57.0,59.0,96.6,32.0,33.0,97.0,10.0,14.0,71.4,3.0,6.0,9.0,1.0,104.0,4.0,1.0,0.0,11.0,3.0,2.0,3.0,0.0,3.0,0.0,89.0,9.0,10.0,94.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,44.4,1.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,44.0,71.0,8.0,111.0,60.0,3.0,1.0,434.0,194.0,2.0,1.0,0.0,0.0,108.0,102.0,94.4,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
6,Phil Foden,47.0,eng ENG,CM,18-124,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,6.0,2.0,0.0,0.0,105.0,8.0,5.0,5.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,8.0,0.0,0.0,0.0,32.0,13.0,1.0,0.0,0.0,0.0,8.0,7.0,87.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Bernardo Silva,20.0,pt POR,CM,24-050,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,22.0,3.0,0.0,1.0,0.0,0.0,0.4,5.0,0.0,47.0,51.0,92.2,3.0,36.0,10.0,1.0,1.0,734.0,160.0,22.0,22.0,100.0,20.0,22.0,90.9,3.0,3.0,100.0,3.0,2.0,2.0,1.0,50.0,1.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,39.0,3.0,9.0,45.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,2.0,50.0,1.0,6.0,27.3,6.0,5.0,11.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,21.0,38.0,6.0,59.0,100.0,1.0,1.0,274.0,130.0,1.0,0.0,1.0,2.0,53.0,47.0,88.7,8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
8,Fernandinho,25.0,br BRA,DM,33-148,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,119.0,9.0,0.0,1.0,2.0,0.1,0.1,0.1,5.0,0.0,99.0,107.0,92.5,6.0,83.0,18.0,1.0,1.0,1617.0,349.0,48.0,49.0,98.0,46.0,49.0,93.9,5.0,9.0,55.6,3.0,14.0,4.0,0.0,103.0,4.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,94.0,3.0,10.0,10.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,1.0,5.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,13.0,82.0,39.0,0.0,115.0,100.0,1.0,0.0,500.0,311.0,9.0,0.0,1.0,1.0,102.0,101.0,99.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,50.0
9,Oleksandr Zinchenko,35.0,ua UKR,LB,21-288,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,147.0,6.0,1.0,5.0,0.0,0.1,0.1,0.1,4.0,0.0,127.0,138.0,92.0,10.0,92.0,32.0,0.0,0.0,2297.0,478.0,59.0,61.0,96.7,58.0,62.0,93.5,10.0,14.0,71.4,2.0,19.0,1.0,0.0,128.0,10.0,1.0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,113.0,14.0,11.0,106.0,17.0,6.0,9.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,2.0,33.3,2.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,14.0,88.0,65.0,3.0,137.0,0.0,0.0,0.0,644.0,442.0,16.0,0.0,1.0,0.0,118.0,115.0,97.5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
