,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Marcus Rashford,10.0,eng ENG,FW,21-193,90.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,65.0,13.0,0.0,0.0,1.0,0.2,0.2,0.4,8.0,0.0,41.0,52.0,78.8,7.0,56.0,13.0,2.0,3.0,489.0,175.0,33.0,39.0,84.6,7.0,9.0,77.8,0.0,1.0,0.0,5.0,1.0,5.0,0.0,50.0,2.0,0.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,41.0,4.0,7.0,2.0,45.0,2.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,46.2,1.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,48.0,8.0,63.0,66.7,2.0,0.0,269.0,183.0,4.0,4.0,3.0,1.0,78.0,59.0,75.6,19.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0
1,Mason Greenwood,54.0,eng ENG,"FW,RW",17-223,90.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,70.0,11.0,3.0,0.0,2.0,0.9,0.9,0.1,5.0,0.0,42.0,51.0,82.4,2.0,56.0,12.0,3.0,5.0,552.0,99.0,26.0,28.0,92.9,15.0,19.0,78.9,0.0,2.0,0.0,3.0,1.0,1.0,0.0,49.0,2.0,0.0,1.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,45.0,4.0,2.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,50.0,1.0,3.0,27.3,4.0,4.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,25.0,45.0,14.0,68.0,60.0,3.0,1.0,350.0,237.0,3.0,3.0,3.0,3.0,72.0,55.0,76.4,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2,Jesse Lingard,14.0,eng ENG,AM,26-148,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,80.0,27.0,2.0,0.0,0.0,0.1,0.1,0.1,8.0,0.0,65.0,71.0,91.5,5.0,68.0,13.0,0.0,1.0,957.0,205.0,38.0,40.0,95.0,24.0,26.0,92.3,2.0,2.0,100.0,2.0,10.0,0.0,0.0,68.0,3.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,9.0,2.0,6.0,63.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,7.0,25.9,2.0,10.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,49.0,38.0,4.0,77.0,0.0,0.0,0.0,498.0,254.0,7.0,1.0,2.0,0.0,81.0,70.0,86.4,10.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
3,Paul Pogba,6.0,fr FRA,CM,26-058,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,89.0,12.0,2.0,1.0,0.0,0.1,0.1,0.0,10.0,0.0,61.0,75.0,81.3,13.0,73.0,14.0,1.0,3.0,1078.0,417.0,30.0,33.0,90.9,23.0,28.0,82.1,8.0,13.0,61.5,1.0,9.0,0.0,0.0,74.0,1.0,1.0,1.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,57.0,6.0,12.0,9.0,64.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,50.0,1.0,4.0,33.3,4.0,2.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,12.0,54.0,31.0,2.0,87.0,33.3,1.0,0.0,485.0,305.0,7.0,0.0,3.0,1.0,88.0,73.0,83.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,33.3
4,Andreas Pereira,15.0,br BRA,CM,23-131,73.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,77.0,17.0,1.0,2.0,1.0,0.1,0.1,0.4,6.0,0.0,59.0,68.0,86.8,12.0,62.0,6.0,0.0,0.0,1054.0,434.0,28.0,31.0,90.3,24.0,28.0,85.7,7.0,8.0,87.5,4.0,17.0,2.0,0.0,68.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,7.0,10.0,7.0,59.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,47.1,4.0,11.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,11.0,54.0,22.0,1.0,77.0,0.0,0.0,0.0,331.0,161.0,3.0,0.0,1.0,1.0,68.0,65.0,95.6,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
5,Angel Gomes,47.0,eng ENG,CM,18-254,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,17.0,19.0,89.5,1.0,18.0,3.0,0.0,0.0,284.0,58.0,8.0,9.0,88.9,5.0,6.0,83.3,3.0,3.0,100.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,4.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,8.0,0.0,21.0,0.0,0.0,0.0,85.0,39.0,0.0,0.0,0.0,1.0,21.0,18.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
6,Scott McTominay,39.0,sct SCO,"DM,CB",22-155,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,12.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,57.0,94.7,7.0,45.0,6.0,0.0,0.0,991.0,353.0,22.0,23.0,95.7,24.0,25.0,96.0,7.0,8.0,87.5,1.0,5.0,0.0,0.0,56.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,8.0,4.0,5.0,49.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,6.0,5.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,18.0,48.0,1.0,0.0,63.0,0.0,0.0,0.0,389.0,149.0,0.0,0.0,0.0,0.0,38.0,37.0,97.4,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,1.0,5.0,16.7
7,Ashley Young,18.0,eng ENG,LB,33-307,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,19.0,2.0,2.0,1.0,0.0,0.0,0.1,3.0,0.0,46.0,62.0,74.2,4.0,39.0,7.0,0.0,1.0,840.0,379.0,27.0,29.0,93.1,10.0,11.0,90.9,9.0,18.0,50.0,2.0,6.0,0.0,0.0,44.0,18.0,2.0,0.0,11.0,3.0,0.0,9.0,2.0,5.0,2.0,29.0,5.0,28.0,4.0,46.0,2.0,7.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,21.1,5.0,6.0,8.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,19.0,31.0,20.0,1.0,51.0,0.0,0.0,0.0,198.0,124.0,1.0,1.0,0.0,0.0,36.0,34.0,94.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,100.0
8,Phil Jones,4.0,eng ENG,CB,27-080,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,91.3,1.0,15.0,1.0,0.0,0.0,418.0,193.0,5.0,5.0,100.0,15.0,16.0,93.8,1.0,2.0,50.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,6.0,3.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,6.0,22.0,8.0,1.0,0.0,29.0,0.0,0.0,0.0,99.0,59.0,1.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
9,Anthony Martial,11.0,fr FRA,LW,23-158,45.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,42.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0,0.0,29.0,36.0,80.6,8.0,41.0,7.0,2.0,2.0,404.0,160.0,17.0,19.0,89.5,11.0,12.0,91.7,1.0,3.0,33.3,1.0,6.0,3.0,0.0,36.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,3.0,4.0,32.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,29.0,5.0,42.0,100.0,2.0,0.0,252.0,132.0,0.0,1.0,2.0,0.0,47.0,40.0,85.1,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
