,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Krzysztof Piątek,19.0,pl POL,FW,23-244,83.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,18.0,30.0,0.0,0.0,1.0,0.1,0.1,0.2,5.0,0.0,7.0,8.0,87.5,0.0,11.0,2.0,0.0,3.0,87.0,5.0,6.0,7.0,85.7,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.3,2.0,16.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,12.0,4.0,17.0,0.0,0.0,0.0,50.0,26.0,0.0,0.0,2.0,1.0,36.0,14.0,38.9,7.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
1,Patrick Cutrone,63.0,it ITA,FW,21-058,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,2.0,3.0,66.7,1.0,2.0,0.0,0.0,0.0,38.0,30.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,42.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Hakan Çalhanoğlu,10.0,tr TUR,"LW,CM",25-022,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,48.0,19.0,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,24.0,37.0,64.9,1.0,42.0,8.0,4.0,5.0,350.0,60.0,16.0,20.0,80.0,7.0,11.0,63.6,1.0,4.0,25.0,0.0,0.0,0.0,0.0,33.0,4.0,2.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,27.0,7.0,3.0,2.0,34.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,15.8,10.0,6.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,17.0,25.0,1.0,45.0,80.0,4.0,0.0,214.0,125.0,1.0,1.0,2.0,2.0,39.0,35.0,89.7,7.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
3,Suso,8.0,es ESP,RW,25-103,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,16.0,0.0,1.0,0.0,0.2,0.2,0.4,5.0,0.0,36.0,47.0,76.6,11.0,42.0,9.0,1.0,1.0,760.0,264.0,11.0,11.0,100.0,17.0,23.0,73.9,7.0,11.0,63.6,5.0,5.0,4.0,0.0,40.0,7.0,0.0,2.0,6.0,5.0,3.0,5.0,3.0,0.0,0.0,30.0,4.0,13.0,42.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,12.5,5.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16.0,35.0,2.0,42.0,100.0,1.0,0.0,231.0,119.0,2.0,0.0,0.0,0.0,43.0,38.0,88.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
4,Lucas Paquetá,39.0,br BRA,CM,21-187,72.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,29.0,20.0,0.0,1.0,1.0,0.2,0.2,0.0,1.0,0.0,20.0,23.0,87.0,6.0,21.0,1.0,1.0,2.0,325.0,118.0,8.0,9.0,88.9,12.0,13.0,92.3,0.0,1.0,0.0,1.0,5.0,0.0,0.0,23.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,2.0,15.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,20.0,6.0,9.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,14.0,11.0,2.0,29.0,50.0,1.0,0.0,93.0,34.0,0.0,0.0,0.0,0.0,31.0,21.0,67.7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
5,Samu Castillejo,7.0,es ESP,LW,24-043,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,6.0,0.0,0.0,0.0,71.0,10.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,13.3,8.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,6.0,3.0,2.0,1.0,10.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,1.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Franck Kessié,79.0,ci CIV,CM,22-073,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,24.0,0.0,0.0,3.0,0.4,0.4,0.0,3.0,0.0,27.0,29.0,93.1,4.0,30.0,3.0,2.0,3.0,506.0,137.0,12.0,13.0,92.3,10.0,10.0,100.0,5.0,6.0,83.3,0.0,2.0,2.0,0.0,29.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,8.0,2.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,12.5,9.0,8.0,7.0,1.0,0.0,2.0,0.0,5.0,0.0,4.0,10.0,16.0,19.0,4.0,43.0,66.7,2.0,0.0,105.0,61.0,1.0,2.0,2.0,1.0,34.0,30.0,88.2,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
7,Tiemoué Bakayoko,14.0,fr FRA,DM,24-197,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,34.0,85.3,4.0,31.0,0.0,0.0,1.0,558.0,142.0,10.0,13.0,76.9,15.0,16.0,93.8,4.0,4.0,100.0,0.0,2.0,0.0,0.0,33.0,1.0,1.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,2.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,5.0,20.0,4.0,4.0,22.2,4.0,11.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,7.0,29.0,5.0,0.0,39.0,0.0,0.0,0.0,75.0,33.0,0.0,0.0,1.0,0.0,29.0,28.0,96.6,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0
8,Lucas Biglia,21.0,ar ARG,DM,33-031,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,0.0,20.0,0.0,0.0,1.0,406.0,59.0,5.0,5.0,100.0,8.0,8.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,17.6,9.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,12.0,5.0,0.0,22.0,0.0,0.0,0.0,54.0,16.0,0.0,0.0,1.0,0.0,17.0,17.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9,Ricardo Rodríguez,68.0,ch SUI,LB,26-189,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0,13.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,50.0,88.0,3.0,39.0,6.0,0.0,0.0,891.0,272.0,20.0,20.0,100.0,15.0,17.0,88.2,9.0,12.0,75.0,0.0,4.0,2.0,1.0,45.0,5.0,1.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,39.0,4.0,7.0,34.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,3.0,23.1,7.0,4.0,2.0,0.0,0.0,4.0,2.0,5.0,0.0,4.0,19.0,39.0,12.0,0.0,58.0,0.0,0.0,0.0,244.0,130.0,5.0,0.0,1.0,0.0,45.0,41.0,91.1,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
