,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Radamel Falcao,9.0,co COL,FW,32-223,90.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,37.0,9.0,0.0,0.0,0.0,0.6,0.6,0.1,2.0,0.0,16.0,23.0,69.6,2.0,25.0,3.0,0.0,0.0,279.0,34.0,6.0,9.0,66.7,8.0,9.0,88.9,1.0,1.0,100.0,1.0,1.0,0.0,0.0,21.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,7.0,3.0,17.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,44.4,0.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,14.0,22.0,3.0,34.0,0.0,0.0,0.0,87.0,45.0,2.0,0.0,1.0,2.0,39.0,27.0,69.2,13.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
1,Sofiane Diop,36.0,fr FRA,LW,18-104,71.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,14.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,14.0,19.0,73.7,1.0,31.0,1.0,4.0,5.0,263.0,63.0,9.0,9.0,100.0,3.0,6.0,50.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,5.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,35.7,4.0,8.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,18.0,13.0,1.0,35.0,80.0,4.0,0.0,124.0,44.0,0.0,0.0,5.0,2.0,31.0,23.0,74.2,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
2,Aleksandr Golovin,17.0,ru RUS,LW,22-114,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,8.0,0.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,10.0,14.0,71.4,3.0,17.0,3.0,1.0,1.0,219.0,68.0,2.0,2.0,100.0,6.0,8.0,75.0,2.0,3.0,66.7,0.0,4.0,0.0,0.0,13.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.5,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,11.0,7.0,1.0,17.0,100.0,1.0,0.0,166.0,87.0,1.0,0.0,1.0,1.0,17.0,14.0,82.4,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
3,Jordi Mboula,22.0,es ESP,RW,19-189,60.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,12.0,1.0,0.0,1.0,0.3,0.3,0.1,3.0,0.0,5.0,16.0,31.3,0.0,28.0,1.0,3.0,4.0,83.0,25.0,4.0,6.0,66.7,0.0,6.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,8.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,3.0,25.0,3.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,25.0,5.0,31.0,75.0,3.0,0.0,98.0,31.0,0.0,0.0,2.0,6.0,34.0,20.0,58.8,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
4,Samuel Grandsir,29.0,fr FRA,RW,22-038,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,3.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,5.0,10.0,50.0,0.0,13.0,3.0,2.0,2.0,76.0,30.0,2.0,3.0,66.7,3.0,4.0,75.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,4.0,10.0,0.0,15.0,100.0,2.0,0.0,47.0,30.0,0.0,0.0,2.0,0.0,12.0,10.0,83.3,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5,Adama Traoré,11.0,ml MLI,AM,23-085,77.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,16.0,0.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,25.0,32.0,78.1,1.0,31.0,3.0,1.0,1.0,381.0,30.0,15.0,17.0,88.2,9.0,13.0,69.2,1.0,1.0,100.0,0.0,2.0,1.0,0.0,32.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,3.0,26.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.8,4.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,23.0,21.0,3.0,43.0,100.0,1.0,0.0,94.0,37.0,2.0,0.0,3.0,2.0,43.0,36.0,83.7,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0
6,Moussa Sylla,34.0,fr FRA,AM,18-300,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,2.0,4.0,50.0,1.0,4.0,2.0,0.0,0.0,52.0,31.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0,43.0,37.0,0.0,1.0,0.0,0.0,6.0,4.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Youssef Aït Bennasser,15.0,ma MAR,CM,22-076,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,86.0,18.0,4.0,1.0,4.0,0.0,0.0,0.1,3.0,1.0,68.0,78.0,87.2,10.0,64.0,1.0,1.0,1.0,1486.0,382.0,19.0,20.0,95.0,36.0,42.0,85.7,13.0,16.0,81.3,2.0,9.0,0.0,0.0,76.0,2.0,2.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,55.0,14.0,9.0,62.0,13.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,22.2,8.0,8.0,2.0,1.0,0.0,3.0,5.0,0.0,0.0,2.0,25.0,62.0,4.0,0.0,84.0,100.0,1.0,0.0,281.0,142.0,1.0,0.0,0.0,2.0,54.0,51.0,94.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,3.0,0.0
8,Youri Tielemans,8.0,be BEL,CM,21-137,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,82.0,15.0,3.0,0.0,1.0,0.0,0.0,0.3,5.0,0.0,57.0,72.0,79.2,15.0,55.0,4.0,0.0,1.0,1318.0,432.0,14.0,16.0,87.5,27.0,30.0,90.0,15.0,25.0,60.0,4.0,10.0,1.0,1.0,61.0,11.0,6.0,0.0,10.0,7.0,2.0,5.0,0.0,0.0,0.0,33.0,16.0,23.0,39.0,27.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,7.0,14.3,6.0,5.0,33.3,3.0,10.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,3.0,11.0,56.0,17.0,1.0,72.0,0.0,0.0,0.0,177.0,85.0,0.0,0.0,2.0,1.0,51.0,50.0,98.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,50.0
9,Antonio Barreca,3.0,it ITA,LB,23-187,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,6.0,2.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,37.0,48.0,77.1,3.0,38.0,6.0,2.0,2.0,638.0,255.0,16.0,18.0,88.9,20.0,23.0,87.0,1.0,6.0,16.7,1.0,2.0,2.0,1.0,36.0,12.0,0.0,0.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,22.0,16.0,10.0,31.0,1.0,2.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,3.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,17.0,23.0,22.0,0.0,48.0,100.0,2.0,0.0,153.0,71.0,1.0,0.0,5.0,1.0,35.0,33.0,94.3,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,100.0
